ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100.A10.vs.Ctrl.micro.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.astro.p.value	LPS100.A10.vs.Ctrl.micro.p.value
ENSOARG00000000063	101123141	CCL22	C-C motif chemokine ligand 22	3.73907475107899	3.17145199513156	0.000882209376571299	0.00109113167903537
ENSOARG00000000072	101111137	FOSL1	FOS like 1, AP-1 transcription factor subunit	1.66575071878865	1.37383325569724	4.53754868241299e-06	0.0221626378626741
ENSOARG00000000103	101114930	PPP2CB	protein phosphatase 2 catalytic subunit beta	1.23556845099532	2.87070473125436	0.000562862379587998	3.88276274628668e-05
ENSOARG00000000110	101103370	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	1.3201343320506	1.9305457466543	0.000396462172459516	0.000323148121013785
ENSOARG00000000155	101104474	CPM	carboxypeptidase M	-1.11716902064651	-1.44104840910307	0.0165894101074166	0.00223594911449293
ENSOARG00000000165				2.02630559169808	3.758821024887	0.00518648489832013	0.000218201682253459
ENSOARG00000000175	100294595	SOCS3	suppressor of cytokine signaling 3	2.96904555804781	5.83222200672846	1.27648901794719e-05	1.29304446037347e-05
ENSOARG00000000191	101116298	SULT1C4	sulfotransferase 1C4-like	-1.36997622192321	-1.95596115202702	0.000992151432892544	0.000165785664415034
ENSOARG00000000244	101115435		myotubularin-related protein 9	-2.23557176732873	-1.57531668782085	4.76139578325808e-05	5.27939848528792e-05
ENSOARG00000000248		SLC6A6	solute carrier family 6 member 6	-1.85429164234667	-2.0150511092679	0.000146178596876899	0.000128584119431038
ENSOARG00000000269	101114193	RASGEF1B	RasGEF domain family member 1B	2.13685083824215	2.4314058888331	0.00016928443568042	0.000153845938955713
ENSOARG00000000306	101116728	TIFA	TRAF interacting protein with forkhead associated domain	2.13682878848171	2.28421781989989	0.00617167098919968	0.00116563533633253
ENSOARG00000000307	101118975	SMOX	spermine oxidase	1.29478219513684	2.80667549815865	0.000677608445332893	0.000502995085983124
ENSOARG00000000319	101101988	RBM25	RNA binding motif protein 25	0.89036608179353	0.804302961252176	0.00886527527782533	0.00260572720115167
ENSOARG00000000345	101118986	GRAMD1B	GRAM domain containing 1B	-1.8634989467621	-1.86073794001693	0.00151678834185284	0.00140725724877881
ENSOARG00000000357	101121042	NCOR2	nuclear receptor corepressor 2	-1.29098478934514	-1.27407410235236	0.00374330315153372	0.000807454790752684
ENSOARG00000000416				1.16211716711044	3.2507998164091	0.0075584255815027	8.93903760412713e-05
ENSOARG00000000417	101122157	S100A9	S100 calcium binding protein A9	3.98077181515531	5.68130281799308	4.3821984355241e-06	5.44234485144211e-06
ENSOARG00000000438	101114332	GRID1	glutamate ionotropic receptor delta type subunit 1	-1.40526882345043	-1.42426185446704	0.00998303959115885	0.0380012904910058
ENSOARG00000000454	101111588	PTPRF	protein tyrosine phosphatase, receptor type F	-1.3602323637348	-0.810803562558173	0.00189825895533171	0.0439953437545966
ENSOARG00000000483	443119	NFKB2	nuclear factor kappa B subunit 2	1.90825553963578	3.67695929981702	3.63097669338812e-06	6.22663957892965e-06
ENSOARG00000000487				4.39881697588889	2.69933196877148	0.000120837425566013	0.000272501799119368
ENSOARG00000000506	101117244	HSH2D	hematopoietic SH2 domain containing	2.75082504860287	2.91738615332774	0.00121497091708976	0.000128993994495862
ENSOARG00000000528				3.39837731995598	2.5399953483253	0.000157562842625637	0.00411756643558128
ENSOARG00000000530	101119562	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	2.12286014360588	2.35420022027273	0.00203596648208823	0.000126912775572212
ENSOARG00000000552	554257	TLR6	toll like receptor 6	-1.31204370206233	-0.68887100982261	0.0110191155099129	0.0153407525888377
ENSOARG00000000569	101113156	TNFAIP3	TNF alpha induced protein 3	2.55652759804278	2.78252259940777	1.27648901794719e-05	0.000294849610557435
ENSOARG00000000576	101117254	GSDMD	gasdermin D	-1.21352667761351	-1.71990602671781	0.00116715986641118	0.000330848611592893
ENSOARG00000000604				-1.29728371975733	-0.675440525507611	0.0032971481766052	0.0286115781749318
ENSOARG00000000615	101122206	RBBP9	RB binding protein 9, serine hydrolase	-1.09377930513502	-1.02040635964428	0.0217059448442491	0.0109537553596673
ENSOARG00000000627	101107309	CIT	citron rho-interacting serine/threonine kinase	-1.19385358994651	-1.20043938954493	0.00651928797276151	0.00220991061166243
