ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.astro.p.value
ENSOARG00000000119				-1.00506085602044	0.0493371715132853
ENSOARG00000000123	101119927	CX3CL1	C-X3-C motif chemokine ligand 1	2.08593821309719	0.00050829537323936
ENSOARG00000000156	101107639	PRKCD	protein kinase C delta	-0.940195764924606	0.0143762073505634
ENSOARG00000000237	101103274	DAAM2	dishevelled associated activator of morphogenesis 2	-1.17275134265316	0.00845482110124758
ENSOARG00000000492	101117610	NLRP12	NLR family pyrin domain containing 12	2.36576485029549	0.000596004530862039
ENSOARG00000000517	101120942	ADGRG1	adhesion G protein-coupled receptor G1	-1.45651513034075	0.0035508868433346
ENSOARG00000000538	554261	TLR1	toll like receptor 1	-1.80365790769896	0.0252639409074484
ENSOARG00000000638	101114730	CTDSPL	CTD small phosphatase like	-1.00929137037941	0.0459718853842289
ENSOARG00000000935	101106534	LOC101106534	multidrug resistance-associated protein 4	2.03988880911502	0.000591782523368996
ENSOARG00000001109	101108552	HMGN5	high mobility group nucleosome binding domain 5	1.08633294629052	0.0447810478647319
ENSOARG00000001161		MMP25	matrix metallopeptidase 25	-2.32375192579206	0.000293215900539172
ENSOARG00000001335		HIST1H1C	histone cluster 1 H1 family member c	1.24815691911476	0.0148961967396503
ENSOARG00000001379	100126571	CAV2	caveolin 2	-2.14060921808647	2.43731127106468e-05
ENSOARG00000001555	101121231	NFATC2IP	nuclear factor of activated T cells 2 interacting protein	0.907877927621713	0.0214096005189937
ENSOARG00000001748		RASD1	ras related dexamethasone induced 1	2.7788076742968	0.0212411829425447
ENSOARG00000001778	101118832		oxysterol binding protein like 5	-1.07298393845076	0.00797116534410107
ENSOARG00000001820	101121892		nuclear autoantigenic sperm protein	0.912077804292085	0.00801118498070854
ENSOARG00000001874	101120168	UTRN	utrophin	-1.40421921586985	0.000385235325114832
ENSOARG00000001908	101105108	CSPG4	chondroitin sulfate proteoglycan 4	-1.57798019212536	0.000755739365683493
ENSOARG00000002050	554323	TGFB3	transforming growth factor beta 3	-1.48673933959439	0.00246953130387536
ENSOARG00000002065	101111886	IFT43	intraflagellar transport 43	-0.962761763779463	0.0192664517749782
ENSOARG00000002302	101111578	RAPGEF2	Rap guanine nucleotide exchange factor 2	1.46878832773145	0.0101451832108609
ENSOARG00000002448	101103116	ATP8B2	ATPase phospholipid transporting 8B2	-1.11884036802737	0.00266856726094174
ENSOARG00000002497	101102302	NECAP1	NECAP endocytosis associated 1	0.843635926541691	0.0206128867143686
ENSOARG00000002546	101118515	LOC101118515	leukocyte-associated immunoglobulin-like receptor 1	-1.65971120740997	0.00044670181133722
ENSOARG00000002672	101109570	USP49	ubiquitin specific peptidase 49	1.16028868962913	0.0195168224105087
ENSOARG00000002718	100135686	CLEC4E	C-type lectin domain family 4 member E	-1.5613219979328	0.00143975085542948
ENSOARG00000002898	101104759		LDL receptor related protein 11	1.15637488854363	0.0113811138459574
ENSOARG00000002912	101109030	LRRN2	leucine rich repeat neuronal 2	-1.56310310129544	0.00353247203051238
ENSOARG00000002978	101109290	NFASC	neurofascin	-1.06022016015439	0.0476591984726687
ENSOARG00000003130	101118332	PLAT	plasminogen activator, tissue type	1.04802161819803	0.00355020996513313
ENSOARG00000003170	101103560	TMUB1	transmembrane and ubiquitin like domain containing 1	-1.02624870747854	0.0238112459272512
