ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100.B100.vs.Ctrl.micro.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.astro.p.value	LPS100.B100.vs.Ctrl.micro.p.value
ENSOARG00000000063	101123141	CCL22	C-C motif chemokine ligand 22	3.46799498270842	4.83765068301369	0.0015102205661513	0.000154760993913971
ENSOARG00000000072	101111137	FOSL1	FOS like 1, AP-1 transcription factor subunit	1.2643620637258	1.71126791323604	5.32972454639076e-05	0.0152019649459852
ENSOARG00000000080	101119062	CEP131	centrosomal protein 131	-1.10981816239522	-1.78977109983867	0.0149828805015203	0.00310593472129947
ENSOARG00000000082	101102440	MARCH5	membrane associated ring-CH-type finger 5	1.43731298473895	1.36277524669126	0.00430738976623203	0.00249801328454527
ENSOARG00000000103	101114930	PPP2CB	protein phosphatase 2 catalytic subunit beta	0.85807743169374	2.60282215260209	0.0401550925007743	0.000326305686335776
ENSOARG00000000110	101103370	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	1.37219164789771	2.19559084921298	0.000262663866672139	0.000416829622144562
ENSOARG00000000123	101119927	CX3CL1	C-X3-C motif chemokine ligand 1	1.40638255159315	1.91882045726984	0.00991349127212689	0.0253507249133005
ENSOARG00000000155	101104474	CPM	carboxypeptidase M	-1.08464076521444	-1.19561734474025	0.0209368740662286	0.0200349498295596
ENSOARG00000000165				1.8803484670205	4.67469089565765	0.00932640765585286	0.000111619090405014
ENSOARG00000000175	100294595	SOCS3	suppressor of cytokine signaling 3	3.47861073081506	6.05579497419397	3.98143742428327e-06	3.49300537501172e-05
ENSOARG00000000191	101116298	SULT1C4	sulfotransferase 1C4-like	-1.61306811580286	-2.17208312249956	0.000297514002095387	0.000936139959189289
ENSOARG00000000244	101115435		myotubularin-related protein 9	-1.5425400266408	-1.58827292746685	0.000792771067038851	0.000295128045458813
ENSOARG00000000248		SLC6A6	solute carrier family 6 member 6	-1.82050462113693	-2.33670179851431	0.000164454577822216	0.000286079551462282
ENSOARG00000000258	101109895	BAIAP2	BAI1 associated protein 2	-1.55068947520002	-2.27924646789708	0.000500270227602038	5.45806752745291e-05
ENSOARG00000000264	101121080		sodium- and chloride-dependent glycine transporter 1-like	1.36371551951244	2.79980476214022	0.00193312198992379	0.00430617632472224
ENSOARG00000000269	101114193	RASGEF1B	RasGEF domain family member 1B	2.90557300424733	3.52152356960966	1.64659368626761e-05	6.192556096991e-05
ENSOARG00000000304	101102850	ACKR3	atypical chemokine receptor 3	1.79194968509059	3.59416765816237	0.000450182474331459	0.00120981913133412
ENSOARG00000000306	101116728	TIFA	TRAF interacting protein with forkhead associated domain	3.15226060240108	3.19469447437969	0.000353423915979518	0.000294955791424252
ENSOARG00000000358	101102488	PSEN1	presenilin 1	0.944072825187012	1.18163132077226	0.0134574320509617	0.00739377057727618
ENSOARG00000000399	101114393	TBC1D2B	TBC1 domain family member 2B	1.92975646367796	3.81229844216592	0.00019359197067023	0.000321347799669943
ENSOARG00000000409	101111750	CCDC51	coiled-coil domain containing 51	-1.08627055117215	-1.5514336072147	0.024499127592101	0.00109723505155292
ENSOARG00000000417	101122157	S100A9	S100 calcium binding protein A9	4.16039928135006	5.66655620992734	2.80559264892523e-06	2.60589941296274e-05
ENSOARG00000000420	101104583	NDFIP2	Nedd4 family interacting protein 2	0.891940870080945	1.02132306550075	0.0115525156658009	0.030197546414478
ENSOARG00000000433	101118873	NAP1L5	nucleosome assembly protein 1 like 5	-1.42330377091005	-1.50975479184473	0.000856569262019096	0.0281348836275111
ENSOARG00000000443	101112084		cationic amino acid transporter 3-like	2.46061954471251	1.73088096311996	0.00138388065897484	0.00655154283253566
ENSOARG00000000483	443119	NFKB2	nuclear factor kappa B subunit 2	2.00684752987923	3.48419095086471	2.12828672127968e-06	4.96830816137516e-05
ENSOARG00000000487				3.72031294533021	2.61073961322869	0.000487169604018819	0.000772620725940741
ENSOARG00000000492	101117610	NLRP12	NLR family pyrin domain containing 12	4.02077912243859	4.97567759131173	9.02573904341395e-06	0.000467713626785592
ENSOARG00000000506	101117244	HSH2D	hematopoietic SH2 domain containing	3.03249614635344	3.27579169784161	0.000608836065051653	0.000148862613349035
ENSOARG00000000528				5.19578631343762	5.76869355906737	5.37742565151054e-06	6.1570732886567e-05
ENSOARG00000000530	101119562	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	3.15423149192251	2.91597857581732	0.00011916979472823	0.00015251101008032
ENSOARG00000000546	101117868	LOC101117868	cationic amino acid transporter 3-like	2.29119380888192	3.58662219415738	0.00257107564896516	0.00031344722468257
ENSOARG00000000569	101113156	TNFAIP3	TNF alpha induced protein 3	3.1013188938416	3.62689506453395	2.98250891013593e-06	0.000234372926259196
ENSOARG00000000604				-0.991812935067513	-1.0361425730652	0.0383579402706113	0.0116618837038674
ENSOARG00000000607				-1.54832931805051	-2.12949110739627	0.0013226610164737	0.000182966891632479
ENSOARG00000000669	101107368	SLC25A35	solute carrier family 25 member 35	-1.44920294418219	-1.27373744215977	0.00494109590439459	0.00332214012906621
ENSOARG00000000675	101113941	ARFGEF3	ARFGEF family member 3	3.17610293891076	2.28795264888633	3.88875334914246e-05	0.00187982375347841
ENSOARG00000000676	101119527	PAQR4	progestin and adipoQ receptor family member 4	-1.34742632349482	-1.83845744043117	0.00175143213178553	0.00153399837447342
ENSOARG00000000736	101119784	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	-1.19014275499021	-2.41551598984374	0.040440027649605	0.00023586629963473
ENSOARG00000000739	101108183		solute carrier family 6 member 9	1.38160211571365	2.72105767494225	0.000508787433731682	0.000116710184326047
ENSOARG00000000754	101117730	PLPBP	pyridoxal phosphate binding protein	-1.02390198584953	-1.01030713153514	0.00853279028079216	0.0111838715768643
ENSOARG00000000772	101110367	PLCD1	phospholipase C delta 1	-1.72252867196809	-2.22797513907721	2.43341568519756e-05	3.91230422837814e-05
ENSOARG00000000780		SLC2A4RG	SLC2A4 regulator	-1.06721325141963	-2.10542635111224	0.0351495143548882	0.00228661826457738
ENSOARG00000000803	101103445	MTCL1	microtubule crosslinking factor 1	-1.01707528817743	-2.0472598595201	0.0384696038461624	0.00223882895947718
ENSOARG00000000809	443419	STAT5A	signal transducer and activator of transcription 5A	1.71899669719299	3.76868405120557	0.00251806871538832	1.65753474265269e-05
ENSOARG00000000811	100135697	PARP1	poly(ADP-ribose) polymerase 1	-0.883373042238797	-0.696219363941099	0.0133394674062668	0.0166069848780678
ENSOARG00000000827	101113562	SHLD2	shieldin complex subunit 2	-1.14825241918792	-1.40928494800371	0.0119168107431089	0.000775477707911652
ENSOARG00000000888	101103655	XAF1	XIAP associated factor 1	2.03972400823686	2.42024886120898	0.00697079237636754	0.00256969579551262
ENSOARG00000000896				1.77985710259743	2.04439432402463	0.0129106425559346	0.00541129461107096
ENSOARG00000000904				1.88273657936751	2.121575571412	0.00840955353785997	0.00555454475036801
ENSOARG00000000915	101106749	ADGRB2	adhesion G protein-coupled receptor B2	-1.05997206491546	-0.880517778433908	0.00929326722072027	0.043002460870196
ENSOARG00000000917	105606097	LOC105606097	armadillo repeat protein deleted in velo-cardio-facial syndrome	-1.54575105377371	-1.60129196432183	0.00239507489955517	0.00111101797586271
ENSOARG00000000918	101113838	TFPI2	tissue factor pathway inhibitor 2	1.19124075741742	5.24754263179053	0.0279390210036499	3.13962064617963e-05
ENSOARG00000000929	101116812		serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta	-1.0152485845215	-1.21423392519772	0.0419994225026197	0.00308707275597858
ENSOARG00000000934	101102960	SYTL4	synaptotagmin like 4	0.982127221860537	1.53701935322066	0.0394709347041468	0.00396423515193787
ENSOARG00000000942	101120424	RNF213	ring finger protein 213	2.44179786151012	2.85194545386433	0.000121028351559924	0.000243453310160297
ENSOARG00000000944	101114640	TRIM21	tripartite motif containing 21	1.2405126667381	0.844030676856417	0.00570955313397064	0.0232916930943446
ENSOARG00000000945		NSMF	NMDA receptor synaptonuclear signaling and neuronal migration factor	-1.02548540903443	-1.21357339834928	0.00946692833485408	0.00090360681427413
ENSOARG00000000971	101106986	ANKRD12	ankyrin repeat domain 12	1.13068773719073	2.23093165224421	0.0353383883522212	0.000688569830333187
ENSOARG00000000982	101108179	MFSD13A	major facilitator superfamily domain containing 13A	-1.11679937644408	-0.673494551201651	0.00930697018677632	0.0119340834601992
ENSOARG00000001000				-1.04635791831623	-1.02755196190994	0.0149191377029666	0.00134016535623696
ENSOARG00000001045	101102829	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	1.08103545677538	1.61930716484973	0.0179749230775053	0.000610447996537974
ENSOARG00000001078	101103463	LOC101103463	TNF receptor-associated factor 2-like	1.2761918101896	2.32480760956444	0.0127823632882924	0.00168719196094963
ENSOARG00000001090	101112585	LOC101112585	F-box only protein 44	-0.954784605547931	-0.798386713487655	0.0204638380426787	0.00910616904835414
ENSOARG00000001108		CCDC106	coiled-coil domain containing 106	-1.46384662963348	-1.03609014634281	0.00311325238362192	0.0127851029068469
ENSOARG00000001138	101103321		HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	4.83838763246238	5.87451205662202	5.16362599891234e-05	7.69576340609034e-05
ENSOARG00000001149				2.72626713734175	4.15921486081954	0.0310796715023536	0.000796099958467039
ENSOARG00000001151	101115125	TMEM150C	transmembrane protein 150C	2.65169372741553	4.25256033330227	8.9926220914209e-05	0.000152669462192927
ENSOARG00000001154	101117881	EML1	echinoderm microtubule associated protein like 1	-1.26914621700331	-1.59367009756237	0.00140055237318493	0.0194080693281314
ENSOARG00000001202	101109760	PLK3	polo like kinase 3	1.21954286350731	1.36548655200104	0.00927823932122201	0.00117416682076442
ENSOARG00000001274	101120511	CDC25B	cell division cycle 25B	-2.10900329368832	-2.89444089230366	8.34938054228432e-06	6.46329079002853e-05
ENSOARG00000001357				1.23443960464804	0.96132285276915	0.00777083615555818	0.00647422855184843
ENSOARG00000001389				4.00163454899633	2.85351555551175	8.55336961756499e-06	0.00022918512076889
ENSOARG00000001406	101103086		DNA topoisomerase I	1.61901142618011	1.42610575974195	3.98877192423827e-05	0.00385575438673887
ENSOARG00000001448	101123119	PNPLA6	patatin like phospholipase domain containing 6	-0.904464789884963	-1.44860944904696	0.0304220743141093	0.000674900397733227
ENSOARG00000001457	101118600	REL	REL proto-oncogene, NF-kB subunit	3.82943340883711	3.57039405565713	1.73026413714156e-05	1.57386809230501e-05
ENSOARG00000001460	101106220	FAM45A	family with sequence similarity 45 member A	-0.916931769433745	-1.11673738651894	0.0130043268571905	0.0215093181185625
ENSOARG00000001462	101119755		secretion regulating guanine nucleotide exchange factor	-1.38338542337859	-1.46343960496553	0.00697079237636754	0.00153399837447342
ENSOARG00000001468	101116201	MAPK8	mitogen-activated protein kinase 8	0.863145627532289	1.06513541646111	0.0263032853575511	0.0219768551591097
ENSOARG00000001489	101104858	TPST2	tyrosylprotein sulfotransferase 2	-1.24897451158107	-1.38959457379154	0.0138046473458698	0.00012380289907313
ENSOARG00000001499	101114037	COQ8A	coenzyme Q8A	-1.63664906803153	-2.28464044548471	0.00119190645804209	0.000401906647973498
ENSOARG00000001505	101101994	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	1.20993298087283	1.46437327403865	0.00244200302095246	0.00988691901434198
ENSOARG00000001509	101107503	ARHGAP4	Rho GTPase activating protein 4	-2.29904586985245	-2.07410074463121	0.00130406374820114	6.1570732886567e-05
ENSOARG00000001511	100294659	STAT3	signal transducer and activator of transcription 3	0.964164519752266	1.30400524203795	0.00330956100282586	0.00395034630354786
ENSOARG00000001516	101119448	SERINC2	serine incorporator 2	-0.949236846214267	-1.76913626562126	0.0298114955640111	4.90154993126146e-05
ENSOARG00000001519	101114398	TRIM38	tripartite motif containing 38	1.43413257026531	1.68026393664623	0.0133855281081874	0.00316018626814807
ENSOARG00000001521	101105235		TNF receptor associated factor 2	1.53609151150342	2.26772287860275	0.000140432859415901	0.000246301628042756
ENSOARG00000001538		EDF1	endothelial differentiation related factor 1	1.02199461274936	1.1214016620427	0.00200687813252445	0.0129220952180654
ENSOARG00000001557	101121821	MEFV	MEFV, pyrin innate immunity regulator	5.3934484056067	6.79070544985655	7.57497283827888e-05	1.65753474265269e-05
ENSOARG00000001560	101116628	ARHGAP22	Rho GTPase activating protein 22	-1.92141929485077	-2.21257580463917	0.00393950785271568	0.000160913230158852
ENSOARG00000001570	101116682	RCN2	reticulocalbin 2	1.46648771070145	3.29628866128555	0.00198411081516759	0.000123319114599305
ENSOARG00000001574	100620047	BTG2	BTG anti-proliferation factor 2	1.65553313982388	1.88664247131629	9.62820452042372e-05	0.00239963552321497
ENSOARG00000001588	101108292	LOC101108292	guanylate-binding protein 2-like	4.31382245541575	5.79635305744664	0.000638103889656573	0.000118554282403299
ENSOARG00000001611	101115186	SLC25A12	solute carrier family 25 member 12	-1.57078092743234	-1.60221309972205	9.24473714751748e-05	0.000896943715044893
ENSOARG00000001650	101116939	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1	-2.06438678501492	-1.89155912867276	0.00444954699394093	0.00138074950093828
ENSOARG00000001673				-1.8279052793276	-1.88170855228769	0.00664023883386972	0.0047781767858972
ENSOARG00000001680	100302355	SFRP2	secreted frizzled related protein 2	3.04789197433444	2.18349655420181	0.00531081990474248	0.000336726944827417
ENSOARG00000001688	101108998	TMEM141	transmembrane protein 141	-1.26014351391179	-1.01649751183827	0.0363844223943374	0.032374664063292
ENSOARG00000001700	101103341	PLCG1	phospholipase C gamma 1	-1.25513938511897	-1.23945042195382	0.00173306101962978	0.0408841390367482
ENSOARG00000001718	101105710	MPPE1	metallophosphoesterase 1	-1.30489909890867	-1.2811229229077	0.00338749696992941	0.000294955791424252
ENSOARG00000001722	101108912	GNPDA1	glucosamine-6-phosphate deaminase 1	-1.04196121143772	-1.23846852870881	0.00219913893644868	0.00555742885764794
ENSOARG00000001731	101108619	CIDEA	cell death-inducing DFFA-like effector a	-1.24359566998216	-1.54512767333458	0.0238469099488522	0.000909595379543961
ENSOARG00000001735	101121442	HSPA12B	heat shock protein family A (Hsp70) member 12B	-1.24361016367759	-1.97830451424552	0.00575418716656224	0.00167898724707098
ENSOARG00000001747	101121184	SGSH	N-sulfoglucosamine sulfohydrolase	-1.19962718279256	-2.15026613641688	0.00200474690098343	6.94588221372378e-05
ENSOARG00000001749	101119399	PLAGL1	PLAG1 like zinc finger 1	0.980159728237474	2.19447974319673	0.010282859480218	0.00124989024324151
ENSOARG00000001786	101119909	STX11	syntaxin 11	1.98119081014017	3.1493274600965	0.000845622889735742	0.000156458766824592
ENSOARG00000001812	101110146	BATF	basic leucine zipper ATF-like transcription factor	2.21333326197409	3.33423127104521	0.00281282874911413	3.43189571624121e-05
ENSOARG00000001815				3.89209837709163	4.59659411974723	0.000210274205566866	5.66758306061481e-05
ENSOARG00000001822	101109054	SFXN2	sideroflexin 2	-1.44529043254451	-1.24933603087025	0.00625439540915003	0.0156618046760042
ENSOARG00000001833	101118394	PANX1	pannexin 1	2.06225592183208	1.6783676330209	1.63962707750097e-05	0.033982139767116
ENSOARG00000001863	101116049	SEMA6A	semaphorin 6A	2.68813906021576	3.61839933052664	4.74041242131199e-07	0.000452963469756575
ENSOARG00000001875	101120931	CARD14	caspase recruitment domain family member 14	-1.32738670147175	-2.48222474203158	0.0264370609244421	0.000144784705693373
ENSOARG00000001922	101105381	CYTH3	cytohesin 3	-1.6592882459426	-1.83483007278923	0.000910963140286639	0.00244338371185909
ENSOARG00000001930		PTPN2	protein tyrosine phosphatase, non-receptor type 2	1.04597108467112	1.0677789930082	0.00122752617054553	0.00327195183752357
ENSOARG00000001970	101120415	FBXO30	F-box protein 30	0.99527098765148	1.71988907526989	0.0143400596128393	0.0053418819290653
ENSOARG00000002000	101111794	BMT2	base methyltransferase of 25S rRNA 2 homolog	2.11330631249163	2.84587489836498	0.000938661974225999	0.00186101285989561
ENSOARG00000002035	101123073	WARS	tryptophanyl-tRNA synthetase	3.36008130444389	3.49472877409998	0.000659202240898432	0.000172138388234887
ENSOARG00000002056	101105855	PTPN9	protein tyrosine phosphatase, non-receptor type 9	0.930817208548575	2.80292284665612	0.0480487705608876	6.72292183835259e-05
ENSOARG00000002060	101116207	DCAF17	DDB1 and CUL4 associated factor 17	-1.08056233357036	-1.45397709088806	0.0292713222953075	0.00195923250465308
ENSOARG00000002086	101116715	LOC101116715	PDZ and LIM domain protein 2-like	-1.179989519611	-1.60592076810014	0.0290358809248666	0.00244433723697729
ENSOARG00000002164	101120906	PNPT1	polyribonucleotide nucleotidyltransferase 1	1.82130984675104	1.80435059389614	0.00175127725110924	0.00272453173928165
ENSOARG00000002198	443064	IL12A	interleukin 12A	6.180478630411	8.88219830299312	9.82197703044844e-05	1.61828209075452e-05
ENSOARG00000002204	101106450	LPIN3	lipin 3	-1.05272074006856	-1.51093816119708	0.00867432799217909	0.00279643199696964
ENSOARG00000002211	101123244	SERPINB9	serpin B9	1.4621820098513	4.82437877616832	0.0050991802166545	0.000160913230158852
ENSOARG00000002234	443308	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	2.04756309717688	1.59850580392491	4.13160027903835e-05	0.0201029965888162
ENSOARG00000002241	101112518	CSRNP1	cysteine and serine rich nuclear protein 1	2.15036468548976	2.99948035338267	9.74268455970151e-06	0.000162720312886719
ENSOARG00000002251	100196903	IDO1	indoleamine 2,3-dioxygenase 1	3.33591546685048	4.28550827352515	0.000213746204359319	0.000371441686281305
ENSOARG00000002278	101119098	MAGEF1	MAGE family member F1	-1.20103706285794	-1.71294777656914	0.00800525653528667	0.000479092603339986
ENSOARG00000002302	101111578	RAPGEF2	Rap guanine nucleotide exchange factor 2	1.67689190755689	1.72931393830637	0.00403311292459161	0.0239903793857616
ENSOARG00000002311	101110712	SERPINB1	serpin family B member 1	1.31526218450153	0.956325320690652	0.00366930619558152	0.0235385709711894
ENSOARG00000002352	101106797	SUDS3	SDS3 homolog, SIN3A corepressor complex component	0.985793548524378	1.01998994892165	0.0457306095987683	0.00612445070728525
ENSOARG00000002353	101109960	LRRC4	leucine rich repeat containing 4	0.999344482392072	3.86409600468601	0.0341881269758607	3.28058189961204e-05
ENSOARG00000002366		RXRA	retinoid X receptor alpha	-1.74242766961965	-1.37358720997904	0.000107163188651111	0.0131922179494376
ENSOARG00000002372				4.1829111573408	5.69392104623642	0.000678137225320218	1.95599693589343e-05
ENSOARG00000002386	100169934	CRY2	cryptochrome circadian regulator 2	-1.18955668768314	-1.29728119426377	0.00619255971018881	0.0159239067114615
ENSOARG00000002432		SIGLEC15	sialic acid binding Ig like lectin 15	-1.10354140649359	-0.919219226735519	0.0431962793444299	0.00536599111381818
ENSOARG00000002477	101106367	NEIL1	nei like DNA glycosylase 1	-1.32667031452641	-1.85845513294311	0.0138253392300598	0.000885984054768619
ENSOARG00000002479	101109983	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5	2.42829335187227	4.85292162253086	0.00207641073281668	1.57386809230501e-05
ENSOARG00000002524	101108505	PPP1R15B	protein phosphatase 1 regulatory subunit 15B	1.38335772466288	1.15163052408439	8.27287409386471e-05	0.0341293567919401
ENSOARG00000002545	101122082	EPB41	erythrocyte membrane protein band 4.1	-1.10682887452908	-1.51239998815104	0.0180097774294475	0.00451771560036956
ENSOARG00000002562	101103369	IL6R	interleukin 6 receptor	-1.69546642789876	-1.641057705767	0.00168634360677428	0.0113309262677983
ENSOARG00000002569				3.09503591824493	1.57116703271442	3.85292308125744e-06	0.00300218071570022
ENSOARG00000002578	101122114	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2	1.30939712886973	1.63727429684225	0.00023986174363806	0.0050956910759445
ENSOARG00000002585	101104355	MOB3C	MOB kinase activator 3C	1.50002397129158	2.24154415643845	0.0141790405126834	0.00206948882335718
ENSOARG00000002593	101115373	SPTLC2	serine palmitoyltransferase long chain base subunit 2	0.947286381216744	0.652926096729684	0.0296013821101516	0.0204837000136571
ENSOARG00000002640	101114035	NLRP1	NLR family pyrin domain containing 1	-3.2637996371607	-2.24863677756237	0.000227636701897855	0.000188155223785021
ENSOARG00000002644	101105773		leukocyte receptor cluster member 9	-1.13068266045515	-1.19641510153415	0.0394709347041468	0.0111842259782296
ENSOARG00000002658	101106884	C15orf39	chromosome 18 open reading frame, human C15orf39	-2.09018036096288	-2.80068566421191	0.0019875183125083	0.000408134725593678
ENSOARG00000002682		NTN1	netrin 1	1.4583295759628	4.25236148064069	0.00198830771390153	0.000302469178537369
ENSOARG00000002688	101121569	ANK1	ankyrin 1	-1.15377508309156	-0.848927052313331	0.0151962497636147	0.0324679226117096
ENSOARG00000002708				1.2094037249919	0.867586978455939	0.0190029617967696	0.00549912010103152
ENSOARG00000002720	101110137	VAV2	vav guanine nucleotide exchange factor 2	-1.21774074015025	-1.08587315998005	0.00278493142189522	0.00798817241376213
ENSOARG00000002726	101107138	PPCDC	phosphopantothenoylcysteine decarboxylase	-1.53159629463157	-2.09890028860645	0.0108586786224131	0.00018497462086158
ENSOARG00000002737	101105481		guanylate-binding protein 1-like	3.50457480002255	5.0153156463953	0.000410681998508812	1.95599693589343e-05
ENSOARG00000002754	100034672	PTX3	pentraxin 3	5.46627766991999	6.83959049599094	7.984540822533e-06	1.26770408662867e-05
ENSOARG00000002759				1.00220146251828	1.79519293012015	0.0269963248309599	0.000629880519022316
ENSOARG00000002776		ZNF619	zinc finger protein 619	-1.2503433070279	-1.35089492945304	0.00890336245159538	0.00175160136666422
ENSOARG00000002783	101112914	MDM4	MDM4, p53 regulator	1.79887362982741	2.44740719626023	0.00108469316297958	4.25311237754702e-05
ENSOARG00000002796				1.52171677312385	1.54279848885358	0.00102229068530371	0.00269880656209799
