ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.astro.p.value
ENSOARG00000000067	101114673		acidic leucine-rich nuclear phosphoprotein 32 family member A-like	-0.991744024092477	0.0231660060372221
ENSOARG00000000153		TREX1	three prime repair exonuclease 1	1.54055527843447	0.0384978537959509
ENSOARG00000000336	101108824	GCC2	GRIP and coiled-coil domain containing 2	1.27226767624608	0.0242937420493225
ENSOARG00000000405	101105769	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	1.63701113698647	0.0103900435574802
ENSOARG00000000415	101116204	RNF122	ring finger protein 122	2.98395252332256	0.00729339202006488
ENSOARG00000000717				0.970898041315555	0.0224068574579438
ENSOARG00000000829	443186	ACACA	acetyl-CoA carboxylase alpha	1.03112954658576	0.0163222414379848
ENSOARG00000000935	101106534	LOC101106534	multidrug resistance-associated protein 4	1.97770773320297	0.000686558377775789
ENSOARG00000000991	101109277	AKAP5	A-kinase anchoring protein 5	1.78808382735568	0.0492139161736753
ENSOARG00000001109	101108552	HMGN5	high mobility group nucleosome binding domain 5	1.21898002700435	0.0170344493805716
ENSOARG00000001238	101115363	DMXL1	Dmx like 1	1.20933725644711	0.0182479558062669
ENSOARG00000001286				-1.20513744661873	0.0114372507477704
ENSOARG00000001290	101118094	PEX13	peroxisomal biogenesis factor 13	0.973508437938594	0.0139188838082449
ENSOARG00000001379	100126571	CAV2	caveolin 2	-1.32628983478263	0.00103082954397381
ENSOARG00000001444	101109081	LOC101109081	septin-5	-1.01156405719206	0.032613740615998
ENSOARG00000001456	101120570	GFPT2	glutamine-fructose-6-phosphate transaminase 2	1.92185399862787	0.000149596157188186
ENSOARG00000001748		RASD1	ras related dexamethasone induced 1	4.52976953932717	0.00096183743258576
ENSOARG00000001798	101109137	PRELID3A	PRELI domain containing 3A	-1.20465307188255	0.0308994323888198
ENSOARG00000002052	101122737	IPP	intracisternal A particle-promoted polypeptide	-1.0935497645627	0.00877911520315777
ENSOARG00000002100				1.50940164987185	0.0104190877885543
ENSOARG00000002147	101109720	PIK3R6	phosphoinositide-3-kinase regulatory subunit 6	-1.47703781580186	0.0397305093052197
ENSOARG00000002173	101117765	PLAC8	placenta specific 8	3.18445078656622	0.00444954699394093
ENSOARG00000002322	101109048	TFEB	transcription factor EB	-2.18138235018984	0.000314179827980189
ENSOARG00000002482	101103484	SASH1	SAM and SH3 domain containing 1	1.33611862010148	0.000871691944820669
ENSOARG00000002516	101104478	CLEC4A	C-type lectin domain family 4 member A	-1.27712721297952	0.0389321062230661
ENSOARG00000002546	101118515	LOC101118515	leukocyte-associated immunoglobulin-like receptor 1	-1.52319231253799	0.000855806171600562
ENSOARG00000002605				-1.90233310793345	0.00330353540967735
ENSOARG00000002672	101109570	USP49	ubiquitin specific peptidase 49	1.05445750354043	0.043331889783168
ENSOARG00000002761		SCAMP5	secretory carrier membrane protein 5	-1.04774787898402	0.047597284404487
ENSOARG00000002820	101113167	HCK	HCK proto-oncogene, Src family tyrosine kinase	-1.36264763794409	0.00148961523723477
ENSOARG00000002898	101104759		LDL receptor related protein 11	1.01329814512821	0.0374766584802785
ENSOARG00000002906	101118333	SSB	Sjogren syndrome antigen B	0.835448482336691	0.0363481201614697
ENSOARG00000002912	101109030	LRRN2	leucine rich repeat neuronal 2	-1.10167862719855	0.043331889783168
ENSOARG00000003139	101112594	SIK3	SIK family kinase 3	0.877128707250312	0.0101021377932879
ENSOARG00000003192	101112105		solute carrier family 33 member 1	0.997267128049044	0.0012783245929333
ENSOARG00000003401	101115679	KCNK1	potassium two pore domain channel subfamily K member 1	1.49707879361258	0.000197733233514328
ENSOARG00000003421	101120750	LAP3	leucine aminopeptidase 3	1.83731838561046	5.89799211183862e-05
ENSOARG00000003481	101116701	ARID4B	AT-rich interaction domain 4B	0.93322779787859	0.0346974476384977
ENSOARG00000004089	101108688	CREBRF	CREB3 regulatory factor	0.978405203369627	0.0397305093052197
ENSOARG00000004162	101107713	FAM222B	family with sequence similarity 222 member B	0.996203705308391	0.0150390803939434
ENSOARG00000004219	101117068	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H	-1.23563061365669	0.00886460773330634
ENSOARG00000004328	101118274	ELOVL6	ELOVL fatty acid elongase 6	-1.10851777757496	0.0331773054034207
ENSOARG00000004379		C1RL	complement C1r subcomponent like	1.22600390306433	0.00769790641503914
ENSOARG00000004381	101121233	TMEM26	transmembrane protein 26	-1.32060084282666	0.0112845793155669
ENSOARG00000004431	101108995	XIRP2	xin actin binding repeat containing 2	-2.11314984658899	0.00655642681486102
ENSOARG00000004441	101115722	SLC41A1	solute carrier family 41 member 1	1.00191554430039	0.0474143926573739
ENSOARG00000004488	101119330	KIAA0355	KIAA0355 ortholog	1.10200666087786	0.00779453655878473
ENSOARG00000004505	101104483	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2	-1.10180016447526	0.000823074798207678
ENSOARG00000004577	101121707	INPPL1	inositol polyphosphate phosphatase like 1	-0.795549157560217	0.0361055651975816
ENSOARG00000004764	101113261	IL34	interleukin 34	-1.28387262165467	0.0107114128354767
ENSOARG00000004836	101114599	CTDSP2	CTD small phosphatase 2	0.977881594582608	0.0350370095138377
ENSOARG00000004887	101112110	TTYH3	tweety family member 3	-0.960000213334303	0.00540394819124466
ENSOARG00000004896	101103681	SYTL2	synaptotagmin like 2	-0.812765949884217	0.0489773997529391
ENSOARG00000004931	101112608	RAB3B	RAB3B, member RAS oncogene family	0.867273023296578	0.0425281199974017
ENSOARG00000004992		LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	-1.50300922738993	0.000484826343640534
ENSOARG00000005073	101107019	GRK6	G protein-coupled receptor kinase 6	-1.05121540213646	0.0209693555845665
ENSOARG00000005120	101103035	SLC25A16	solute carrier family 25 member 16	1.12828855966766	0.0170605723902581
ENSOARG00000005189				1.76804503127386	0.0117702926698072
ENSOARG00000005243				1.22433225147339	0.0475289818408076
ENSOARG00000005246	101108668	SAMD14	sterile alpha motif domain containing 14	-1.08693798625659	0.00775824197695189
ENSOARG00000005263	101120777	PLEKHA7	pleckstrin homology domain containing A7	-1.73728423230654	7.60986804762603e-05
ENSOARG00000005526	101108469	MCFD2	multiple coagulation factor deficiency 2	0.843682867235715	0.0307838523101002
ENSOARG00000005650	101104295	ARHGEF10	Rho guanine nucleotide exchange factor 10	-1.02853146931574	0.00375871876219301
ENSOARG00000005658	101121771	PPARGC1B	PPARG coactivator 1 beta	-1.44980874252205	0.0214172746002215
ENSOARG00000005672	101119388	B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1	-1.35297227735378	0.0130043268571905
ENSOARG00000005741	101118802	FAM117A	family with sequence similarity 117 member A	-1.35701374078138	0.0100517227981595
ENSOARG00000005846	101114540	TMC8	transmembrane channel like 8	-1.31086435155737	0.00210149569646928
ENSOARG00000005994	101105204	TRPC1	transient receptor potential cation channel subfamily C member 1	1.10907057456208	0.0149389596171464
ENSOARG00000006055	101108178	SORBS1	sorbin and SH3 domain containing 1	-1.57935869001861	0.00938398826958917
ENSOARG00000006124	101118405	RNF138	ring finger protein 138	1.28359078536338	0.00575418716656224
ENSOARG00000006125				1.54677733787027	0.0255551708526188
ENSOARG00000006130				1.38696358356591	0.0187658739454001
ENSOARG00000006239	101115098	TMEM50A	transmembrane protein 50A	0.965851130777306	0.0318508882125927
ENSOARG00000006249	101110875	TBX3	T-box 3	1.26306253842881	0.0287503262439425
ENSOARG00000006283	101118730	PITPNM2	phosphatidylinositol transfer protein membrane associated 2	-1.23710156131302	0.0180097774294475
ENSOARG00000006315	101113739	SETX	senataxin	1.71001777232511	1.64659368626761e-05
ENSOARG00000006409	101102645	CRMP1	collapsin response mediator protein 1	-1.54524486069639	4.43151809640227e-05
ENSOARG00000006501				1.06867655993605	0.0398978697922248
ENSOARG00000006506	101107328	SLC29A3	solute carrier family 29 member 3	-1.15609924234293	0.023982451635935
ENSOARG00000006581	100302551	SLC39A13	solute carrier family 39 member 13	-0.892033167339002	0.0146950187291053
ENSOARG00000006591	101119898	ARHGAP9	Rho GTPase activating protein 9	-1.30559921489573	0.0193575160369803
ENSOARG00000006701	101110687	PLD2	phospholipase D2	-0.925945522302181	0.0401529991502332
ENSOARG00000006729	101123429	TACC2	transforming acidic coiled-coil containing protein 2	-1.22966689854471	0.000542488495392602
ENSOARG00000006742	101120708	LRRC42	leucine rich repeat containing 42	-1.04103461982544	0.00904683380909429
ENSOARG00000006787	101103094	DCLK2	doublecortin like kinase 2	-1.19942208497612	0.00558406854390312
ENSOARG00000006807	101116740	RAB20	RAB20, member RAS oncogene family	1.50001252555144	0.0155383308446531
ENSOARG00000006993	101103935	RASSF7	Ras association domain family member 7	-1.24595458736882	0.0457840523982084
ENSOARG00000007137	101118556	RRAS2	RAS related 2	1.32124374501228	0.00160935449988687
ENSOARG00000007191				-1.09272948515293	0.00490874313247835
ENSOARG00000007303				1.55631311547486	0.001639367466096
ENSOARG00000007318	100415775	ID3	inhibitor of DNA binding 3, HLH protein	1.22333510968699	0.000546105915395283
ENSOARG00000007419	101122941	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	1.10155252267702	0.0231895938487056
ENSOARG00000007443	443082	IRF2	interferon regulatory factor 2	0.993882193788811	0.0409604587178471
ENSOARG00000007472	443031	CASP3	caspase 3	1.0237360628986	0.0231660060372221
ENSOARG00000007707	101106001	NRCAM	neuronal cell adhesion molecule	1.13853929313336	0.00444954699394093
ENSOARG00000007733	443161	ACVR1	activin A receptor type 1	-0.834732867810416	0.0436183325597028
ENSOARG00000007826	101102020	PLPP3	phospholipid phosphatase 3	1.51517299649351	0.00122752617054553
ENSOARG00000007856				1.13113890787407	0.00858892127784294
ENSOARG00000007878	101117768	NCOA7	nuclear receptor coactivator 7	1.29160004670378	0.00938233511623591
ENSOARG00000008099	101108327	SAMD11	sterile alpha motif domain containing 11	-1.85264522089326	0.0017716936557465
ENSOARG00000008102	101120504	CUEDC1	CUE domain containing 1	-0.978826227886379	0.0457611773326453
ENSOARG00000008119	443323	FST	follistatin	1.36442088151404	0.000481002645591739
ENSOARG00000008126	101115854	FAM149A	family with sequence similarity 149 member A	-1.32157533866335	0.000856569262019096
ENSOARG00000008128	101102474	GGCT	gamma-glutamylcyclotransferase	1.39685166875427	0.0208839201586794
ENSOARG00000008246	100144755	RB1	RB transcriptional corepressor 1	1.28678972672345	0.00462053615877042
ENSOARG00000008264	101116803	FMNL2	formin like 2	0.996557254322725	0.0140302254748739
ENSOARG00000008349		TACSTD2	tumor associated calcium signal transducer 2	1.68690499919696	0.00484721786186335
ENSOARG00000008384	101106382	PGGHG	protein-glucosylgalactosylhydroxylysine glucosidase	-0.878229021597982	0.0419994225026197
ENSOARG00000008407	101106579	BAZ2A	bromodomain adjacent to zinc finger domain 2A	0.863779820669796	0.0190911307260511
ENSOARG00000008439	101115550	CDADC1	cytidine and dCMP deaminase domain containing 1	1.19703022575919	0.0104304595802518
ENSOARG00000008549	101120235	C7orf25	chromosome 4 open reading frame, human C7orf25	-1.33474490710087	0.00234702472368434
ENSOARG00000008614	101105772	PHLDB3	pleckstrin homology like domain family B member 3	2.06053089880727	6.70323662430575e-05
ENSOARG00000008621				-1.29545615186534	0.00295915324023551
ENSOARG00000008656	101109631	FBLIM1	filamin binding LIM protein 1	-0.913572385564684	0.0496791855843438
ENSOARG00000008705	101121880	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	-1.17995838659946	0.0141118633612505
ENSOARG00000008738	101103468	SCRN1	secernin 1	-1.13578996895551	0.0409468614819752
ENSOARG00000008856	101106799	FBXO33	F-box protein 33	2.24300918615948	4.69995497090096e-05
ENSOARG00000008971	101118416	KIF27	kinesin family member 27	1.22187597636094	0.0419332350769304
ENSOARG00000008988	101122126	PLCG2	phospholipase C gamma 2	-0.965575290057225	0.0389157368263853
ENSOARG00000009025				1.11267833692548	0.0127049415705713
ENSOARG00000009038	101104937	C14orf28	chromosome 18 open reading frame, human C14orf28	1.55283306294543	0.0380928078188545
ENSOARG00000009091	101103186	SMTN	smoothelin	-1.06726722450351	0.00435732540563451
ENSOARG00000009419	101115146		zinc finger MYND-type containing 8	-0.905128845034047	0.0162249768760925
ENSOARG00000009431	101104604	DAB2	DAB2, clathrin adaptor protein	-1.24768051495343	0.00161962799419899
ENSOARG00000009500	101118493	SMNDC1	survival motor neuron domain containing 1	1.03335993045301	0.00338749696992941
ENSOARG00000009523	100147785	SLC25A15	solute carrier family 25 member 15	-1.06598375931639	0.02190606766785
ENSOARG00000009544	100620048	B4GALT1	beta-1,4-galactosyltransferase 1	1.162580839107	0.000500270227602038
ENSOARG00000009614	443154	HYAL2	hyaluronidase 2	-0.832726458804966	0.0253296327008075
ENSOARG00000009641		HDAC9	histone deacetylase 9	-1.71883842602102	0.00188593762203801
ENSOARG00000009673	101117478	FMR1	fragile X mental retardation 1	0.815140342244981	0.0450587523617634
ENSOARG00000009911	101107197	PROM1	prominin 1	1.71483330717577	0.00453283310326964
ENSOARG00000009918	101119284	DOCK5	dedicator of cytokinesis 5	-1.04538920848552	0.0175800407404961
ENSOARG00000010030	101110463	RAVER2	ribonucleoprotein, PTB binding 2	-1.27249312315266	0.0114629723947168
ENSOARG00000010111	101106998	LOC101106998	protein ARMCX6	-1.27335776128389	0.000938661974225999
ENSOARG00000010116	101112169	ARRDC4	arrestin domain containing 4	1.3008394323101	0.00048417720211853
ENSOARG00000010324	101116017		solute carrier family 39 member 14	1.98329903846178	0.0004025262511016
ENSOARG00000010370		SLX4IP	SLX4 interacting protein	1.05943326987208	0.0248257649612625
ENSOARG00000010489	101115961	CNN2	calponin 2	-0.949768078178048	0.012365774786282
ENSOARG00000010543	101115893	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	-1.12545187633138	0.037102230998889
ENSOARG00000010671	101120987	LZTS1	leucine zipper tumor suppressor 1	-0.929974592108082	0.0425281199974017
ENSOARG00000010732	101112279	ITPRIPL2	ITPRIP like 2	1.01425148142244	0.0187658739454001
