ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.logFC	LPS100_1_hit.vs.Ctrl_1_hit.p.value	LPS100.A10_1_hit.vs.Ctrl_1_hit.p.value	LPS100.B100_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000000063	101123141	CCL22	C-C motif chemokine ligand 22	2.82255427821479	3.73907475107899	3.46799498270842	0.00627024174641865	0.000863744519465718	0.00152629176758441
ENSOARG00000000072	101111137	FOSL1	FOS like 1, AP-1 transcription factor subunit	1.26030222582449	1.66575071878865	1.2643620637258	5.38909178625415e-05	5.03189808019116e-06	5.38266624184717e-05
ENSOARG00000000103	101114930	PPP2CB	protein phosphatase 2 catalytic subunit beta	0.870226736576916	1.23556845099532	0.85807743169374	0.0319312812658779	0.0005537563236197	0.0391611904290946
ENSOARG00000000110	101103370	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	1.40401157494115	1.3201343320506	1.37219164789771	0.00020396525115396	0.00039453276600071	0.000267150422435768
ENSOARG00000000123	101119927	CX3CL1	C-X3-C motif chemokine ligand 1	1.36055435349915	2.08593821309719	1.40638255159315	0.0120955114222789	0.000501186689143191	0.00986242675927365
ENSOARG00000000165				1.50579888184808	2.02630559169808	1.8803484670205	0.0380705934014042	0.00501729520930749	0.00926534211047665
ENSOARG00000000175	100294595	SOCS3	suppressor of cytokine signaling 3	3.52129698077322	2.96904555804781	3.47861073081506	3.98419550499318e-06	1.41555784595524e-05	4.31708495925371e-06
ENSOARG00000000191	101116298	SULT1C4	sulfotransferase 1C4-like	-1.50867032894136	-1.36997622192321	-1.61306811580286	0.000470470868237547	0.00097169202145986	0.000300704956921285
ENSOARG00000000244	101115435		myotubularin-related protein 9	-1.60223426047443	-2.23557176732873	-1.5425400266408	0.000578757276806414	4.96253055183729e-05	0.000797201269766955
ENSOARG00000000248		SLC6A6	solute carrier family 6 member 6	-1.70202846381167	-1.85429164234667	-1.82050462113693	0.000289033734410861	0.000146636262292224	0.000166703667054895
ENSOARG00000000269	101114193	RASGEF1B	RasGEF domain family member 1B	3.21532089002508	2.13685083824215	2.90557300424733	9.10065610727863e-06	0.000169348456009191	1.75040462947394e-05
ENSOARG00000000306	101116728	TIFA	TRAF interacting protein with forkhead associated domain	3.27616573311792	2.13682878848171	3.15226060240108	0.000265054271481962	0.00594590077139507	0.000357712213205225
ENSOARG00000000417	101122157	S100A9	S100 calcium binding protein A9	4.31272951506396	3.98077181515531	4.16039928135006	2.62960824297581e-06	4.85962298987484e-06	3.02482808707622e-06
ENSOARG00000000483	443119	NFKB2	nuclear factor kappa B subunit 2	2.00205406524464	1.90825553963578	2.00684752987923	2.25320038421023e-06	4.02655837577979e-06	2.26938058250136e-06
ENSOARG00000000487				3.76355827811921	4.39881697588889	3.72031294533021	0.000439090387115878	0.000122373930781975	0.000494918283082504
ENSOARG00000000492	101117610	NLRP12	NLR family pyrin domain containing 12	3.40214128508329	2.36576485029549	4.02077912243859	3.32375677615285e-05	0.000587812102579164	9.87195001282955e-06
ENSOARG00000000506	101117244	HSH2D	hematopoietic SH2 domain containing	3.25680158297284	2.75082504860287	3.03249614635344	0.000348284436749446	0.00119497306478247	0.000615306410338403
ENSOARG00000000527				3.80536686439397	2.67120908340215	3.93044152334974	8.09960266572376e-05	0.00111183712988916	6.6270914847669e-05
ENSOARG00000000528				4.96141779343028	3.39837731995598	5.19578631343762	9.10065610727863e-06	0.000158087907888374	5.85678950335782e-06
ENSOARG00000000530	101119562	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	3.22268861113928	2.12286014360588	3.15423149192251	0.000105544141689856	0.0019934372587643	0.000120186307645257
ENSOARG00000000569	101113156	TNFAIP3	TNF alpha induced protein 3	3.15783900599763	2.55652759804278	3.1013188938416	2.8239729843107e-06	1.41555784595524e-05	3.21805205517045e-06
ENSOARG00000000585	101119737	NPTX1	neuronal pentraxin 1	-1.82878440600228	-1.82225025489254	-1.54623596840222	0.00823351815789116	0.00799235171571263	0.0218035692222393
ENSOARG00000000604				-1.01259934991545	-1.29728371975733	-0.991812935067513	0.0296848448677225	0.00320864285115723	0.0374122905416974
ENSOARG00000000675	101113941	ARFGEF3	ARFGEF family member 3	3.03812431453186	2.83451595937928	3.17610293891076	5.11335695432497e-05	8.92161634009673e-05	3.90321123008739e-05
ENSOARG00000000772	101110367	PLCD1	phospholipase C delta 1	-1.5928872508869	-1.90154844304441	-1.72252867196809	4.92133566434142e-05	1.36606600005297e-05	2.48915894896783e-05
ENSOARG00000000809	443419	STAT5A	signal transducer and activator of transcription 5A	1.7873195330564	1.93074280181458	1.71899669719299	0.00183230147682134	0.0010381577659767	0.00253752606407385
ENSOARG00000000915	101106749	ADGRB2	adhesion G protein-coupled receptor B2	-0.909110161698025	-1.21238180397708	-1.05997206491546	0.0406582033272932	0.00216234748845388	0.00922561258914061
ENSOARG00000000917	105606097	LOC105606097	armadillo repeat protein deleted in velo-cardio-facial syndrome	-1.63793175113631	-1.17294485294279	-1.54575105377371	0.00162212356542018	0.0173166572611895	0.00241028352737503
ENSOARG00000000918	101113838	TFPI2	tissue factor pathway inhibitor 2	1.16750157816388	2.31393448556652	1.19124075741742	0.0304075360207114	0.000205490516587273	0.0273439472177565
ENSOARG00000000935	101106534	LOC101106534	multidrug resistance-associated protein 4	1.80118646822367	2.03988880911502	1.97770773320297	0.00142518808668306	0.000583024893456938	0.00069172938405256
ENSOARG00000000942	101120424	RNF213	ring finger protein 213	2.48298758941484	1.37506240851495	2.44179786151012	0.000106679280964974	0.0096877819313893	0.00012220258439933
ENSOARG00000000944	101114640	TRIM21	tripartite motif containing 21	1.43849806158564	1.03299846401425	1.2405126667381	0.00150910996389316	0.0297404946209499	0.00570583076363074
ENSOARG00000000971	101106986	ANKRD12	ankyrin repeat domain 12	1.13738622961969	1.12531963473186	1.13068773719073	0.0314642519343368	0.037339722201854	0.0344480476895493
ENSOARG00000000982	101108179	MFSD13A	major facilitator superfamily domain containing 13A	-1.10672389582234	-1.42407669945958	-1.11679937644408	0.00966826108409182	0.000943672202994768	0.00924205448632526
ENSOARG00000000993		EVA1A	eva-1 homolog A, regulator of programmed cell death	3.233427316118	2.10969182833088	3.14141582057425	0.000669766942312462	0.0174264667646031	0.000878940749117394
ENSOARG00000001026	101103905	SLC13A5	solute carrier family 13 member 5	-1.58162973353013	-2.08346200581557	-1.61230147881229	0.00494258894723841	0.000654852155470164	0.00450894424886029
ENSOARG00000001078	101103463	LOC101103463	TNF receptor-associated factor 2-like	1.1592208900367	1.5613193594663	1.2761918101896	0.0255113048578133	0.00260966979522788	0.0126891610792191
ENSOARG00000001108		CCDC106	coiled-coil domain containing 106	-1.50546254438737	-1.29549791594651	-1.46384662963348	0.00246704496089186	0.00747678550761289	0.00313066690153275
ENSOARG00000001109	101108552	HMGN5	high mobility group nucleosome binding domain 5	1.43156970767899	1.08633294629052	1.21898002700435	0.00465566304536789	0.0428591405203074	0.0168221657710311
ENSOARG00000001138	101103321		HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	4.91238326933194	3.45953360880255	4.83838763246238	4.71254062870987e-05	0.00043008291970656	5.19598199501285e-05
ENSOARG00000001149				2.79774477212961	3.50922639504966	2.72626713734175	0.0238431575756566	0.00555775533895968	0.0303696348946373
ENSOARG00000001151	101115125	TMEM150C	transmembrane protein 150C	2.55431140805438	1.52070954488035	2.65169372741553	0.000120612935081389	0.00693756129705185	9.03742905268696e-05
ENSOARG00000001154	101117881	EML1	echinoderm microtubule associated protein like 1	-1.22311622989013	-1.16423022638364	-1.26914621700331	0.00200591468152438	0.00323598384034088	0.00141904483137943
ENSOARG00000001274	101120511	CDC25B	cell division cycle 25B	-1.98086462867233	-1.88094135460414	-2.10900329368832	1.38829465826947e-05	2.43185374080892e-05	9.11872702586184e-06
ENSOARG00000001290	101118094	PEX13	peroxisomal biogenesis factor 13	0.981841339981489	0.911020114455071	0.973508437938594	0.0121267690440739	0.0285220979142854	0.013822464614272
ENSOARG00000001379	100126571	CAV2	caveolin 2	-1.31089981234233	-2.14060921808647	-1.32628983478263	0.00112216131004347	2.61374259331338e-05	0.00103903133505618
ENSOARG00000001389				4.03603746244493	2.9932814577468	4.00163454899633	9.10065610727863e-06	8.4990366064048e-05	9.34365750751701e-06
ENSOARG00000001406	101103086		DNA topoisomerase I	1.73565381153364	1.36782969038083	1.61901142618011	2.03948575914002e-05	0.000167705893842082	4.02121281228506e-05
ENSOARG00000001444	101109081	LOC101109081	septin-5	-1.15808758302444	-1.42113697591124	-1.01156405719206	0.00913163652235116	0.0014992833604895	0.0318400308755184
ENSOARG00000001456	101120570	GFPT2	glutamine-fructose-6-phosphate transaminase 2	1.9417492952007	2.69414882627439	1.92185399862787	0.000133584260574043	1.41555784595524e-05	0.000151082139085818
ENSOARG00000001457	101118600	REL	REL proto-oncogene, NF-kB subunit	3.86654086059037	3.54938891784259	3.82943340883711	1.61961568024516e-05	3.59767319509059e-05	1.82378149182889e-05
ENSOARG00000001468	101116201	MAPK8	mitogen-activated protein kinase 8	0.876824653221893	0.986927779244169	0.863145627532289	0.0202271398704971	0.00459248010045968	0.0257688728562978
ENSOARG00000001509	101107503	ARHGAP4	Rho GTPase activating protein 4	-2.28844563402173	-2.51362210090693	-2.29904586985245	0.00128316688198182	0.000690577223123898	0.00132069443924145
ENSOARG00000001516	101119448	SERINC2	serine incorporator 2	-0.942823282357349	-1.08808937299321	-0.949236846214267	0.0297752981978934	0.0069413072296057	0.0291984034817079
ENSOARG00000001521	101105235		TNF receptor associated factor 2	1.46960586205614	1.80955333752422	1.53609151150342	0.000196775320499662	3.99394909734649e-05	0.000141575007113722
ENSOARG00000001538		EDF1	endothelial differentiation related factor 1	0.972508473992228	1.14677731672025	1.02199461274936	0.00389509176549147	0.00048261816651765	0.0020255091063156
ENSOARG00000001557	101121821	MEFV	MEFV, pyrin innate immunity regulator	5.46391659846014	5.18000384244742	5.3934484056067	6.59596038439271e-05	9.81261672105514e-05	7.63658048355708e-05
ENSOARG00000001560	101116628	ARHGAP22	Rho GTPase activating protein 22	-1.96323517072858	-1.87970898434429	-1.92141929485077	0.00328885257582218	0.00429616957443106	0.00394765051621256
ENSOARG00000001574	100620047	BTG2	BTG anti-proliferation factor 2	1.52121295742566	1.73494810128069	1.65553313982388	0.000204585670453092	6.99755174340421e-05	9.67332655131286e-05
ENSOARG00000001588	101108292	LOC101108292	guanylate-binding protein 2-like	4.46976387791208	2.47585708821301	4.31382245541575	0.000530767595551268	0.021772753594202	0.00064309545937892
ENSOARG00000001650	101116939	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1	-2.00460312759882	-2.66247885803882	-2.06438678501492	0.00520481112332959	0.000850883322730692	0.00445442762526523
ENSOARG00000001680	100302355	SFRP2	secreted frizzled related protein 2	2.54560031931607	2.21248191498978	3.04789197433444	0.0166662816034107	0.0427039591207499	0.00529854620244103
ENSOARG00000001700	101103341	PLCG1	phospholipase C gamma 1	-1.26407641938468	-1.27942432333406	-1.25513938511897	0.00157471056875561	0.00140275285260571	0.00175110298316812
ENSOARG00000001722	101108912	GNPDA1	glucosamine-6-phosphate deaminase 1	-0.946212013277101	-0.973718238495079	-1.04196121143772	0.00749628406293568	0.00513461834719817	0.00221548718190496
ENSOARG00000001735	101121442	HSPA12B	heat shock protein family A (Hsp70) member 12B	-1.35991856791457	-1.43427186177302	-1.24361016367759	0.00262766484320819	0.00158610441132566	0.00575509238924182
ENSOARG00000001747	101121184	SGSH	N-sulfoglucosamine sulfohydrolase	-1.0325382329521	-1.2817644931671	-1.19962718279256	0.00962480778999582	0.000975207525443806	0.00202249935576473
ENSOARG00000001748		RASD1	ras related dexamethasone induced 1	4.53702421815854	2.7788076742968	4.52976953932717	0.00092340053005155	0.0204784385059373	0.000967758811770223
ENSOARG00000001749	101119399	PLAGL1	PLAG1 like zinc finger 1	1.15425849294466	0.956255361548313	0.980159728237474	0.0014504082552258	0.0133131024175688	0.0102028090783308
ENSOARG00000001786	101119909	STX11	syntaxin 11	2.00770279929592	1.73491585868289	1.98119081014017	0.000733023528744252	0.00232830411256872	0.000852661537559119
ENSOARG00000001815				3.94018586723828	2.1452124504389	3.89209837709163	0.000190538284213383	0.0136246662473339	0.000214236710540393
ENSOARG00000001822	101109054	SFXN2	sideroflexin 2	-1.6451820819966	-1.28893960720433	-1.44529043254451	0.00257155950915052	0.0130063679065965	0.00626642127581136
ENSOARG00000001833	101118394	PANX1	pannexin 1	2.10654723963546	1.48430025131462	2.06225592183208	1.38829465826947e-05	0.0002997679053016	1.74088577308879e-05
ENSOARG00000001863	101116049	SEMA6A	semaphorin 6A	2.66652679695167	2.96519944432482	2.68813906021576	5.21644573787182e-07	2.70377217327977e-07	5.25686308437123e-07
ENSOARG00000001930		PTPN2	protein tyrosine phosphatase, non-receptor type 2	1.15633890825055	0.991383581762848	1.04597108467112	0.000345375540979063	0.0024561589756237	0.00124081523938538
ENSOARG00000001970	101120415	FBXO30	F-box protein 30	1.01824499974186	1.35143350054252	0.99527098765148	0.010736654669486	0.000562223985946506	0.0142541773671977
ENSOARG00000002000	101111794	BMT2	base methyltransferase of 25S rRNA 2 homolog	2.07106771163085	1.62837707131892	2.11330631249163	0.00106490725249134	0.00711837914683252	0.000943921940778862
ENSOARG00000002035	101123073	WARS	tryptophanyl-tRNA synthetase	3.33155480223769	2.6460999672758	3.36008130444389	0.000681300603826752	0.0032787537016602	0.000663360131735623
ENSOARG00000002086	101116715	LOC101116715	PDZ and LIM domain protein 2-like	-1.23963259060147	-1.52464300115098	-1.179989519611	0.018670386443553	0.00446094764714207	0.028416146752247
ENSOARG00000002124		ADGRB1	adhesion G protein-coupled receptor B1	-1.04587280607093	-1.82777949496366	-0.97924243175669	0.0159335077396921	0.000148063956797584	0.0308649980420767
ENSOARG00000002198	443064	IL12A	interleukin 12A	5.9243884436717	5.00013448261543	6.180478630411	0.000129799347103505	0.000484005350586857	9.88096967754241e-05
ENSOARG00000002241	101112518	CSRNP1	cysteine and serine rich nuclear protein 1	2.31041279838366	2.46197916915038	2.15036468548976	6.31883166338043e-06	4.71681586064844e-06	1.06619551460426e-05
ENSOARG00000002251	100196903	IDO1	indoleamine 2,3-dioxygenase 1	3.42112705928134	1.47525854689043	3.33591546685048	0.000180311361727403	0.0479226836120584	0.00021789375802231
ENSOARG00000002302	101111578	RAPGEF2	Rap guanine nucleotide exchange factor 2	1.7721559429205	1.46878832773145	1.67689190755689	0.00257155950915052	0.00978344310953454	0.0040410406107671
