ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.Ctrl_1_hit.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.p.value	LPS100.B100_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000000155	101104474	CPM	carboxypeptidase M	-1.11716902064651	-1.08464076521444	0.0160234536456595	0.0206212456626041
ENSOARG00000001337	445468	CAV1	caveolin 1	-2.31786857934576	-0.769010412438349	3.55985149954551e-07	0.048906620214134
ENSOARG00000001875	101120931	CARD14	caspase recruitment domain family member 14	-1.28903285234855	-1.32738670147175	0.0301743019819253	0.0258892928847468
ENSOARG00000002516	101104478	CLEC4A	C-type lectin domain family 4 member A	-1.86662383673172	-1.27712721297952	0.00328827179716146	0.0379777849968033
ENSOARG00000002898	101104759		LDL receptor related protein 11	1.15637488854363	1.01329814512821	0.0109539126623743	0.0365276066785664
ENSOARG00000002900	101107985	PLEKHG4	pleckstrin homology and RhoGEF domain containing G4	-1.43557018957083	-1.63041538056183	0.00995731046081387	0.00482363880189434
ENSOARG00000002912	101109030	LRRN2	leucine rich repeat neuronal 2	-1.56310310129544	-1.10167862719855	0.00343624735855732	0.0423129480790241
ENSOARG00000004123		KCNG2	potassium voltage-gated channel modifier subfamily G member 2	-1.32151650793842	-1.29808691394415	0.0151084175288548	0.0188157676823807
ENSOARG00000004219	101117068	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H	-1.14862063900155	-1.23563061365669	0.0155571856179393	0.00880734588883062
ENSOARG00000004896	101103681	SYTL2	synaptotagmin like 2	-1.44899581180378	-0.812765949884217	6.69567305659561e-05	0.0478864441491919
ENSOARG00000004905	101105015	PUSL1	pseudouridine synthase like 1	-1.12329048408688	-1.01506947927732	0.0180998614996378	0.0432044451745731
ENSOARG00000005164	101107544	HCST	hematopoietic cell signal transducer	2.16084437675644	1.40408512422644	0.0015156093420356	0.0374122905416974
ENSOARG00000005672	101119388	B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1	-1.25246151304707	-1.35297227735378	0.0209904644352957	0.0129196596563315
ENSOARG00000006787	101103094	DCLK2	doublecortin like kinase 2	-1.35220120273423	-1.19942208497612	0.00178072995480022	0.00558181747643842
ENSOARG00000007555	101101873	ATP2B3	ATPase plasma membrane Ca2+ transporting 3	-1.68193133819626	-1.17540986826671	0.00302080463254897	0.0330067086821457
ENSOARG00000007953	101108340	TMEM184C	transmembrane protein 184C	0.832155361779448	0.826904951455223	0.0389989446510195	0.0414940611345813
ENSOARG00000008022	101114586	LOC101114586	sorbin and SH3 domain-containing protein 2	-1.97052570421529	-1.23544617621457	0.000781954988616116	0.0209941501294253
ENSOARG00000008102	101120504	CUEDC1	CUE domain containing 1	-1.16256225400386	-0.978826227886379	0.0096430308782922	0.04477825620158
ENSOARG00000008103	101102478	ZSWIM4	zinc finger SWIM-type containing 4	1.06045915205565	1.06557711254266	0.0304551540863474	0.0288893628101939
ENSOARG00000008183		TRIB1	tribbles pseudokinase 1	1.05293097797951	1.11093591832664	0.0420597426924479	0.0263997533796852
ENSOARG00000008384	101106382	PGGHG	protein-glucosylgalactosylhydroxylysine glucosidase	-1.39607272585618	-0.878229021597982	0.000319339573876191	0.0409827044489428
ENSOARG00000008721	101117798	C20H6orf141	chromosome 20 open reading frame, human C6orf141	-1.48336204412309	-1.41047546104306	0.0373318991928209	0.0469182369092008
ENSOARG00000008947		KCNN4	potassium calcium-activated channel subfamily N member 4	-2.00372179071553	-1.40777680370898	0.00279258004002849	0.0252559288915033
ENSOARG00000009791	101122711	RGS1	regulator of G protein signaling 1	-1.78542568953696	-1.36594336158426	0.00791424920449177	0.0399597312693455
ENSOARG00000010030	101110463	RAVER2	ribonucleoprotein, PTB binding 2	-1.51078444972265	-1.27249312315266	0.00302080463254897	0.011376040062725
ENSOARG00000010775	101118488	SSH3	slingshot protein phosphatase 3	-1.27786748279406	-0.879011898266041	0.000719953560591426	0.0427079346318267
ENSOARG00000011100	101102700	TBC1D2	TBC1 domain family member 2	-1.63477785293512	-1.04973034955042	0.0011056295427131	0.0376180492809246
ENSOARG00000011146	101108464	PADI2	peptidyl arginine deiminase 2	-1.53777428928422	-1.17739605671433	0.000894094468328107	0.00876842294203121
ENSOARG00000011424	100307044	FHL1	four and a half LIM domains 1	-1.79680056000803	-0.920280997948918	5.7311070840057e-05	0.0313740505835923
ENSOARG00000011674	101117161	MATK	megakaryocyte-associated tyrosine kinase	-2.33246687125631	-1.52128380253724	0.000875531926691474	0.0139370066515301
ENSOARG00000011852	101106456	LMTK3	lemur tyrosine kinase 3	-1.28252527516965	-1.17954967145883	0.010959482559392	0.0213856636724025
ENSOARG00000012306	101113968	FAM118B	family with sequence similarity 118 member B	1.45925556404389	0.894181412061866	0.000199889573376014	0.0344480476895493
ENSOARG00000012600		ZBTB43	zinc finger and BTB domain containing 43	1.47247868778231	1.10025906833966	0.00187019316267598	0.0234658002851356
ENSOARG00000012641	101112832		CMRF35-like molecule 8	-1.47968582409595	-1.0080936774586	0.00159377627408917	0.0402679430197305
ENSOARG00000012933	101105215	MAMDC2	MAM domain containing 2	-1.03008991205586	-1.16920897190739	0.0463568451813378	0.0179184315755152
ENSOARG00000013157	443331	TIMP1	TIMP metallopeptidase inhibitor 1	0.866969290633385	0.877667539465131	0.0286891920094419	0.0247087364067556
ENSOARG00000014323	101108411	ECHDC3	enoyl-CoA hydratase domain containing 3	-1.65748687004939	-1.13507000970378	0.00391936113130226	0.0485036115797768
ENSOARG00000014988	101110887	AHNAK	AHNAK nucleoprotein	-1.04389485007239	-0.935393520337798	0.0098226505225987	0.0311220965208859
ENSOARG00000017116	101122823	MRGPRF	MAS related GPR family member F	-2.36644359145497	-1.43680962998317	0.000123499643654826	0.00442619878931924
ENSOARG00000018572	100144761	CDK6	cyclin dependent kinase 6	1.26042017630424	1.20387597844846	0.0299529053558525	0.0399004770816324
ENSOARG00000019289		SHISAL1	shisa like 1	-1.64985813067584	-1.20122027693141	0.00295960456986085	0.0255081853691438
ENSOARG00000020077	101112356	HIST1H1T	histone H1t	4.07336013219394	1.30407745290214	6.23804587629477e-06	0.0316200557970424
