ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.logFC	LPS100_1_hit.vs.Ctrl_1_hit.p.value	LPS100.B100_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000000067	101114673		acidic leucine-rich nuclear phosphoprotein 32 family member A-like	-0.986878533441315	-0.991744024092477	0.0225708884292959	0.0227249482771833
ENSOARG00000000080	101119062	CEP131	centrosomal protein 131	-1.53175614336644	-1.10981816239522	0.000969204805987208	0.0148425688357533
ENSOARG00000000082	101102440	MARCH5	membrane associated ring-CH-type finger 5	1.51992866136945	1.43731298473895	0.00277770150369027	0.00432015315892562
ENSOARG00000000133	101116241	GJC1	gap junction protein gamma 1	1.12862523673972	1.0664974797398	0.0101099674690004	0.0179236088679101
ENSOARG00000000153		TREX1	three prime repair exonuclease 1	1.5413092560655	1.54055527843447	0.0354672436164762	0.037538191230781
ENSOARG00000000258	101109895	BAIAP2	BAI1 associated protein 2	-1.43522132588289	-1.55068947520002	0.000851978192779732	0.000508541775791247
ENSOARG00000000264	101121080		sodium- and chloride-dependent glycine transporter 1-like	1.27523981083895	1.36371551951244	0.0035267965171586	0.0019505437443024
ENSOARG00000000304	101102850	ACKR3	atypical chemokine receptor 3	1.68194097501339	1.79194968509059	0.000734062619485898	0.000456437224967062
ENSOARG00000000336	101108824	GCC2	GRIP and coiled-coil domain containing 2	1.33870540838503	1.27226767624608	0.0161488900250904	0.0238261699569971
ENSOARG00000000358	101102488	PSEN1	presenilin 1	0.991057206644847	0.944072825187012	0.00736776834735069	0.0133551038057516
ENSOARG00000000399	101114393	TBC1D2B	TBC1 domain family member 2B	1.9171183896907	1.92975646367796	0.000197591444504351	0.000197313926877606
ENSOARG00000000405	101105769	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	1.51659289751547	1.63701113698647	0.0156119229452437	0.0103123958681697
ENSOARG00000000409	101111750	CCDC51	coiled-coil domain containing 51	-1.34389731354785	-1.08627055117215	0.00401872059781201	0.0240384998733052
ENSOARG00000000415	101116204	RNF122	ring finger protein 122	3.08887806453263	2.98395252332256	0.00575578391960072	0.00726711084576656
ENSOARG00000000420	101104583	NDFIP2	Nedd4 family interacting protein 2	0.958711712489585	0.891940870080945	0.00424940698148776	0.0114695264604228
ENSOARG00000000433	101118873	NAP1L5	nucleosome assembly protein 1 like 5	-1.09034835802538	-1.42330377091005	0.00959867320045726	0.000864824643440987
ENSOARG00000000443	101112084		cationic amino acid transporter 3-like	2.29902996067638	2.46061954471251	0.00216905798047847	0.00140098640145762
ENSOARG00000000546	101117868	LOC101117868	cationic amino acid transporter 3-like	2.18048248813714	2.29119380888192	0.0036756345991041	0.00259233239958437
ENSOARG00000000607				-1.78841156393064	-1.54832931805051	0.000429821355041533	0.00133776166886692
ENSOARG00000000676	101119527	PAQR4	progestin and adipoQ receptor family member 4	-1.39421515481463	-1.34742632349482	0.00126128914024583	0.00177044156416143
ENSOARG00000000717				1.0729036307218	0.970898041315555	0.00766833741150119	0.0219931260112966
ENSOARG00000000736	101119784	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	-1.26937167744708	-1.19014275499021	0.0242973427862986	0.0394423798618993
ENSOARG00000000739	101108183		solute carrier family 6 member 9	1.31669992226181	1.38160211571365	0.00077722850759398	0.000516572897916549
ENSOARG00000000754	101117730	PLPBP	pyridoxal phosphate binding protein	-1.11154572841909	-1.02390198584953	0.00328888873152501	0.00850258362379077
ENSOARG00000000803	101103445	MTCL1	microtubule crosslinking factor 1	-1.13511425567744	-1.01707528817743	0.0140150921075447	0.0375074387114254
ENSOARG00000000811	100135697	PARP1	poly(ADP-ribose) polymerase 1	-0.817517174605719	-0.883373042238797	0.0346977225742921	0.0132582357547411
ENSOARG00000000827	101113562	SHLD2	shieldin complex subunit 2	-1.12421181595217	-1.14825241918792	0.0135863886840188	0.0118270101140177
ENSOARG00000000829	443186	ACACA	acetyl-CoA carboxylase alpha	0.929083161707934	1.03112954658576	0.0423215720820557	0.0161455809820029
ENSOARG00000000888	101103655	XAF1	XIAP associated factor 1	2.19999210933412	2.03972400823686	0.0041127366366078	0.00696186809679836
ENSOARG00000000896				1.93802930285025	1.77985710259743	0.00713996019632908	0.0128228211011092
ENSOARG00000000904				1.9830385105211	1.88273657936751	0.00581329176026297	0.00837705965225587
ENSOARG00000000929	101116812		serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta	-1.02784370783175	-1.0152485845215	0.0348516358715083	0.0409827044489428
ENSOARG00000000934	101102960	SYTL4	synaptotagmin like 4	0.968506073837891	0.982127221860537	0.0411787563772738	0.0384819104907999
ENSOARG00000000945		NSMF	NMDA receptor synaptonuclear signaling and neuronal migration factor	-0.963145882674133	-1.02548540903443	0.0171718410137254	0.00941356619746548
ENSOARG00000001000				-0.985355558601142	-1.04635791831623	0.0249709610862355	0.0147974217310976
ENSOARG00000001045	101102829	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	1.19033641239601	1.08103545677538	0.00715012758011376	0.0177470986774697
ENSOARG00000001202	101109760	PLK3	polo like kinase 3	1.17136266859168	1.21954286350731	0.0124895413590719	0.00920752097164104
ENSOARG00000001238	101115363	DMXL1	Dmx like 1	1.21029835618079	1.20933725644711	0.0171600218594021	0.0180045414215904
ENSOARG00000001357				1.37145565920628	1.23443960464804	0.00296132300197843	0.00774393770897304
ENSOARG00000001448	101123119	PNPLA6	patatin like phospholipase domain containing 6	-0.958647581721306	-0.904464789884963	0.0152288518047532	0.0297700760669865
ENSOARG00000001460	101106220	FAM45A	family with sequence similarity 45 member A	-0.887272177304293	-0.916931769433745	0.0181751308579977	0.0129186312393512
ENSOARG00000001462	101119755		secretion regulating guanine nucleotide exchange factor	-1.19532929236942	-1.38338542337859	0.0188347414632413	0.00696186809679836
ENSOARG00000001489	101104858	TPST2	tyrosylprotein sulfotransferase 2	-1.24351897006735	-1.24897451158107	0.0137553056946448	0.0137024637805425
