ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100_1_hit.vs.Ctrl_1_hit.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000000271	780518	CLMP	CXADR like membrane protein	0.967238162799251	0.0206382769431988
ENSOARG00000000343	101102081	DOK4	docking protein 4	-1.54506368268265	0.0156244782301891
ENSOARG00000000669	101107368	SLC25A35	solute carrier family 25 member 35	-1.44920294418219	0.00493026235305743
ENSOARG00000000780		SLC2A4RG	SLC2A4 regulator	-1.06721325141963	0.0342489545757329
ENSOARG00000000991	101109277	AKAP5	A-kinase anchoring protein 5	1.78808382735568	0.0480657075977789
ENSOARG00000001090	101112585	LOC101112585	F-box only protein 44	-0.954784605547931	0.0201552323480177
ENSOARG00000001130	101123239	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit	-1.33211989316756	0.0479245899024256
ENSOARG00000001286				-1.20513744661873	0.0113493645305712
ENSOARG00000001775	101119165		MN1 proto-oncogene, transcriptional regulator	-1.86384390348483	0.0197832078431552
ENSOARG00000001798	101109137	PRELID3A	PRELI domain containing 3A	-1.20465307188255	0.0302080193331806
ENSOARG00000001994	101118815	GPR83	G protein-coupled receptor 83	1.07508252995921	0.0479846014725179
ENSOARG00000002052	101122737	IPP	intracisternal A particle-promoted polypeptide	-1.0935497645627	0.00872780249057139
ENSOARG00000002056	101105855	PTPN9	protein tyrosine phosphatase, non-receptor type 9	0.930817208548575	0.0469711769784385
ENSOARG00000002060	101116207	DCAF17	DDB1 and CUL4 associated factor 17	-1.08056233357036	0.0286592500942425
ENSOARG00000002100				1.50940164987185	0.0103341997514754
ENSOARG00000002147	101109720	PIK3R6	phosphoinositide-3-kinase regulatory subunit 6	-1.47703781580186	0.0387448098893447
ENSOARG00000002353	101109960	LRRC4	leucine rich repeat containing 4	0.999344482392072	0.0333195174560481
ENSOARG00000002761		SCAMP5	secretory carrier membrane protein 5	-1.04774787898402	0.0465314258388504
ENSOARG00000002903	101115532		transmembrane BAX inhibitor motif containing 4	0.965525689051986	0.0374681040382746
ENSOARG00000003496	101114670	TBCE	tubulin folding cofactor E	-0.831513722201361	0.0384819104907999
ENSOARG00000003704		NUDT16L1	nudix hydrolase 16 like 1	-0.860242608657872	0.0407919688624918
ENSOARG00000003727	101110440	LOC101110440	zinc finger protein 211-like	0.997840822787544	0.0268661770029713
ENSOARG00000003771	101114996	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	-1.67457435182293	0.0463453546485484
ENSOARG00000003798	101105703	PLCE1	phospholipase C epsilon 1	-1.10711874141151	0.0257892985380556
ENSOARG00000004051	101104259	DVL1	dishevelled segment polarity protein 1	-0.88065032769522	0.0451521940854281
ENSOARG00000004182	101114794	ELK4	ELK4, ETS transcription factor	1.12324355646377	0.0216040047537981
ENSOARG00000004277				1.2068435587967	0.0138165015679716
ENSOARG00000004394	101111393	FAM169A	family with sequence similarity 169 member A	-1.27474479173102	0.0319169378829817
ENSOARG00000004441	101115722	SLC41A1	solute carrier family 41 member 1	1.00191554430039	0.0463453546485484
ENSOARG00000004860	101121023	DHRS13	dehydrogenase/reductase 13	-1.52660875934695	0.00997622969787493
ENSOARG00000005526	101108469	MCFD2	multiple coagulation factor deficiency 2	0.843682867235715	0.0300923641355484
ENSOARG00000005634	101110960	FAM98C	family with sequence similarity 98 member C	-1.38754861504423	0.00360664846108519
ENSOARG00000006993	101103935	RASSF7	Ras association domain family member 7	-1.24595458736882	0.0448041670475857
ENSOARG00000007033	101119699	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	-0.854839167981336	0.0455795805659696
ENSOARG00000007356	101113443	LRRC73	leucine rich repeat containing 73	-1.16836350421698	0.0238284376566872
ENSOARG00000007733	443161	ACVR1	activin A receptor type 1	-0.834732867810416	0.042606494092554
ENSOARG00000008128	101102474	GGCT	gamma-glutamylcyclotransferase	1.39685166875427	0.0205821657082313
ENSOARG00000008141	101107542	OPRL1	opioid related nociceptin receptor 1	-1.31824324187767	0.0242775760381265
