ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.LPS100_1_hit.logFC	LPS100.A10_1_hit.vs.LPS100.B100_1_hit.logFC	LPS100.A10_1_hit.vs.LPS100_1_hit.p.value	LPS100.A10_1_hit.vs.LPS100.B100_1_hit.p.value
ENSOARG00000000189				-1.17174055588406	-1.09081531534734	0.0112184094878925	0.0198436802073327
ENSOARG00000000227	101123126	DCAF4	DDB1 and CUL4 associated factor 4	1.08356046507988	1.20901325717171	0.0327841033522832	0.0131168974496967
ENSOARG00000000258	101109895	BAIAP2	BAI1 associated protein 2	1.28073761520959	1.39620576452673	0.0142537823924232	0.00809642216969091
ENSOARG00000000307	101118975	SMOX	spermine oxidase	1.10143723390764	1.0837172566615	0.020010192998831	0.0227629127676616
ENSOARG00000000498	101109832	ITGA9	integrin subunit alpha 9	-1.51487131169372	-1.48986616556853	0.0142537823924232	0.0156235869814085
ENSOARG00000000528				-1.56304047347429	-1.79740899348164	0.0336721516621165	0.0144780116339031
ENSOARG00000000546	101117868	LOC101117868	cationic amino acid transporter 3-like	-1.96193589817462	-2.07264721891941	0.0378566949818834	0.0262249664677224
ENSOARG00000000862	101118632		myeloid associated differentiation marker	-1.10510559222089	-1.1730630289396	0.0343215741260882	0.0203099020364466
ENSOARG00000000894	101104434	NFYA	nuclear transcription factor Y subunit alpha	0.949875771962485	0.963580798500466	0.0491856890673803	0.0408985252904579
ENSOARG00000001161		MMP25	matrix metallopeptidase 25	-1.74264935748738	-2.10993025475609	0.0177135437689769	0.00503983296242389
ENSOARG00000001337	445468	CAV1	caveolin 1	-1.58649006681943	-1.54885816690741	0.000277014679980683	0.000282909626799846
ENSOARG00000001611	101115186	SLC25A12	solute carrier family 25 member 12	1.11300554585286	1.25698595746138	0.0147480150613978	0.00527267851516094
ENSOARG00000001642	101111066	TESK2	testis associated actin remodelling kinase 2	1.63528607024281	1.59968433949873	0.0187566173582485	0.0211648928333582
ENSOARG00000001661	101111334	LOC101111334	uncharacterized LOC101111334	2.30079649402126	2.06886419289037	0.0141135148863445	0.0229634099236432
ENSOARG00000001820	101121892		nuclear autoantigenic sperm protein	0.964573604672842	0.941743919614543	0.0198173983921373	0.0250950173970996
ENSOARG00000001870	101116120	VSTM4	V-set and transmembrane domain containing 4	-1.26448317149545	-1.23488551153568	0.00346758142569879	0.00419355858475037
