ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.LPS100.B100_1_hit.logFC	LPS100.A10_1_hit.vs.LPS100.B100_1_hit.p.value
ENSOARG00000000233	101109591	CHN1	chimerin 1	-1.25336511361811	0.0420433972004639
ENSOARG00000000492	101117610	NLRP12	NLR family pyrin domain containing 12	-1.6550142721431	0.0151164852137073
ENSOARG00000000739	101108183		solute carrier family 6 member 9	-1.03609244104891	0.0415156013641177
ENSOARG00000001371	101118320	DHCR7	7-dehydrocholesterol reductase	-1.08574798269838	0.0293026482148184
ENSOARG00000001535	101120395		guanylate-binding protein 4-like	-1.96533621981504	0.0287092862723192
ENSOARG00000001617	101108844	MYH10	myosin heavy chain 10	-1.10039559159907	0.0391806585077143
ENSOARG00000002211	101123244	SERPINB9	serpin B9	-1.37537819707968	0.0354833855242918
ENSOARG00000002294	101108819	LOC101108819	cationic amino acid transporter 3-like	-2.65144205419791	0.0269554812479288
ENSOARG00000002569				-1.13924028434136	0.0423150637093272
ENSOARG00000002625	101119049	ALPK1	alpha kinase 1	-1.29853507026974	0.0494985538313637
ENSOARG00000002714				-0.965131515753206	0.0289512426837082
ENSOARG00000003729	101115029	JAKMIP2	janus kinase and microtubule interacting protein 2	1.38093817820107	0.0251322672955315
ENSOARG00000004234	101115050	SLC45A3	solute carrier family 45 member 3	-1.38111089809676	0.0176883176560856
ENSOARG00000004373	101122663	RARB	retinoic acid receptor beta	-1.40932995389503	0.047812188432331
ENSOARG00000004768		NACC2	NACC family member 2	-1.07153842149841	0.0441230909654069
ENSOARG00000005511				-2.01602627913237	0.0347458962793979
ENSOARG00000005523	101122983		TNF alpha induced protein 2	-1.12172600135061	0.0480152645524579
ENSOARG00000005817		CHST2	carbohydrate sulfotransferase 2	-1.03997579388915	0.0153765080820076
ENSOARG00000006215	101108672		TNF receptor superfamily member 18	-1.50054360796266	0.0383749513112343
ENSOARG00000006557	101117111	AKAP6	A-kinase anchoring protein 6	-1.52537990907186	0.0293026482148184
ENSOARG00000007280	101110876		SEC14 like lipid binding 2	-1.24295052812009	0.0287092862723192
ENSOARG00000007495	101111663	MTFP1	mitochondrial fission process 1	-1.21683499329937	0.0287092862723192
ENSOARG00000007666	100147787	SLC25A4	solute carrier family 25 member 4	0.867765806573824	0.038273161521671
ENSOARG00000007707	101106001	NRCAM	neuronal cell adhesion molecule	-1.03793781442142	0.0491654376844231
ENSOARG00000008918	101106079	STIM2	stromal interaction molecule 2	0.992326310404185	0.0479180967867523
ENSOARG00000009392	101118672	SLITRK2	SLIT and NTRK like family member 2	-1.22777908119451	0.017930087986431
ENSOARG00000009436	101120726	SLITRK4	SLIT and NTRK like family member 4	-1.61910040194973	0.0485093300147897
ENSOARG00000009913	101116596	PPP1R13L	protein phosphatase 1 regulatory subunit 13 like	-1.04554510642165	0.0397004721590458
ENSOARG00000011648	101103750	FOXL1	forkhead box L1	-1.58259951853442	0.0490362140292455
ENSOARG00000011725	101106345	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E	1.27858940953375	0.0345220139596305
ENSOARG00000011939	101115814	PROCR	protein C receptor	-1.25667488123471	0.0423150637093272
ENSOARG00000012303	101110820	LOC101110820	ubiquitin carboxyl-terminal hydrolase 28-like	1.93247895700121	0.0328913883832783
ENSOARG00000012627	101111020		IQ motif containing N	1.85033230430709	0.0264542255890884
ENSOARG00000013232	101116156		spermatogenesis associated 13	-1.36178722185516	0.0412240583659698
ENSOARG00000013238	101108488	SLC39A8	solute carrier family 39 member 8	-1.62797041155193	0.0360366723490152
ENSOARG00000013950				1.43934255031746	0.0229634099236432
ENSOARG00000014192				-1.57179964351183	0.0385267068441966
ENSOARG00000014317	101107989	ST5	suppression of tumorigenicity 5	-1.26634449831347	0.0382313519155476
ENSOARG00000014997	101116061	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	1.12979436926862	0.0166360323409265
ENSOARG00000015400	101109745	WNT5A	Wnt family member 5A	-1.40750606227375	0.0216987774193566
ENSOARG00000015709	101120629	TRIP6	thyroid hormone receptor interactor 6	-1.0738304352883	0.0494985538313637
ENSOARG00000016098				-1.37986641548198	0.0384790521560391
ENSOARG00000016534	101120391	TFPI	tissue factor pathway inhibitor	-2.13544831212324	0.0284206069747999
ENSOARG00000017408	101119179	SLC44A3	solute carrier family 44 member 3	-1.46185609439112	0.0397004721590458
ENSOARG00000018120	101102069	NCALD	neurocalcin delta	-1.28529899731062	0.0328913883832783
ENSOARG00000018389	101103230	GSAP	gamma-secretase activating protein	-1.07955235551955	0.0353924725689225
ENSOARG00000018604	101106592	GLCE	glucuronic acid epimerase	1.44654775136741	0.0384790521560391
ENSOARG00000018836		PCDHB7	protocadherin beta 7	-1.26394157932894	0.0201007797396619
ENSOARG00000019070	101106012	PDGFRA	platelet derived growth factor receptor alpha	-1.37300530590146	0.044964486168021
ENSOARG00000020063	101109397	HIST1H1D	histone H1.3	1.66861459914128	0.00864336347629075
ENSOARG00000020312		CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1	1.35606408447085	0.0455560826682819
ENSOARG00000020406	101104941	RIMKLA	ribosomal modification protein rimK like family member A	1.92655920726261	0.0433767874738266
