ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.LPS100_1_hit.logFC	LPS100.A10_1_hit.vs.LPS100_1_hit.p.value
ENSOARG00000000080	101119062	CEP131	centrosomal protein 131	1.54325401629455	0.00665086501333235
ENSOARG00000000541	101108428	LOC101108428	store-operated calcium entry regulator STIMATE	1.18124066124072	0.0439385877245492
ENSOARG00000001865	101123061	RIN2	Ras and Rab interactor 2	-1.46154622623256	0.0441161227879614
ENSOARG00000002482	101103484	SASH1	SAM and SH3 domain containing 1	-1.1083610400646	0.0289850167471046
ENSOARG00000002726	101107138	PPCDC	phosphopantothenoylcysteine decarboxylase	1.88952928916552	0.0223781095441752
ENSOARG00000003450		TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor	-1.69812188282752	0.0336073388886787
ENSOARG00000003486	100270718	SS18L2	SS18 like 2	1.11252067750285	0.0281868669476557
ENSOARG00000003657		SURF2	surfeit 2	1.33559105906948	0.0398340422777182
ENSOARG00000004446	101103823	TOB1	transducer of ERBB2, 1	1.01150833757236	0.0450581591345567
ENSOARG00000005602	101110621	C12orf49	chromosome 17 open reading frame, human C12orf49	1.05070141810754	0.0388889994671504
ENSOARG00000005741	101118802	FAM117A	family with sequence similarity 117 member A	1.42451303727258	0.0405132491938206
ENSOARG00000006730	101109187	PI15	peptidase inhibitor 15	-1.51036294049861	0.0377608183991407
ENSOARG00000006870	101109149	RBMS1	RNA binding motif single stranded interacting protein 1	-1.01452296079323	0.0388889994671504
ENSOARG00000007109		ELOVL4	ELOVL fatty acid elongase 4	1.3384992994947	0.0497550164712746
ENSOARG00000007158				0.987010446498274	0.0418693031807249
ENSOARG00000007759	101117545	RBM4B	RNA binding motif protein 4B	1.10770284790308	0.0180589345109809
ENSOARG00000009990	101111130		synemin	1.46869699843584	0.024863691172917
ENSOARG00000010458		BATF3	basic leucine zipper ATF-like transcription factor 3	-1.40434685673764	0.0388889994671504
ENSOARG00000010643		TIMD4	T cell immunoglobulin and mucin domain containing 4	-1.10434907749057	0.034615074690641
ENSOARG00000010897	101102077	SELL	selectin L	-1.43193776193213	0.0327841033522832
ENSOARG00000011014	100381246	RGS4	regulator of G protein signaling 4	-2.02581289031009	0.0493345768505764
ENSOARG00000012561	101102865	WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1	1.59435841093246	0.0213475240352443
ENSOARG00000013187	101122738	NEXN	nexilin F-actin binding protein	-1.0680046831724	0.0336721516621165
ENSOARG00000013835		PHACTR1	phosphatase and actin regulator 1	-1.27659668977361	0.0450294572138355
ENSOARG00000014212	101102001		intercellular adhesion molecule 2	-1.36773712113248	0.0336073388886787
ENSOARG00000014260	101117971	CCR1	C-C chemokine receptor type 1	-1.59159706166399	0.0373090118757311
ENSOARG00000014710	101107709	SGK1	serum/glucocorticoid regulated kinase 1	-0.988378823917697	0.0358144847680291
ENSOARG00000015369		SAP30	Sin3A associated protein 30	1.16837360541133	0.04454293934237
ENSOARG00000016291	101106586		RNA polymerase III subunit G	1.41817276258935	0.0480862809018841
ENSOARG00000016300	101108669	FN3KRP	fructosamine 3 kinase related protein	0.98520281274439	0.0418693031807249
ENSOARG00000016659	101109908	DCHS1	dachsous cadherin-related 1	-1.37384908778779	0.0480862809018841
ENSOARG00000017304	101109613	SPATA9	spermatogenesis associated 9	-1.47378618068606	0.034615074690641
ENSOARG00000018488	101116111	TEDC2	tubulin epsilon and delta complex 2	1.22578541193456	0.0409187601086642
ENSOARG00000019192	101118402	PLCXD2	phosphatidylinositol specific phospholipase C X domain containing 2	-1.17805336964673	0.0418693031807249
ENSOARG00000020293	101111287	SPINT1	serine peptidase inhibitor, Kunitz type 1	-1.45752729127474	0.0449222262934387
ENSOARG00000020378	101101858	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3	-1.33003515692314	0.0418693031807249
ENSOARG00000020565	101118193	CDAN1	codanin 1	1.12488170701437	0.0237921659938299
