ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.LPS100_2_hit.logFC	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.logFC	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.logFC	LPS100_1_hit.vs.LPS100_2_hit.p.value	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.p.value	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.p.value
ENSOARG00000000016	808251	COX1	cytochrome c oxidase subunit I	1.96670979545345	1.17999991394725	1.82507604501584	8.28540441887929e-05	0.0054129357203588	0.000151295822056635
ENSOARG00000000019	808252	COX2	cytochrome c oxidase subunit II	2.00966039433477	1.34738880059207	1.94599139533017	0.000190736807320825	0.00399355489979154	0.000246617448419637
ENSOARG00000000056		AGTRAP	angiotensin II receptor associated protein	2.2484498934227	2.19799609534765	2.34227842972213	5.59504870911795e-05	8.85755587027509e-05	4.88858930924513e-05
ENSOARG00000000058				6.59925606787241	9.60169993295251	6.72328488184998	3.28260512964913e-05	3.85689385815218e-05	3.44303762245471e-05
ENSOARG00000000063	101123141	CCL22	C-C motif chemokine ligand 22	-3.63076381125727	-3.86212635473756	-2.91394581504979	0.00188900452236005	0.00107701959059667	0.00656157850942594
ENSOARG00000000072	101111137	FOSL1	FOS like 1, AP-1 transcription factor subunit	-1.97831684303871	-2.08284643342274	-2.27429938407552	3.92212658407638e-06	2.47561152089312e-06	1.24351405884301e-06
ENSOARG00000000079				-0.939933236301688	-1.78790052755111	-1.06512235368142	0.0342789574001956	0.000106744196046813	0.010683593732315
ENSOARG00000000089	101109667	GTF3C1	general transcription factor IIIC subunit 1	-1.27929409135271	-1.2447815840555	-1.29824701789026	0.00886609324323874	0.0125038043147526	0.00760417464250586
ENSOARG00000000092		SHISA5	shisa family member 5	1.01326299733372	1.29552570814257	1.02557459266216	0.0155557245581064	0.00216490202089126	0.0137577027464906
ENSOARG00000000120				1.86595364384364	2.10752613169601	1.7077431977906	0.00732308823052171	0.00498474365543423	0.0133601581932617
ENSOARG00000000123	101119927	CX3CL1	C-X3-C motif chemokine ligand 1	-3.02442610531188	-3.59228990852063	-3.21222743813491	0.0001039368720914	3.17585561656027e-05	6.71572214566909e-05
ENSOARG00000000148				-1.39320660069772	-1.64398515125986	-1.37503295746795	0.0271156838309105	0.0104851861202002	0.0274276051255642
ENSOARG00000000153		TREX1	three prime repair exonuclease 1	2.39151241072384	3.51967137639081	2.42260832679289	0.0137347526740744	0.00244287567577202	0.0122959028733709
ENSOARG00000000156	101107639	PRKCD	protein kinase C delta	1.22054083105621	1.04842034382691	1.09930466738564	0.00422414825264138	0.0184889543172429	0.0105963336550613
ENSOARG00000000165				-4.07523399475636	-2.04472101743483	-3.4649155464509	4.4915124474534e-05	0.00906725172934759	0.000178485059261869
ENSOARG00000000175	100294595	SOCS3	suppressor of cytokine signaling 3	2.58554374283352	2.16314310026294	2.52310335844156	0.000320981752870792	0.00116916081576086	0.000366857583634007
ENSOARG00000000187	101108774	API5	apoptosis inhibitor 5	-1.21516858518493	-1.26531063934632	-1.18399194461544	0.00465040726617497	0.00382343681445144	0.00597465476659619
ENSOARG00000000191	101116298	SULT1C4	sulfotransferase 1C4-like	1.69975090186596	2.04026394905098	1.45685474850281	0.00349449936305219	0.00126899899553267	0.010165422971269
ENSOARG00000000244	101115435		myotubularin-related protein 9	1.81880922666528	2.2267943859548	2.18810726393448	0.00356344843440932	0.00193373457234022	0.00121530618667342
ENSOARG00000000248		SLC6A6	solute carrier family 6 member 6	2.55678771995067	1.89433220616378	2.36227676144053	0.00016904737453985	0.00163528635424056	0.000318793135594007
ENSOARG00000000251	100170316	ADRA1D	adrenoceptor alpha 1D	2.5967790794177	2.65877346225868	2.58420568888298	0.0165448459647291	0.0191200947760826	0.0179604341213277
ENSOARG00000000264	101121080		sodium- and chloride-dependent glycine transporter 1-like	1.35912824941168	1.19058589504714	1.18435603574441	0.0107351734218869	0.0320135746956812	0.0255221268384926
ENSOARG00000000269	101114193	RASGEF1B	RasGEF domain family member 1B	2.60255264407377	2.25134119509789	2.08402570759823	0.000369540409726386	0.00141570603570068	0.00167129137856519
ENSOARG00000000271	780518	CLMP	CXADR like membrane protein	-2.52422665451151	-1.97115810441716	-2.49964574365975	1.33528816671397e-05	0.000156122806490906	1.5186087402029e-05
ENSOARG00000000281	101115942	TMEM234	transmembrane protein 234	1.83026738107115	1.93843657269713	1.79371114360648	0.0011496986082594	0.000775773031441698	0.00157090423249182
ENSOARG00000000296		ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	-1.7237080214196	-1.75549361188318	-1.62090043591077	0.00118671437035779	0.00118326766933383	0.00153135127870593
ENSOARG00000000298	101110651	GPR155	G protein-coupled receptor 155	3.08935905345417	2.06886200380626	3.16691209715108	0.00616296391678009	0.0499261444349483	0.00549369707933015
ENSOARG00000000306	101116728	TIFA	TRAF interacting protein with forkhead associated domain	3.26210749397509	3.83476779674897	3.25761792563567	0.00255614298780859	0.00185943429225316	0.00261620492012242
ENSOARG00000000307	101118975	SMOX	spermine oxidase	-1.78322462385839	-1.24009776673773	-1.86524712101096	0.000183830658094503	0.00446719309637009	0.000132220330198492
ENSOARG00000000320	101118322	PRKCI	protein kinase C iota	-1.51701374500383	-1.27409741808273	-1.58039313970758	0.0111329122105477	0.0388072977749751	0.00847130362592774
ENSOARG00000000324	101105639	SCRN3	secernin 3	1.7199642103075	2.06021724375412	2.19539770798612	0.00047865399807558	0.000162936883031186	9.2225930228612e-05
ENSOARG00000000327	101102692	LAMA1	laminin subunit alpha 1	-2.48746172561475	-2.38279637164671	-2.40434179614304	5.52526173356358e-05	0.000113817104554497	8.77994964037276e-05
ENSOARG00000000377				5.88855858210963	4.73351112529825	7.07670374069894	9.32174087133126e-06	1.07551160540981e-05	5.80160593773297e-06
ENSOARG00000000384	101108365	MAK16	MAK16 homolog	-1.52164921715465	-1.21196821132087	-1.70382177268635	0.000423314936010899	0.00367985341516926	0.000167355510930331
ENSOARG00000000399	101114393	TBC1D2B	TBC1 domain family member 2B	1.56724828071135	1.40376882554778	1.71386828642877	0.00733090317933269	0.0180568614213534	0.00403060835679724
ENSOARG00000000412	101103901	PAPLN	papilin, proteoglycan like sulfated glycoprotein	3.31146947069448	2.28802435720441	2.90254144178431	7.4994828544656e-06	7.79376823542384e-05	1.63031731725719e-05
ENSOARG00000000417	101122157	S100A9	S100 calcium binding protein A9	2.18487675163445	2.10653255257561	2.01665528735769	0.00149377002861945	0.00217727792541955	0.00245997508517027
ENSOARG00000000424	101122848	LOC101122848	protein FAM136A	-1.91243217532036	-1.4834530283156	-1.83762453584707	0.00118956856798466	0.00775777951139161	0.0015517851291044
ENSOARG00000000443	101112084		cationic amino acid transporter 3-like	6.41789897816488	6.70415213237064	5.59491474114372	5.06829096469955e-05	0.000126656846517631	8.20547080611957e-05
ENSOARG00000000462	101102733	NUMB	NUMB, endocytic adaptor protein	1.66744092082385	1.34632823086795	1.53282466336497	0.000317026821543414	0.00199410870359242	0.00065683470521422
ENSOARG00000000467	101107003		leukocyte immunoglobulin-like receptor subfamily A member 4	2.44424636046646	2.81946164430574	2.43657976131145	0.00169855443379934	0.000880667734003523	0.00164915801645137
ENSOARG00000000484	101105422	ALDOC	aldolase, fructose-bisphosphate C	-1.56912829455457	-1.53760971809645	-1.55937755183528	0.00284805724402138	0.00301963955771731	0.00258388376608224
ENSOARG00000000490	101116887	TXLNA	taxilin alpha	-1.03664151115498	-0.863051140385642	-1.04819560136649	0.00623136972401208	0.0454609704610077	0.00534608455468832
ENSOARG00000000492	101117610	NLRP12	NLR family pyrin domain containing 12	-4.85659912418035	-5.56920242885062	-4.21973104132758	4.16479368874846e-06	1.94731310335693e-06	1.09436511975672e-05
ENSOARG00000000506	101117244	HSH2D	hematopoietic SH2 domain containing	6.0248961951791	8.38884155874933	4.86776723088586	7.63233156403324e-05	6.93035150611364e-05	0.00021010560782268
ENSOARG00000000514	101108383	KRBA1	KRAB-A domain containing 1	-1.86340889896601	-1.30597916307628	-1.46846931812046	0.00135390707499682	0.0192068333196835	0.00740244037154118
ENSOARG00000000527				6.15127155703452	6.44032838080018	6.42970849146805	9.63489713959555e-05	0.000253971875655722	9.43726464107454e-05
ENSOARG00000000530	101119562	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	2.30714088025711	3.9751862918938	2.18789327370654	0.00807515289294221	0.000444776880171909	0.0102413889310632
ENSOARG00000000537	101115623	ANK2	ankyrin 2	-1.28348542043647	-1.18499789887652	-1.13749189203047	0.0147157554344938	0.0324349515010016	0.0334325546712323
ENSOARG00000000549	101102951	PTPRM	protein tyrosine phosphatase, receptor type M	1.35763029714985	1.09424002352025	1.33351472761826	0.000391181691848936	0.00352586779581613	0.000456567288970056
ENSOARG00000000552	554257	TLR6	toll like receptor 6	1.35029595160573	1.82282916273806	1.88758979479386	0.0382490101849787	0.0132514654507733	0.00722441916787173
ENSOARG00000000576	101117254	GSDMD	gasdermin D	1.06543561161362	1.86810952237642	1.17119172826731	0.0192103378842363	0.00036523090624887	0.00930633678208258
ENSOARG00000000583	443259		period homolog 2	-1.62161428643707	-1.92660523734182	-2.14235475676788	0.0161563206843482	0.0101287881266691	0.00258388376608224
ENSOARG00000000585	101119737	NPTX1	neuronal pentraxin 1	-3.43073354151378	-3.45522529731123	-3.14407282231177	0.000221547748634577	0.000239731652395936	0.000384216940171776
ENSOARG00000000599				-3.03170383587553	-3.68090584711961	-3.53675331902666	4.57928131966336e-05	1.27783376792932e-05	1.53842701982737e-05
ENSOARG00000000609	101121323		retinitis pigmentosa GTPase regulator	-0.958632621868321	-1.26225416452894	-1.10465766248399	0.0469133688256474	0.00542467929140447	0.0154676269299352
ENSOARG00000000617				-2.37245774953172	-1.93049324961072	-2.34497572269397	0.000108053253740881	0.000740878379536042	0.000132608215716329
ENSOARG00000000625	101122675		leukocyte immunoglobulin-like receptor subfamily A member 6	1.99916434018379	1.67159924582881	1.41475431535923	0.0019158236147597	0.00750778283037227	0.0151893243426401
ENSOARG00000000641	101104794	S100A4	S100 calcium binding protein A4	1.65973304369416	1.37651048085284	1.54010820439934	0.000118463647919039	0.000620122662308997	0.00023876858321815
ENSOARG00000000647	101102946	KIF11	kinesin family member 11	1.56444430642756	1.66945236288374	1.92615648017564	0.0122594750554885	0.0117762563801027	0.00343859755414754
ENSOARG00000000648	101113967	DPH2	DPH2 homolog	-1.80577698080746	-1.51190264144224	-1.39924643877066	0.000853784468238415	0.00330995166856698	0.00606377016285363
ENSOARG00000000653	101107649	PSD	pleckstrin and Sec7 domain containing	-1.49410209300805	-1.80642682785357	-1.842785965515	0.00151009548477421	0.000346806947996761	0.000302271070310838
ENSOARG00000000654	101112078	MAD2L2	mitotic arrest deficient 2 like 2	1.80298934532965	1.71828726590833	1.71887137879963	0.00369243234238389	0.00536199456955507	0.00503298686375293
ENSOARG00000000668		ARRDC1	arrestin domain containing 1	0.916723356287345	0.940906823997922	1.11534765976205	0.0448479097203274	0.0386856833485895	0.00886597822438625
ENSOARG00000000670	101106412	ASL	argininosuccinate lyase	2.16107610128524	1.34424157345295	1.68304543519149	0.000323528915478349	0.00784881296106438	0.00194941541261028
ENSOARG00000000708	101113579	CALCR	calcitonin receptor	5.98670192467689	4.00885572123346	5.27613053721913	1.06614669706745e-05	6.58939480295861e-05	1.98387151850899e-05
ENSOARG00000000722	101114519	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4	1.0628836913347	0.990724544165837	0.987640355335915	0.0231456522914002	0.0439777421360804	0.0397052546817187
ENSOARG00000000729	101108959	ITIH4	inter-alpha-trypsin inhibitor heavy chain family member 4	4.29407180516634	4.62933277654521	4.77978205485088	0.000201361967641001	0.000157296731272255	0.000178527024224059
ENSOARG00000000737	101109087	CCDC138	coiled-coil domain containing 138	-1.64192624464642	-1.53502703081541	-1.53081017590968	0.0200926721742958	0.0292548174757426	0.0291246682906696
ENSOARG00000000741				-2.56818904343693	-2.88440875823234	-2.5882073155602	7.52474287753912e-05	3.35237605229213e-05	8.00592853552654e-05
ENSOARG00000000744	100216328	LAMC2	laminin subunit gamma 2	1.86441987065958	3.20702674102161	1.9792726598661	0.00610999993685759	0.000698748678769253	0.00463651935101285
ENSOARG00000000747	101117554	TNFRSF12A	TNF receptor superfamily member 12A	-1.44809975016826	-1.71316902202357	-1.6450232029388	0.000331767361975579	8.08948461932067e-05	0.000107153926483653
ENSOARG00000000754	101117730	PLPBP	pyridoxal phosphate binding protein	-1.47289142678673	-1.36923296426162	-1.52793704836812	0.000867291808867724	0.00183357702993617	0.000681352751638084
ENSOARG00000000770	101113358	ZNF202	zinc finger protein 202	-1.07729214416761	-1.35887657525011	-1.2024857330203	0.00944131100927447	0.00116691126487131	0.00332945729762247
