ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.LPS100_2_hit.logFC	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.logFC	LPS100_1_hit.vs.LPS100_2_hit.p.value	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.p.value
ENSOARG00000000515	101112269	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	-1.00712381278278	-0.973014261035775	0.0177488869719249	0.0274638898143719
ENSOARG00000000528				-1.42889555686905	-2.07014877035843	0.0300036398482034	0.00532399213297266
ENSOARG00000000888	101103655	XAF1	XIAP associated factor 1	2.02019574626951	3.47626670934236	0.0347513756185388	0.00271276648426489
ENSOARG00000000904				1.72185938353195	2.85701122355559	0.0481017120580403	0.00462632302230326
ENSOARG00000000944	101114640	TRIM21	tripartite motif containing 21	1.1543874967726	1.90065185327673	0.0320222011898598	0.00160068974712146
ENSOARG00000001031	678682	MYD88	MYD88, innate immune signal transduction adaptor	0.942618517078342	0.992936895596932	0.0288446431803443	0.0221360849919218
ENSOARG00000001138	101103321		HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	2.05093963278575	3.49034710183222	0.0416455581775482	0.00343517545465443
ENSOARG00000001196	101115338	LOC101115338	radial spoke head 10 homolog B	-1.34787967688683	-1.77953530815054	0.0203071834253265	0.0048760876500473
ENSOARG00000001335		HIST1H1C	histone cluster 1 H1 family member c	1.55625550146693	1.71696527854467	0.0221509802289073	0.00759846310695045
ENSOARG00000001693	101103760	TSPAN3	tetraspanin 3	-0.869733736072992	-0.890850760881969	0.0147157554344938	0.0123217662345237
ENSOARG00000002030	101122991	TMEM69	transmembrane protein 69	1.05140571334221	1.2368622302554	0.0239397948987635	0.0069847748644487
ENSOARG00000002228		SLC35E2B	solute carrier family 35 member E2B	-1.25634919983787	-1.24741117897129	0.0154471772701058	0.019048747726161
ENSOARG00000002701	101117231		sialic acid-binding Ig-like lectin 5	1.24998585675289	2.29740952588048	0.0498510556307611	0.00366029879355429
ENSOARG00000002776		ZNF619	zinc finger protein 619	1.56255960046995	1.86009259067309	0.0165066040251222	0.00456163897709614
ENSOARG00000002868	101107548	TMC4	transmembrane channel like 4	1.19555330745994	1.37791020321961	0.0204119914015294	0.0103434170935876
ENSOARG00000002902	101105924		odd-skipped related transciption factor 2	3.18119262375148	3.88419073957705	0.0348775078091888	0.0234670315013762
ENSOARG00000003124	101122247	APOBR	apolipoprotein B receptor	1.16751094394806	1.80698935986318	0.018626487210221	0.00111428880110043
ENSOARG00000003142	101120271	USH1C	USH1 protein network component harmonin	1.81684273359576	2.22479373248397	0.043835132981039	0.0306940775058593
ENSOARG00000003513	101114137	MDK	midkine	0.997803778451566	0.953664580407552	0.0292898546565549	0.0436852283479474
ENSOARG00000003622	101115598	EDARADD	EDAR associated death domain	1.91825854723969	1.4349296030203	0.00427079786960715	0.0315193448224771
ENSOARG00000003711	101113749	SURF6	surfeit 6	-0.923463343627461	-1.01326804379573	0.0402494800513681	0.0196421687336608
ENSOARG00000004037	101121903	ADNP2	ADNP homeobox 2	-0.960657389302627	-0.956265944414994	0.0415687832782341	0.0480658632122725
ENSOARG00000004481		ADO	2-aminoethanethiol dioxygenase	-1.13472842570763	-0.998785470756166	0.011350744558656	0.0345504601324992
ENSOARG00000004839	101104545	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	1.07285270010381	1.29239899317939	0.0331095043815832	0.0092442587118522
ENSOARG00000004938	101113782	COG4	component of oligomeric golgi complex 4	0.852615746677338	0.907516973566767	0.0400631029671629	0.0247119808992824
ENSOARG00000005198	101114968	CENPS	centromere protein S	1.52128869436615	1.39632552142607	0.0173682566684676	0.0273744470247772
ENSOARG00000005246	101108668	SAMD14	sterile alpha motif domain containing 14	-1.1903713062996	-1.0016916424541	0.00904837658673168	0.0409472919521161
