ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.LPS100_2_hit.logFC	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.logFC	LPS100_1_hit.vs.LPS100_2_hit.p.value	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.p.value
ENSOARG00000000006	808249	ND1	NADH dehydrogenase subunit 1	1.49177290708211	1.09203116862995	0.000124636118237329	0.00221020960458241
ENSOARG00000000022	808254	ATP6	ATP synthase F0 subunit 6	1.51679747310451	1.1154531716237	0.000183045711965308	0.00269269500553366
ENSOARG00000000023	808261	COX3	cytochrome c oxidase subunit III	1.74878353310355	1.28036983236337	5.79815267601836e-05	0.000829521796914085
ENSOARG00000000025	808255	ND3	NADH dehydrogenase subunit 3	1.45146857967913	1.25123699525299	0.000519493275200781	0.0017183971766937
ENSOARG00000000027	808256	ND4L	NADH dehydrogenase subunit 4L	1.6458291291999	1.67977140646202	0.00466635540782046	0.00383302964488054
ENSOARG00000000028	808257	ND4	NADH dehydrogenase subunit 4	1.55735182137063	1.21665853691417	0.0012466585284094	0.00708554784092082
ENSOARG00000000032	808258	ND5	NADH dehydrogenase subunit 5	1.41035005292182	1.50968818883641	0.0112403111009889	0.00735510609642393
ENSOARG00000000035	808260	CYTB	cytochrome b	1.31127733184668	0.936406246006774	0.000374163046350561	0.0120762636774086
ENSOARG00000000057				1.16286788382506	1.25238371765481	0.0393734447081992	0.0286433255625359
ENSOARG00000000106	101122310	VRK1	VRK serine/threonine kinase 1	1.08644620097938	1.3742400127528	0.00989358801305579	0.00149589511555556
ENSOARG00000000117	101118611	HERC3	HECT and RLD domain containing E3 ubiquitin protein ligase 3	1.22255671457876	1.53231034126175	0.00839847605683248	0.00186552222414942
ENSOARG00000000119				2.14906216860207	2.26756029874276	0.00144062554860727	0.00110769834539948
ENSOARG00000000158	443139	EDNRB	endothelin receptor type B	2.56889778849301	2.76965492846255	0.0254500939055214	0.0180458761864151
ENSOARG00000000161	101109168	CAPZA2	capping actin protein of muscle Z-line subunit alpha 2	0.910703805292185	1.14824789993267	0.044749097227426	0.00629664469481393
ENSOARG00000000163	101106742	WRN	Werner syndrome RecQ like helicase	-1.14067342811727	-1.30291620349584	0.0253672844632286	0.0102894665902632
ENSOARG00000000176	101109984	AATF	apoptosis antagonizing transcription factor	-1.35557079996387	-1.49487964011879	0.00447120178072956	0.00203553018462006
ENSOARG00000000208	101113649	CLDN11	claudin 11	-2.83364926031254	-3.13202453944993	0.00156820818896492	0.000668368833259154
ENSOARG00000000227	101123126	DCAF4	DDB1 and CUL4 associated factor 4	-1.20983451813794	-1.29717866457385	0.00696064554808545	0.00403110748700162
ENSOARG00000000255	101110882	ATRIP	ATR interacting protein	-1.07638226211837	-1.1559630612352	0.0345842690933989	0.0207159791589411
ENSOARG00000000276	101110390	WIPF1	WAS/WASL interacting protein family member 1	1.50343171257435	1.52027557738583	0.0312192571997404	0.0302415538857277
ENSOARG00000000299				-1.07219668679939	-1.09259720945643	0.0372293683814428	0.0326717040372375
ENSOARG00000000410	101123359		etoposide-induced protein 2.4 homolog	-1.30802901141978	-1.19837431537801	0.00125916951787978	0.00278761955839479
ENSOARG00000000433	101118873	NAP1L5	nucleosome assembly protein 1 like 5	1.79431082724307	1.61747531090971	0.00272628633724607	0.00740106829509383
ENSOARG00000000458	101108168	SFMBT1	Scm like with four mbt domains 1	1.45067636653672	1.53279838458532	0.00522005867844325	0.00382175719750532
ENSOARG00000000638	101114730	CTDSPL	CTD small phosphatase like	1.34072659341696	1.61146412220186	0.0227290668451276	0.00880580865173411
ENSOARG00000000644		FAM83D	family with sequence similarity 83 member D	1.38277373661814	1.68232100082946	0.0433593968838058	0.0167048832805159
ENSOARG00000000665	101114221	ATP6V0B	ATPase H+ transporting V0 subunit b	0.981611911975991	0.85315877986127	0.00954662680654464	0.0387865533305602
ENSOARG00000000739	101108183		solute carrier family 6 member 9	1.42570304567023	1.13845970684677	0.00288709139655781	0.01469446917389
ENSOARG00000000762				1.81570953084336	1.32646177487082	0.00239785639707541	0.0154617805384354
ENSOARG00000000772	101110367	PLCD1	phospholipase C delta 1	1.48642746140738	1.18426873524005	0.000865699355015078	0.00521380974297826
ENSOARG00000000775				-1.10343110730124	-1.33078986514456	0.0299739283166289	0.00716154981318798
ENSOARG00000000787	101106476	ILF2	interleukin enhancer binding factor 2	-0.912217972389552	-1.01979067444961	0.0474763334056271	0.0183920714705236
ENSOARG00000000824	101114612	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	-1.10535276608118	-1.00888232275522	0.00466458047518168	0.0119103821524184
ENSOARG00000000851	101117990	ADGRA2	adhesion G protein-coupled receptor A2	1.27402347563297	1.26841325433624	0.0299433855241985	0.0299675485856432
ENSOARG00000000862	101118632		myeloid associated differentiation marker	1.27714071815842	1.22477749867263	0.00894022555873776	0.0118540865424299
ENSOARG00000000963	101109235	TMEM53	transmembrane protein 53	1.7327183906118	1.06031089225165	0.00176045305296337	0.0392681125830846
ENSOARG00000001015	101110063	HSPA2	heat shock protein family A (Hsp70) member 2	2.22436952115766	2.05230697041669	0.00613535719831298	0.00944590960705763
ENSOARG00000001030	101106333	ABCD4	ATP binding cassette subfamily D member 4	1.17620380649324	1.2281533200552	0.0431649126526937	0.0349989896167512
ENSOARG00000001055	101122516	RARRES2	retinoic acid receptor responder 2	1.29238653692038	1.16770606511749	0.0017293395238806	0.00406582183855923
ENSOARG00000001069	101122321	GOLIM4	golgi integral membrane protein 4	0.88836409372159	0.879933685200131	0.0277360547383695	0.0299454314017667
ENSOARG00000001086				-1.29592964005984	-1.26209755014003	0.0381900458503032	0.0393383582181705
ENSOARG00000001228	101120635	SH3BGRL	SH3 domain binding glutamate rich protein like	0.975502412608871	1.01229195725852	0.00982412473483858	0.00680601506863986
ENSOARG00000001263				-1.02243488657016	-0.893621266996362	0.00616145940926222	0.0253493861932663
ENSOARG00000001275	101112710	CRIP2	cysteine rich protein 2	1.10208963337912	1.14104382422159	0.018091505709796	0.0134654667499947
ENSOARG00000001329				-2.03038625977403	-2.47282814221709	0.00174296424300565	0.000526382226333911
ENSOARG00000001356	101110230		GTPase IMAP family member 6	-1.8120199723486	-2.02942244949428	0.00292993610274556	0.00101007840363746
ENSOARG00000001384	101115595	PMS2	PMS1 homolog 2, mismatch repair system component	-1.12226503130902	-1.20259409383101	0.0246370696237784	0.0149910169952606
ENSOARG00000001390	101106772	SRD5A3	steroid 5 alpha-reductase 3	1.2236749351616	1.3630892578921	0.0189594090494565	0.0100417512533501
ENSOARG00000001489	101104858	TPST2	tyrosylprotein sulfotransferase 2	1.5307417940291	1.79037191999408	0.0191245297742695	0.00774921174680139
ENSOARG00000001497	100126573	TES	testin LIM domain protein	1.76335479396067	1.72572942438065	0.0406047057829672	0.0453798798328023
ENSOARG00000001510	101104412	KIAA0753	KIAA0753 ortholog	-0.926690291634848	-1.10459863337664	0.0449185753441709	0.0099241850264884
ENSOARG00000001531	101103511	SCAPER	S-phase cyclin A associated protein in the ER	0.983324722498964	0.976201310900515	0.0291914767408239	0.0309906785632412
ENSOARG00000001575	101102213	LOC101102213	sialic acid-binding Ig-like lectin 14	1.74162688458593	2.00240850001641	0.0496988926429902	0.0279681005036715
ENSOARG00000001608	101105475	TIMM8A	translocase of inner mitochondrial membrane 8A	-1.05174088228908	-1.08204949114932	0.0150434790238321	0.0118223926745066
ENSOARG00000001618	101120056	ZCCHC17	zinc finger CCHC-type containing 17	-1.12329135801703	-1.11857660612626	0.00774378369637089	0.0081467472195126
ENSOARG00000001634	101118620	PHACTR2	phosphatase and actin regulator 2	1.86094998183883	1.54297505349153	0.0190189978926996	0.048351253665134
ENSOARG00000001674				-2.20186912528026	-2.59520820321276	0.00340371307193927	0.00130699398272541
ENSOARG00000001687	101107578	ARMCX3	armadillo repeat containing X-linked 3	1.152422138036	1.34306755917199	0.00717258463350063	0.00207671976400546
ENSOARG00000001688	101108998	TMEM141	transmembrane protein 141	-1.74582300489176	-1.61100334610641	0.0110589795066647	0.0201230044414619
ENSOARG00000001712	101120474	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40	-1.11708263885809	-1.23021783146211	0.00457083175541812	0.00172515106509028
ENSOARG00000001749	101119399	PLAGL1	PLAG1 like zinc finger 1	1.2998906497853	1.13573675436083	0.00292670839495743	0.00882512779363409
ENSOARG00000001774	101106702	LOC101106702	plasma membrane calcium-transporting ATPase 4-like	-1.08531160614357	-1.25571505691183	0.0392331656246805	0.0140446627065258
ENSOARG00000001785	101114751	TM2D2	TM2 domain containing 2	1.11129274782425	1.21192525379903	0.046611216756326	0.0280411148147777
ENSOARG00000001796	101108494	JDP2	Jun dimerization protein 2	1.47576405947158	1.82016479658405	0.025826695648533	0.00937776576419965
ENSOARG00000001820	101121892		nuclear autoantigenic sperm protein	-1.12371337153986	-1.14920149602729	0.00239992007797033	0.0017964406158614
ENSOARG00000001875	101120931	CARD14	caspase recruitment domain family member 14	1.77194163397191	1.93006100214205	0.0374420345541624	0.0382203326082433
ENSOARG00000001973	101111656	TP53I11	tumor protein p53 inducible protein 11	1.59670882993559	1.44625585427581	0.00191929310558716	0.00382175719750532
ENSOARG00000001995	101119027	LOC101119027	spectrin alpha chain, non-erythrocytic 1-like	1.30277528599737	1.26617925035354	0.0297386384847574	0.0339661954404505
ENSOARG00000002011				-1.66633746795648	-1.43178547017542	0.0229608486046769	0.0449628761188089
ENSOARG00000002052	101122737	IPP	intracisternal A particle-promoted polypeptide	-1.46760292322536	-1.44168377646216	0.00167424217347073	0.0022433812934374
ENSOARG00000002169	101121437	EIF4A3	eukaryotic translation initiation factor 4A3	-1.09412462293351	-1.16898927810497	0.00189941357112714	0.000891402971142048
ENSOARG00000002175	101122154	DNASE1	deoxyribonuclease 1	-1.64920623637521	-1.40689069842826	0.00951895383852297	0.0229806861289222
ENSOARG00000002178				-1.14549749462857	-1.0472877660778	0.0145048784366592	0.0292414603626313
ENSOARG00000002322	101109048	TFEB	transcription factor EB	2.01871993754469	1.58979267215561	0.0136522875949354	0.0447867038219751
ENSOARG00000002368	101118849	LOC101118849	mitochondrial import inner membrane translocase subunit Tim23	-0.957556658806077	-0.895811179288869	0.00779161809453137	0.0164990758652713
ENSOARG00000002401	101113087	UBIAD1	UbiA prenyltransferase domain containing 1	-1.59096347227991	-1.48369536430996	0.000564641909122923	0.000949817541013492
ENSOARG00000002435				-1.52976295554634	-1.12111364437684	0.00366210455734073	0.0325176301519978
ENSOARG00000002436				3.81218999699994	1.8399804501347	0.000502673364548157	0.0201282634569766
ENSOARG00000002454	101112134	LARS	leucyl-tRNA synthetase	-1.5020244487279	-1.24383577712381	0.000395293769920717	0.00231053908773204
ENSOARG00000002503	100037683	ATXN2L	ataxin 2 like	-0.983320552235247	-0.868355148635588	0.0150884196611133	0.0475233965842134
ENSOARG00000002506				-1.19097795385234	-1.14958262573347	0.0316874515186445	0.037852918687952
ENSOARG00000002512	101106628	COMMD4	COMM domain containing 4	1.19821691307878	1.05446700031979	0.0106544540005064	0.0276748525102034
ENSOARG00000002526	101108689	TAOK3	TAO kinase 3	1.24041357944235	1.13453597854175	0.00320451915655985	0.00705640053652729
ENSOARG00000002546	101118515	LOC101118515	leukocyte-associated immunoglobulin-like receptor 1	2.01637812888973	1.64802275323007	0.00103423685536074	0.00388968331855132
ENSOARG00000002550	101117132	ZNF12	zinc finger protein 12	-1.48739154668131	-1.48806854867609	0.000327415915614741	0.000348067225946836
ENSOARG00000002565	101104102	MKNK1	MAP kinase interacting serine/threonine kinase 1	1.21016904601406	1.14728725354581	0.00176360346189584	0.00305940326247317
ENSOARG00000002778	101102186		forkhead box C1	3.45596332780143	3.03235461569535	0.00217308049574475	0.00317332008719245
ENSOARG00000002811	101109758	CCNL1	cyclin L1	1.01326107041972	1.09391151883499	0.00966093673762907	0.0046332057302011
ENSOARG00000003000				-1.21570879959904	-1.40981970680444	0.0292911044450339	0.0114638059875114
ENSOARG00000003004	101123153	MND1	meiotic nuclear divisions 1	1.34593699196254	1.56780523643629	0.0384474569781546	0.0223920307771269
ENSOARG00000003104	101119564	AP1AR	adaptor related protein complex 1 associated regulatory protein	-1.15780059537635	-1.1513309267986	0.0471042265801888	0.0493967164088115
ENSOARG00000003112		AKAP12	A-kinase anchoring protein 12	1.07696588261124	1.25605714115545	0.0312653395824135	0.0105685351388493
ENSOARG00000003120	101122654	TFAP4	transcription factor AP-4	-1.91807732657471	-1.96307201503612	0.00305068717106334	0.00258508563268389
ENSOARG00000003139	101112594	SIK3	SIK family kinase 3	1.00282712718157	0.974280136930022	0.00736750926086099	0.00966085613251228
ENSOARG00000003173	101117193	EIF2B1	eukaryotic translation initiation factor 2B subunit alpha	-1.1626827776107	-1.15486030974103	0.00444362479643777	0.00485881675811032
ENSOARG00000003213		FAM241A	family with sequence similarity 241 member A	2.45247448900615	2.45838034304473	0.00652837933030393	0.00894795964687313
ENSOARG00000003221	101109787	TBC1D30	TBC1 domain family member 30	2.49703864096202	2.14341427520146	0.0024899826803511	0.00617678829110271
