ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.logFC	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.logFC	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.p.value	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.p.value
ENSOARG00000000087	101105065		uncharacterized LOC101105065	0.932074456268911	0.901153076023776	0.0312786978086832	0.037041221674832
ENSOARG00000000189				-0.957385333550681	-1.07284636195993	0.0330427025878036	0.00889640926584083
ENSOARG00000000371	101118422		brain expressed X-linked 2	-1.25795099620581	-1.21238085738576	0.00162881901968535	0.00203885502983128
ENSOARG00000000416				-1.00940369216034	-1.11756218177956	0.0494490710651554	0.0220012244160433
ENSOARG00000000486	101121073	SRPX	sushi repeat containing protein X-linked	1.19308863011899	0.968862386945208	0.00901264489781704	0.0390841745352298
ENSOARG00000000743	101103133	LOC101103133	complement C3-like	-1.37608045481091	-1.01525714668146	0.00017360613516871	0.00424155834956802
ENSOARG00000000751	101113831	LOC101113831	complement C3-like	-1.37268479768915	-0.991612756907542	0.0020978904610665	0.0291246682906696
ENSOARG00000000794	101122057	CRABP1	cellular retinoic acid binding protein 1	-1.49592855732284	-1.41100270172096	0.00770648985073203	0.00972951944897574
ENSOARG00000000837	101117368	HHIPL1	HHIP like 1	-1.11011260122515	-0.820054895013734	0.00192438483131974	0.0466122471873139
ENSOARG00000000957	101122555	HYKK	hydroxylysine kinase	1.7754512988664	2.34982726847743	0.0424789399988587	0.0196412215606606
ENSOARG00000000962	101114282	RHPN1	rhophilin Rho GTPase binding protein 1	-1.0793431356627	-1.04449520916763	0.0350047814993166	0.0407709895351675
ENSOARG00000001010	101103200	EXOC6	exocyst complex component 6	1.49291669700361	1.7717449868772	0.0362657923532124	0.0138271341685768
ENSOARG00000001117	101117959	ZNF784	zinc finger protein 784	1.2122464954748	1.43457008844136	0.0311397707063622	0.0138315170136632
ENSOARG00000001161		MMP25	matrix metallopeptidase 25	1.6545729366026	1.57335079302708	0.0376326501931113	0.0154367481102629
ENSOARG00000001346	101112685	CST6	cystatin E/M	-1.28261552883365	-1.61800687983592	0.0318935706204348	0.00878729525302026
ENSOARG00000001354	101103337	COMMD3	BMI1 proto-oncogene, polycomb ring finger	1.1880359857039	1.01405619867287	0.00672140758301596	0.0240412999551311
ENSOARG00000001433				3.89470174675933	2.60574505581201	0.00672839169026849	0.0184947983007714
ENSOARG00000001607	101121446	HSPBP1	HSPA (Hsp70) binding protein 1	-1.10350042618223	-0.95283626122185	0.0156647412602052	0.0465734847239229
ENSOARG00000001632	101116424	STIM1	stromal interaction molecule 1	-0.939970609877701	-1.03012708141237	0.0364122252753043	0.0146273889014468
ENSOARG00000001777	101107746	RAB13	RAB13, member RAS oncogene family	1.10375199361237	0.875677432241754	0.00727562998418221	0.0489379544666683
ENSOARG00000001985		OLFM1	olfactomedin 1	-1.38496962728644	-1.17117800096454	0.00441526501043884	0.0147519156789583
ENSOARG00000002075	101123352	APOOL	apolipoprotein O like	1.65112894729841	1.67480436496126	0.00653861557619233	0.00519367948153267
ENSOARG00000002086	101116715	LOC101116715	PDZ and LIM domain protein 2-like	1.4400689750254	1.57861446651554	0.0452611253012751	0.0247652589826466
ENSOARG00000002124		ADGRB1	adhesion G protein-coupled receptor B1	-1.32331358495087	-1.02441759355226	0.00683519819140946	0.035787333578322
ENSOARG00000002208	101111095	PRELID2	PRELI domain containing 2	1.45374461443442	1.73698582647702	0.0125930353906484	0.00364110232197475
ENSOARG00000002323				1.2585588795639	0.890966104049338	0.00271881569783002	0.0483092085316083
ENSOARG00000002575				-2.75426671284071	-2.12911117419053	0.00374395500179945	0.0154338043552213
ENSOARG00000002742		RAP2A	RAP2A, member of RAS oncogene family	-1.72878654687401	-1.62660790398034	0.00536576010316151	0.00684392506564983
ENSOARG00000002752	105605927	LOC105605927	complement C3-like	-1.12462663738871	-0.936551687514757	0.00307849954380278	0.0177553535348084
ENSOARG00000002771	101111946	LOC101111946	complement C3-like	-1.12499337252995	-0.862624627269143	0.00309041908404468	0.0398491601067331
ENSOARG00000002878	101109880	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	-0.950708649778433	-1.22119496138805	0.0379047092795664	0.00360269821740503
ENSOARG00000002959		FSCN1	fascin actin-bundling protein 1	1.48189744416189	1.32448169584713	0.0096305917082104	0.0162150980532002
ENSOARG00000002965	101113519	TPPP3	tubulin polymerization promoting protein family member 3	-1.7801525149478	-1.16945561706812	0.00187623828966946	0.0310389846884208
ENSOARG00000003007				1.12919871180351	1.14012671751036	0.00244287567577202	0.00193413371129905
ENSOARG00000003129	101111183	ADAMTSL2	ADAMTS like 2	-1.27914331648129	-1.25926524431629	0.0241751587286136	0.0226581392256853
ENSOARG00000003168	100307040	ELAVL1	ELAV like RNA binding protein 1	-0.862374050699589	-0.845027399530763	0.0293991226864567	0.0322673266238464
ENSOARG00000003189	101122650	INPP5F	inositol polyphosphate-5-phosphatase F	-0.897935318579697	-0.843831737702767	0.0213630429851126	0.0359501311152185
ENSOARG00000003333	101114915	ZBTB7B	zinc finger and BTB domain containing 7B	1.10594610603833	0.97282539643068	0.00923865596893636	0.023031256188052
ENSOARG00000003370	101112618	MME	membrane metalloendopeptidase	1.02886574225185	0.935009239561287	0.0252086137228688	0.0410189454818618
ENSOARG00000003451		SLC20A2	solute carrier family 20 member 2	-1.0764224703771	-0.852652713495848	0.00531979007179774	0.0473141229918067
ENSOARG00000003525	101117198	NKTR	natural killer cell triggering receptor	1.48835199126561	1.52258752025262	0.0161239825905404	0.0120462797160619
ENSOARG00000003597	101108833	AASDH	aminoadipate-semialdehyde dehydrogenase	1.06228850764376	1.0870566414034	0.0331238969241564	0.0258076424273779
ENSOARG00000003602				-1.15563452178744	-0.929474893380417	0.00312944185251112	0.0245230275256985
ENSOARG00000003729	101115029	JAKMIP2	janus kinase and microtubule interacting protein 2	-1.13856062636881	-1.26794697435473	0.0277983605134487	0.0207229294149101
ENSOARG00000003738	101102004	TXNL4B	thioredoxin like 4B	1.45819210670682	1.62946345209707	0.00805424889772458	0.00362616695131762
ENSOARG00000004070	101112099	CALHM2	calcium homeostasis modulator family member 2	1.23109630922265	1.22803948220616	0.0219775124938375	0.0156877236558151
ENSOARG00000004141	101113255	DNAH17	dynein axonemal heavy chain 17	0.993180247528926	1.19345884249112	0.0454097043489726	0.0106582659150952
ENSOARG00000004348	101111978	CLYBL	citrate lyase beta like	1.32824973028258	1.12141213798312	0.0163318362056978	0.0419476245708793
ENSOARG00000004394	101111393	FAM169A	family with sequence similarity 169 member A	-1.25836532097481	-1.6405383898365	0.0397872987043666	0.00940718733318956
ENSOARG00000004532				-1.2140847659802	-1.16399897426433	0.0155129516211218	0.0209713415560248
ENSOARG00000004572				1.73604329168063	1.24321570740736	0.0034730130840332	0.0283976837802521
ENSOARG00000004581				1.25547192458693	2.62757613181519	0.0255561665098496	0.000403979166472239
ENSOARG00000004861	101113888	STXBP6	syntaxin binding protein 6	-2.06786635947521	-1.38982754557414	0.0045790832822629	0.0483938812978636
ENSOARG00000004920	101115399	RPS13	ribosomal protein S13	1.0130294006736	0.926128638761851	0.0187039645851217	0.0362716779660472
ENSOARG00000004981	101104959	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3	-0.920536151436353	-0.948978968357723	0.0209743656563413	0.0135696456985153
ENSOARG00000005209		SDC4	syndecan 4	-1.59823655757146	-1.00361403190494	0.000825364759398922	0.0324840970499204
ENSOARG00000005399	101122748	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase	-1.84669317299248	-1.31723910484117	0.000790279160247887	0.00944430719730344
ENSOARG00000005448	101115469	EFNB2	ephrin B2	-1.17668920426939	-1.39778723967008	0.0401813006564652	0.014031320480271
ENSOARG00000005506	443086	ENO3	enolase 3	2.05129227480222	1.35399413489793	0.00216304816119141	0.0182834550790761
ENSOARG00000005516		TUBB4A	tubulin beta 4A class IVa	-1.21943400762755	-1.17050276921884	0.040652713937252	0.0447427136518218
ENSOARG00000005626		RHOQ	ras homolog family member Q	1.2225155134002	1.14422479412341	0.0184743442784793	0.0244425158553043
ENSOARG00000006059	101115641	BEND7	BEN domain containing 7	-1.30530225152582	-1.28174607915313	0.0122625035452883	0.0139695672155416
ENSOARG00000006187	101118118	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	-0.911771820277958	-0.893115772510153	0.0234199989112595	0.0253021398187185
ENSOARG00000006256		RSRP1	arginine and serine rich protein 1	1.19535303304247	1.28884808065364	0.0107652121923695	0.00603577890549629
ENSOARG00000006426	101115164	CCDC12	coiled-coil domain containing 12	-0.909928711094111	-0.992797117231203	0.0452721940096865	0.0191277478868744
ENSOARG00000006712	101112375	ECPAS	Ecm29 proteasome adaptor and scaffold	1.0404944905707	0.998268381449379	0.0388088106233171	0.0448069538311776
ENSOARG00000006794	101104486	ZNF354A	zinc finger protein 354A	1.3591427449694	1.12485703130152	0.00961605988742011	0.0269333931616868
ENSOARG00000007004				1.37053634961533	1.40787264437093	0.0128072347353902	0.00980526555650045
ENSOARG00000007029	101113125	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2	-1.26920497907137	-1.10366287507023	0.000777732453622672	0.00288709723611366
ENSOARG00000007591	101107699	NLRP3	NLR family pyrin domain containing 3	2.20065406752648	1.34010763760432	0.00404475749471016	0.049840343481448
ENSOARG00000007924	101113652	PDLIM3	PDZ and LIM domain 3	-1.58052970226258	-1.12582928087576	0.00158405205945412	0.0186234238928285
ENSOARG00000007965	101116602	GPX8	glutathione peroxidase 8 (putative)	1.05349581090317	1.00838042894823	0.0271614696786563	0.0328755478497319
ENSOARG00000008102	101120504	CUEDC1	CUE domain containing 1	1.36498066401452	1.28807419644596	0.0155083860732871	0.0187645787500794
ENSOARG00000008126	101115854	FAM149A	family with sequence similarity 149 member A	-1.20110073065135	-1.06928358011161	0.00823054724142432	0.0207804120578321
ENSOARG00000008685	101117780	SLC35C2	solute carrier family 35 member C2	0.997083638907366	0.987712202173634	0.0451635554371984	0.0446376391889217
ENSOARG00000008881	101121279	RGS7	regulator of G protein signaling 7	1.12160721981988	1.10690769328114	0.0228587417546957	0.0180108315232998
ENSOARG00000008900				-0.944071789683454	-0.914119669132952	0.0452138771150541	0.0495474958553994
ENSOARG00000009025				1.34965306744054	1.36255541031642	0.012397208580006	0.00930633678208258
ENSOARG00000009185		ARHGAP23	Rho GTPase activating protein 23	1.1119485049107	1.0463406282402	0.0226338583139893	0.0291752841496782
