ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10.vs.Ctrl.micro.logFC	LPS100.A10.vs.Ctrl.micro.p.value
ENSOARG00000000040	101105589	ACBD3	acyl-CoA binding domain containing 3	0.741203089947263	0.00316851497794063
ENSOARG00000000065	101120964	CDYL	chromodomain Y like	0.669689641152073	0.0155707278545038
ENSOARG00000000069				-1.64601303953511	0.000278898707137905
ENSOARG00000000073				1.34089140861236	0.00382321306453916
ENSOARG00000000079				-1.03399068380867	0.000901671343002422
ENSOARG00000000082	101102440	MARCH5	membrane associated ring-CH-type finger 5	0.8741552704227	0.0100891533868641
ENSOARG00000000089	101109667	GTF3C1	general transcription factor IIIC subunit 1	0.623785959993215	0.0213079689086361
ENSOARG00000000092		SHISA5	shisa family member 5	-0.848692043610709	0.00143665854940229
ENSOARG00000000096	101111718	BCLAF1	BCL2 associated transcription factor 1	-0.474630644812966	0.031469830597066
ENSOARG00000000100	101107155	MED8	mediator complex subunit 8	1.06094574301319	0.00133003266288476
ENSOARG00000000117	101118611	HERC3	HECT and RLD domain containing E3 ubiquitin protein ligase 3	-0.93224578915546	0.0323215829326971
ENSOARG00000000135	101122392	PBX2	PBX homeobox 2	-0.677572238886444	0.00992113367308044
ENSOARG00000000137	101107313	HMGN4	high mobility group nucleosomal binding domain 4	0.619201187423687	0.0485933725680852
ENSOARG00000000142	101112844	HSPA8	heat shock protein family A (Hsp70) member 8	-0.689642399906067	0.0105626906487784
ENSOARG00000000158	443139	EDNRB	endothelin receptor type B	-1.61142014571932	0.00148104154379829
ENSOARG00000000184		CAMK4	calcium/calmodulin dependent protein kinase IV	-0.761146395126235	0.0113573897098866
ENSOARG00000000187	101108774	API5	apoptosis inhibitor 5	1.16896579636025	0.0123651273875484
ENSOARG00000000192	101117099		zinc finger protein 83-like	-0.634971851259773	0.029745257407514
ENSOARG00000000196	101113505	NAPRT	nicotinate phosphoribosyltransferase	-0.89959775429169	0.00894124323892482
ENSOARG00000000218				-0.819759985597142	0.0413393217319551
ENSOARG00000000230				-0.92695636125636	0.020286499823746
ENSOARG00000000233	101109591	CHN1	chimerin 1	-0.851944930550752	0.017092343185573
ENSOARG00000000251	100170316	ADRA1D	adrenoceptor alpha 1D	2.90863683277488	9.39486165935847e-05
ENSOARG00000000257	101117895	SKIL	SKI like proto-oncogene	1.31784843996275	0.00373352028909482
ENSOARG00000000258	101109895	BAIAP2	BAI1 associated protein 2	-0.748701019284192	0.010761754008707
ENSOARG00000000264	101121080		sodium- and chloride-dependent glycine transporter 1-like	1.4782303277686	0.0482703231135934
ENSOARG00000000267	101123281	ABTB1	ankyrin repeat and BTB domain containing 1	-0.879949816337541	0.00123755708476825
ENSOARG00000000291	101102336	FGB	fibrinogen beta chain	-1.13635852873919	0.0133673714753687
ENSOARG00000000298	101110651	GPR155	G protein-coupled receptor 155	-0.799667160895093	0.0422244121196918
