ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.logFC	LPS100_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000000069				-0.995802890593066	0.049010340266259
ENSOARG00000000073				1.04114062761676	0.0478296712188884
ENSOARG00000000120				1.3994950037884	0.0101099674690004
ENSOARG00000000229	678677		neuregulin 1	0.849479155159215	0.0351199647173913
ENSOARG00000000570	101104979	MDM2	MDM2 proto-oncogene	0.91786945807132	0.0332678420984635
ENSOARG00000000735	101106216	CHTOP	chromatin target of PRMT1	0.855415019168985	0.0390296031116259
ENSOARG00000000762				-1.01255637644437	0.0272703897180633
ENSOARG00000001248				-0.92808675044486	0.0394893351943334
ENSOARG00000001352	101105838	SMG7	SMG7, nonsense mediated mRNA decay factor	0.81546615144818	0.0495246947304953
ENSOARG00000001882	101121306	CLUAP1	clusterin associated protein 1	-0.903336945574417	0.0488255119782444
ENSOARG00000002142	101119425	WDR25	WD repeat domain 25	1.08394867110125	0.0464205231576373
ENSOARG00000002180	101123247	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	-1.18071682940015	0.0185824952909273
ENSOARG00000002436				1.36996471725672	0.0225019563081509
ENSOARG00000002639	101108766	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	-0.907726065910917	0.0458574112365428
ENSOARG00000002845	101111145	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2	1.18750700751334	0.0278984195646276
ENSOARG00000003647	101105624	EFNA1	ephrin A1	-1.29193070847654	0.0321224180961329
ENSOARG00000003657		SURF2	surfeit 2	-1.09960227837263	0.0385417586230764
ENSOARG00000003666	101113692	ASXL1	ASXL transcriptional regulator 1	0.921508238395831	0.0490908252690147
ENSOARG00000003720		ZNF239	zinc finger protein 239	-1.41210491319813	0.00503755246247218
ENSOARG00000003884				0.972873678288342	0.0390296031116259
ENSOARG00000003943	101110097	BICRAL	BRD4 interacting chromatin remodeling complex associated protein like	-1.0463420084647	0.0330547855028081
ENSOARG00000004216	101106438	TFB1M	transcription factor B1, mitochondrial	-1.02286865068773	0.0145639251096742
ENSOARG00000004374	101109407		myelin basic protein	-1.00421060431595	0.0198981934892875
ENSOARG00000004385	101112236	ZIC5	Zic family member 5	-1.71091931044775	0.0120891045197621
ENSOARG00000004470		B4GAT1	beta-1,4-glucuronyltransferase 1	-1.09145668289375	0.00274112114430283
ENSOARG00000004478	101107298	CPTP	ceramide-1-phosphate transfer protein	-0.898745520569922	0.0202971276276129
ENSOARG00000004723		CENPB	centromere protein B	-0.814644269639005	0.0480616640984623
ENSOARG00000004838	101121972	NIPSNAP1	nipsnap homolog 1	-0.956594174704417	0.0411787563772738
ENSOARG00000004961	101122992	TRPT1	tRNA phosphotransferase 1	-0.881969391485558	0.0362154268419224
ENSOARG00000005206	101106703	OPTN	optineurin	1.02983888299882	0.021521860801216
ENSOARG00000005279	101107407	UBQLN4	ubiquilin 4	-0.858387995757314	0.0415599583401864
ENSOARG00000005282	101115076	ORC1	origin recognition complex subunit 1	-1.29400177535972	0.0411624125886333
ENSOARG00000005289	101121285	COX7A1	cytochrome c oxidase subunit 7A1, mitochondrial	1.16917262474336	0.0256080675987742
ENSOARG00000005316	101107066	KIF1BP	KIF1 binding protein	0.959399785618773	0.0200109767907706
ENSOARG00000005475	101113441	KLC4	kinesin light chain 4	-0.845580522075436	0.0316259496087275
ENSOARG00000005706	101111260	USP27X	ubiquitin specific peptidase 27 X-linked	-1.11549577534698	0.016419697702562
ENSOARG00000005728	101110493	GNB3	G protein subunit beta 3	-1.69058828346961	0.00950779223467887
ENSOARG00000005867				1.19303784577223	0.0142692506828119
ENSOARG00000005975	101112603	TWF2	twinfilin actin binding protein 2	-0.995443521651139	0.0219927679826529
ENSOARG00000006128	101114324	RNF125	ring finger protein 125	1.1854296180724	0.0453243933776998
ENSOARG00000006210	101104015	OGG1	8-oxoguanine DNA glycosylase	-1.05652248068965	0.0431045389765427
ENSOARG00000006232	101121481	ZNF48	zinc finger protein 48	-1.15518491373013	0.0156539046032736
ENSOARG00000006503	101119900	NT5C3A	5'-nucleotidase, cytosolic IIIA	1.65425362427716	0.0291395968805353
ENSOARG00000006714	101123660	P2RY6	pyrimidinergic receptor P2Y6	3.22828738331427	0.0338348293428286
ENSOARG00000006952	101107365	KBTBD7	kelch repeat and BTB domain containing 7	-1.82723315306614	0.0027893714320488
ENSOARG00000007065	101120002	MAP1LC3C	microtubule associated protein 1 light chain 3 gamma	1.34991153490286	0.0357253855053872
ENSOARG00000007124	101115680	ELP1	elongator complex protein 1	-0.934951378526354	0.024740141088504
ENSOARG00000007364	101111466	ZMYND15	zinc finger MYND-type containing 15	0.974144498190645	0.0151351837874955
ENSOARG00000007367		STOX2	storkhead box 2	-1.44983371617695	0.0422341878580055
ENSOARG00000007560	101121370	ARHGAP42	Rho GTPase activating protein 42	1.08326856303758	0.0368626331312483
ENSOARG00000007693	101119328	NUDT7	nudix hydrolase 7	-1.31342638369777	0.0374227758703276
ENSOARG00000007809	443262	ARNTL	aryl hydrocarbon receptor nuclear translocator like	-0.932591162636141	0.0448038711404521
ENSOARG00000008019	101117182	NMT2	N-myristoyltransferase 2	-1.01930308786519	0.00964012915571992
ENSOARG00000008032	101110436	CBFA2T2	CBFA2/RUNX1 translocation partner 2	-1.04310388567561	0.0443602557435609
ENSOARG00000008151		ORAI3	ORAI calcium release-activated calcium modulator 3	-0.940918966159391	0.020045664133279
ENSOARG00000008348	101110387	ZNF484	zinc finger protein 484	-1.25465151845684	0.00568758539661326
ENSOARG00000008454	101107113	CDK3	cyclin dependent kinase 3	-1.20739127237781	0.0256993984477728
ENSOARG00000008531	101116325		PHD finger protein 11	0.927529086371985	0.0234558067165544
ENSOARG00000008556	101116583	RCBTB1	RCC1 and BTB domain containing protein 1	1.42344128053856	0.0399817112497217
ENSOARG00000008578	101112193	PTCH1	patched 1	-1.28496306864445	0.0207971363059902
ENSOARG00000008585	100307033	ASF1A	anti-silencing function 1A histone chaperone	-0.929939453409028	0.0448372857857556
ENSOARG00000008819	101102442	ROCK1	Rho associated coiled-coil containing protein kinase 1	0.926482076897023	0.0432434713722415
ENSOARG00000008875	101113625	SLC8B1	solute carrier family 8 member B1	-1.44878626309036	0.0484716031409629
ENSOARG00000008941	101107878	TRIM65	tripartite motif-containing protein 47	-1.14308958160106	0.00283676096973579
ENSOARG00000009089	443229	SMAD1	SMAD family member 1	1.05611820913406	0.0252744097332919
ENSOARG00000009446	101113890	PPP4R2	protein phosphatase 4 regulatory subunit 2	0.897407691087817	0.0262815309811521
ENSOARG00000009804	101118970		acyl-CoA binding domain containing 4	-0.99545164775636	0.0396823970623541
ENSOARG00000010093	101115231	TRAFD1	TRAF-type zinc finger domain containing 1	1.24455047226133	0.0257802293872687
ENSOARG00000010146	101121074	R3HCC1	R3H domain and coiled-coil containing 1	-0.88573356227286	0.0288105343265907
ENSOARG00000010321	101104535	CCHCR1	coiled-coil alpha-helical rod protein 1	-1.01167915049732	0.0491516536060107
ENSOARG00000010361	101120680	TSEN54	tRNA splicing endonuclease subunit 54	-0.918976208366299	0.0222877934528798
ENSOARG00000010395		TGIF1	TGFB induced factor homeobox 1	1.04105375915552	0.0389999654542254
ENSOARG00000010419				-0.941223226868819	0.0386909762493619
ENSOARG00000010564	101120274	RSRC2	arginine and serine rich coiled-coil 2	0.802910181475998	0.0315950585771669
ENSOARG00000010632	101104996	TET2	tet methylcytosine dioxygenase 2	0.953405305663442	0.0412355050843999
ENSOARG00000010633	101103080	STAC2	SH3 and cysteine rich domain 2	-1.08941274464257	0.0240540372227676
ENSOARG00000010664	101117818	MID1	midline 1	1.03565872806836	0.0390296031116259
ENSOARG00000010762	101123612		contactin-associated protein-like 3	1.30294896087448	0.0202971276276129
ENSOARG00000010779	101122492	ZNF768	zinc finger protein 768	-0.929801844166323	0.0137712877272717
ENSOARG00000010897	101102077	SELL	selectin L	1.22769482265194	0.0184746594273314
ENSOARG00000011041	101110708	ELL3	elongation factor for RNA polymerase II 3	1.40811612873265	0.0298335901406913
ENSOARG00000011068	101119224	BEND3	BEN domain containing 3	-1.59939564034296	0.0221023090265598
ENSOARG00000011206	101105167	SPIDR	scaffold protein involved in DNA repair	-1.05115298006502	0.0105884124270306
ENSOARG00000011284	101105595	SDHAF1	succinate dehydrogenase complex assembly factor 1	-1.2425829302305	0.0454052286760656
ENSOARG00000011321	100302085	AK1	adenylate kinase 1	-1.00525660992663	0.0215045453399216
ENSOARG00000011354	101120765	KLHL21	kelch like family member 21	-0.920608241319645	0.0136977062792307
ENSOARG00000011442	101120138	OFD1	OFD1, centriole and centriolar satellite protein	-1.01893864042864	0.0178049975434299
ENSOARG00000011444	101103753	ADM	adrenomedullin	1.40432063135588	0.0492776473767924
ENSOARG00000011474	101101964	FPGS	folylpolyglutamate synthase	-0.947287638379259	0.0271024486430682
ENSOARG00000011489	101105055	SLC9A6	solute carrier family 9 member A6	-0.894006178636753	0.0328172384532704
ENSOARG00000011569	101116779	DEPDC1	DEP domain containing 1	1.55060101817289	0.0304522718111325
ENSOARG00000011581		ZSWIM9	zinc finger SWIM-type containing 9	-0.935493250933408	0.0464552233499343
ENSOARG00000011650	101116696	TMC7	transmembrane channel like 7	-1.17251932492761	0.0332678420984635
ENSOARG00000011659	101122124	LYPLAL1	lysophospholipase like 1	-0.979757759268419	0.0378428785216398
ENSOARG00000011890		FANCE	FA complementation group E	-1.00238267714172	0.0104623526796973
ENSOARG00000011987	100217404	SIRT4	sirtuin 4	-1.28054318986101	0.0364628944517158
ENSOARG00000012099				-1.10298106381667	0.00913163652235116
ENSOARG00000012324				-1.05712623064676	0.00927125649376699
ENSOARG00000012389	101112533	GPRC5B	G protein-coupled receptor class C group 5 member B	-1.08506939355095	0.0227969048518331
ENSOARG00000012767	101120102	CEP250	centrosomal protein 250	-0.956326202059408	0.0495322157956283
ENSOARG00000012879	101120908	SEMA4F	ssemaphorin 4F	-1.18797729779731	0.00672502777327426
ENSOARG00000012954	101113341	CA2	carbonic anhydrase 2	0.831786602069728	0.0486749763734927
ENSOARG00000013311	101116737	TONSL	tonsoku like, DNA repair protein	-1.09023832540601	0.0210125283842934
ENSOARG00000013426	101106607	TAF1A	TATA-box binding protein associated factor, RNA polymerase I subunit A	1.07414454627542	0.0230282087403094
ENSOARG00000013724		PEX26	peroxisomal biogenesis factor 26	-1.1473480632514	0.010807751255037
ENSOARG00000014254	101111926	RPUSD1	RNA pseudouridylate synthase domain-containing protein 1	-1.28915429954352	0.0159196168541289
ENSOARG00000014385	101115555	ABCA6	ATP binding cassette subfamily A member 6	1.65936291264252	0.0258953004481996
ENSOARG00000014736	101112252	SPIRE2	spire type actin nucleation factor 2	-1.08858226904729	0.0174804218870303
ENSOARG00000014961				1.15859163938329	0.0368626331312483
ENSOARG00000015104	101119840	PHF20	PHD finger protein 20	-1.03871516446706	0.031755144742573
ENSOARG00000015199	101114407	P2RY1	purinergic receptor P2Y1	1.30923169335118	0.0293164837840762
ENSOARG00000015347	101106952	KPNA2	karyopherin subunit alpha 2	1.04306284828696	0.0325157106762897
ENSOARG00000015454	101114979	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F	-1.08714985255393	0.0353667348811837
ENSOARG00000015974	101122065	SLC15A3	solute carrier family 15 member 3	0.968494903402528	0.026895142335974
ENSOARG00000016028	101106631	CLASP2	cytoplasmic linker associated protein 2	0.834896304598323	0.0300544775918754
ENSOARG00000016093	101118223	FAN1	FANCD2 and FANCI associated nuclease 1	-0.8607678069301	0.0147461878056417
ENSOARG00000016250	101118151	HSPA13	heat shock protein family A (Hsp70) member 13	0.861518594156803	0.0467523211640921
ENSOARG00000016308	101105558	SLC25A43	solute carrier family 25 member 43	-1.14005696210706	0.0367019035563466
ENSOARG00000016327	101104257	RAB40B	RAB40B, member RAS oncogene family	-1.42508253588889	0.0488255119782444
ENSOARG00000016460	101120852	TOR3A	torsin family 3 member A	1.21231356562653	0.0362459215743783
ENSOARG00000016461	101111336	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3	-0.883912224124311	0.0338348293428286
ENSOARG00000016468	101113613	RASSF2	Ras association domain family member 2	1.14709003899694	0.0205425309281737
ENSOARG00000016539	105603547	SLC26A6	solute carrier family 26 member 6	-0.979557345910172	0.0368626331312483
ENSOARG00000016696	101117514	PYCR3	pyrroline-5-carboxylate reductase 3	-0.930676381643434	0.0411787563772738
ENSOARG00000016745	101113899	MSRB1	methionine sulfoxide reductase B1	-0.835912916347499	0.0454052286760656
ENSOARG00000016762				-1.2968408707539	0.0192882883432468
ENSOARG00000016778	101109360	POLK	DNA polymerase kappa	0.998011303399975	0.0297508250332799
ENSOARG00000016804	101113450	FBXW4	F-box and WD repeat domain containing 4	-1.0847130116705	0.00946100435898882
ENSOARG00000016864	101110861	LONP2	lon peptidase 2, peroxisomal	-0.827129133083834	0.0334972026084847
ENSOARG00000017007	101117133	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	-0.922296577795986	0.0265570670911747
ENSOARG00000017028	101113098	DEPDC7	DEP domain containing 7	-1.32770972060626	0.0332250379005872
ENSOARG00000017096				-1.0221050493905	0.00661565742760471
ENSOARG00000017129	101122975	ZBED5	zinc finger BED-type containing 5	-1.33356489542872	0.00830983414823911
ENSOARG00000017434	101109097	CMYA5	terminal nucleotidyltransferase 2	0.907320957743562	0.039506066307117
ENSOARG00000017630	101113931	NR2F6	nuclear receptor subfamily 2 group F member 6	-1.22981796741345	0.00986280032674884
ENSOARG00000017647				1.08021505360998	0.0171454786714061
ENSOARG00000018309	101114102	PEX1	peroxisomal biogenesis factor 1	-0.949941546872352	0.0353616254398816
