ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.logFC	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.p.value
ENSOARG00000000109		SLAIN1	SLAIN motif family member 1	-2.36540563110067	0.00107314116279359
ENSOARG00000000114	443475	LOC443475	complement C3	-1.06763338224024	0.00333461835094476
ENSOARG00000000218				-0.925508242858408	0.0318505764509331
ENSOARG00000000229	678677		neuregulin 1	-0.983615887053856	0.0178359351141123
ENSOARG00000000249	101112232	MAP7	microtubule associated protein 7	-2.11974262263189	0.0134783182815036
ENSOARG00000000337	101121018	MAP3K5	mitogen-activated protein kinase kinase kinase 5	-1.36404683840559	0.00305114181521459
ENSOARG00000000411	101118103	TIGD2	tigger transposable element derived 2	1.24470152734838	0.0297132125831074
ENSOARG00000000573				-1.21057179735339	0.0385770529126237
ENSOARG00000000675	101113941	ARFGEF3	ARFGEF family member 3	-1.72929239596553	0.00815239235197677
ENSOARG00000000809	443419	STAT5A	signal transducer and activator of transcription 5A	1.40582600935801	0.0466368115720531
ENSOARG00000000996	101122816	PSMA4	proteasome subunit alpha 4	1.06262836319347	0.0126287908226877
ENSOARG00000001001	101105670	SPAG5	sperm associated antigen 5	1.45159721450842	0.0172667400248654
ENSOARG00000001004				2.01208380324716	0.0253888417015874
ENSOARG00000001048				1.09569141640326	0.00626328997044475
ENSOARG00000001113	101107002	COL16A1	collagen type XVI alpha 1 chain	-0.824792103871168	0.04930306748615
ENSOARG00000001170	101107605	LTBP2	latent transforming growth factor beta binding protein 2	1.07241625125679	0.0213193859828353
ENSOARG00000001201				-1.62114103347187	0.00373123488305854
ENSOARG00000001227	101105782	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4	-1.05131893641706	0.0257960802193704
ENSOARG00000001296	101115041	ZNF696	zinc finger protein 696	-1.36037193130971	0.0406798212865472
ENSOARG00000001337	445468	CAV1	caveolin 1	0.888491429845659	0.0252212323805252
ENSOARG00000001457	101118600	REL	REL proto-oncogene, NF-kB subunit	1.62827361503442	0.0321827613734827
ENSOARG00000001529	101115246	TRIM8	tripartite motif containing 8	1.04867060143166	0.0368287014058599
ENSOARG00000001554				-1.36012609214215	0.0173735971252548
ENSOARG00000001557	101121821	MEFV	MEFV, pyrin innate immunity regulator	-2.2835830463759	0.0209629395130434
ENSOARG00000001574	100620047	BTG2	BTG anti-proliferation factor 2	-1.28916186095533	0.00358026017360689
ENSOARG00000001661	101111334	LOC101111334	uncharacterized LOC101111334	1.96076153507721	0.0266507631684349
ENSOARG00000001794		PGAP2	post-GPI attachment to proteins 2	1.33887687483226	0.00585200991844529
ENSOARG00000001967	101107271		protein phosphatase 1 regulatory subunit 26	-1.22955147655397	0.0251538722538121
ENSOARG00000002041	101119195		reticulocalbin-3-like	1.35615176074162	0.00988163140880175
ENSOARG00000002115	101114806	MRE11	MRE11 homolog, double strand break repair nuclease	0.894269628853662	0.0323260297480737
ENSOARG00000002188	101116455	METTL8	methyltransferase like 8	1.44285492338105	0.019048747726161
ENSOARG00000002234	443308	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	-1.22476212005971	0.0124984888301341
ENSOARG00000002282	101108271	SETBP1	SET binding protein 1	-2.54526967690043	0.0107152711857531
ENSOARG00000002360	101118612	HPSE	heparanase	-0.927926312857798	0.0364693710697506
ENSOARG00000002437				-1.69230079291278	0.0302566788711309
ENSOARG00000002475	100359412	PEG10	paternally expressed 10	-1.12762938404604	0.0399435257411141
ENSOARG00000002489	101103244	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	-1.3574542280658	0.018721417515835
ENSOARG00000002593	101115373	SPTLC2	serine palmitoyltransferase long chain base subunit 2	1.19849545915311	0.0129857426557601
ENSOARG00000002599	101112115	LOC101112115	protocadherin-11 X-linked	-1.37769083290568	0.0133651253233123
ENSOARG00000002607	101105522	LENG8	leukocyte receptor cluster member 8	1.05152690751865	0.0464366254435385
ENSOARG00000002665				-1.05387336744858	0.0133784492495715
ENSOARG00000002693	101109844	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2	2.16181875670924	0.0288466961287585
ENSOARG00000002783	101112914	MDM4	MDM4, p53 regulator	1.68161511597454	0.0145771905150848
ENSOARG00000002810				1.26861646660045	0.0486948548185815
ENSOARG00000002881				3.73374365514669	0.00103659621665045
ENSOARG00000002883				-1.15651127206832	0.0155823593721761
ENSOARG00000002952	101104366	ADAR	adenosine deaminase, RNA specific	1.04890706666671	0.0425894675143297
ENSOARG00000002960	101117080	STON2	stonin 2	-1.48892341727177	0.017685829399494
ENSOARG00000002982	101111432	LOC101111432	plasma membrane calcium-transporting ATPase 4-like	-1.05611519319653	0.0444932225480146
ENSOARG00000003148		ZBTB2	zinc finger and BTB domain containing 2	-1.02067786189066	0.0444010449376894
ENSOARG00000003179		TNRC18	trinucleotide repeat containing 18	1.27104971290854	0.00228127697614067
ENSOARG00000003262	101123038		widely interspaced zinc finger motifs	-0.979438911165163	0.0279606550073057
ENSOARG00000003355	101104880	DCST2	DC-STAMP domain containing 2	2.1456662516068	0.0331326073149983
ENSOARG00000003424	101108572	KIAA1211	KIAA1211 ortholog	-1.13145607989631	0.0388414630306096
ENSOARG00000003577	101106550	CNBP	CCHC-type zinc finger nucleic acid binding protein	-0.982969460679158	0.0149238543368397
ENSOARG00000003605	101117727	GPR137B	G protein-coupled receptor 137B	0.994493588086155	0.0273578371117524
ENSOARG00000003735	105601916	LOC105601916	zinc finger protein 211-like	-1.02221457435238	0.0481243474968061
ENSOARG00000003773				-1.71801942809953	0.0207878751343108
ENSOARG00000003807	101119753	LRRC51	leucine-rich repeat-containing protein 51	1.78142994509926	0.00906727741686413
ENSOARG00000003826	101114290	NUAK2	NUAK family kinase 2	1.55177997903766	0.0237737594966887
ENSOARG00000004139	101114032		uncharacterized LOC101114032	-2.12503183760778	0.0331238969241564
ENSOARG00000004281	101107472	NEFH	neurofilament heavy	-2.10465977633987	0.00840907928043454
ENSOARG00000004292	101105076	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	1.18988429539569	0.0300477429261281
ENSOARG00000004381	101121233	TMEM26	transmembrane protein 26	2.04735757300337	0.0407516844482521
ENSOARG00000004383		KCNK15	potassium two pore domain channel subfamily K member 15	2.04404360483396	0.0296261458421745
ENSOARG00000004410	101122805	LZTS3	leucine zipper tumor suppressor family member 3	-0.951106768022769	0.0289887434777949
ENSOARG00000004460	100037668	LOC100037668	40S ribosomal protein S15a	1.00298289066928	0.018721417515835
ENSOARG00000004617	101102014	LOC101102014	hydroxycarboxylic acid receptor 2	-1.28115409025413	0.00998455986393503
ENSOARG00000004702	101118728	LRP4	LDL receptor related protein 4	-1.31613562582353	0.0276148779035952
ENSOARG00000004714	443490	NRF1	nuclear respiratory factor 1	-1.01333493091596	0.0307882632779638
ENSOARG00000004717	101107802	INCA1	inhibitor of CDK, cyclin A1 interacting protein 1	-1.20100204420942	0.0491926383699845
ENSOARG00000004770	494443	MBD2	methyl-CpG binding domain protein 2	0.972053374923348	0.0274638898143719
ENSOARG00000004782				1.61359076674038	0.00789590028946432
ENSOARG00000004797	101120978	WWTR1	WW domain containing transcription regulator 1	-1.52169686824667	0.00214102323321513
ENSOARG00000004864	101120970	SYT11	synaptotagmin 11	-1.28736437207783	0.00824522481544004
