ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100_1_hit.vs.Ctrl_1_hit.astro.p.value
ENSOARG00000000067	101114673		acidic leucine-rich nuclear phosphoprotein 32 family member A-like	-0.986878533441315	0.0228615343545796
ENSOARG00000000072	101111137	FOSL1	FOS like 1, AP-1 transcription factor subunit	1.26030222582449	5.35176707478104e-05
ENSOARG00000000080	101119062	CEP131	centrosomal protein 131	-1.53175614336644	0.000954169398368255
ENSOARG00000000082	101102440	MARCH5	membrane associated ring-CH-type finger 5	1.51992866136945	0.00276441372900524
ENSOARG00000000120				1.3994950037884	0.0101451977207901
ENSOARG00000000123	101119927	CX3CL1	C-X3-C motif chemokine ligand 1	1.36055435349915	0.0121235178208039
ENSOARG00000000153		TREX1	three prime repair exonuclease 1	1.5413092560655	0.0360312903141497
ENSOARG00000000229	678677		neuregulin 1	0.849479155159215	0.0356468892890492
ENSOARG00000000264	101121080		sodium- and chloride-dependent glycine transporter 1-like	1.27523981083895	0.00350126202063818
ENSOARG00000000336	101108824	GCC2	GRIP and coiled-coil domain containing 2	1.33870540838503	0.0163165857846934
ENSOARG00000000358	101102488	PSEN1	presenilin 1	0.991057206644847	0.00740972557218749
ENSOARG00000000405	101105769	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	1.51659289751547	0.0157129659123625
ENSOARG00000000409	101111750	CCDC51	coiled-coil domain containing 51	-1.34389731354785	0.00400053824097996
ENSOARG00000000415	101116204	RNF122	ring finger protein 122	3.08887806453263	0.00580306355523152
ENSOARG00000000420	101104583	NDFIP2	Nedd4 family interacting protein 2	0.958711712489585	0.00424813430263466
ENSOARG00000000433	101118873	NAP1L5	nucleosome assembly protein 1 like 5	-1.09034835802538	0.00961741059835551
ENSOARG00000000438	101114332	GRID1	glutamate ionotropic receptor delta type subunit 1	-1.16974445405207	0.0340734043490933
ENSOARG00000000443	101112084		cationic amino acid transporter 3-like	2.29902996067638	0.00214985912512954
ENSOARG00000000570	101104979	MDM2	MDM2 proto-oncogene	0.91786945807132	0.0336657347113416
ENSOARG00000000604				-1.01259934991545	0.0300370892222771
ENSOARG00000000627	101107309	CIT	citron rho-interacting serine/threonine kinase	-0.953619898018536	0.0467754798397068
ENSOARG00000000676	101119527	PAQR4	progestin and adipoQ receptor family member 4	-1.39421515481463	0.00124444824036809
ENSOARG00000000717				1.0729036307218	0.00770109447175663
ENSOARG00000000735	101106216	CHTOP	chromatin target of PRMT1	0.855415019168985	0.0397121229484532
ENSOARG00000000754	101117730	PLPBP	pyridoxal phosphate binding protein	-1.11154572841909	0.0032714874020553
ENSOARG00000000811	100135697	PARP1	poly(ADP-ribose) polymerase 1	-0.817517174605719	0.0351843162847236
ENSOARG00000000829	443186	ACACA	acetyl-CoA carboxylase alpha	0.929083161707934	0.0431660527771711
ENSOARG00000000896				1.93802930285025	0.00715774003511954
ENSOARG00000000904				1.9830385105211	0.00585961452525022
ENSOARG00000000915	101106749	ADGRB2	adhesion G protein-coupled receptor B2	-0.909110161698025	0.0414481105146027
