ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100.vs.Ctrl.micro.logFC	LPS100_1_hit.vs.Ctrl_1_hit.astro.p.value	LPS100.vs.Ctrl.micro.p.value
ENSOARG00000000063	101123141	CCL22	C-C motif chemokine ligand 22	2.82255427821479	3.82689751823258	0.00630567214189816	0.00394946614072269
ENSOARG00000000073				1.04114062761676	1.68472887482758	0.0488292852297995	0.0133470275422393
ENSOARG00000000103	101114930	PPP2CB	protein phosphatase 2 catalytic subunit beta	0.870226736576916	2.21109929714211	0.0322994674141694	0.0114513296363263
ENSOARG00000000110	101103370	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	1.40401157494115	2.07899364592933	0.000201415214636839	0.00548684725081092
ENSOARG00000000165				1.50579888184808	4.4088882814537	0.0386891243590996	0.00105410601577565
ENSOARG00000000175	100294595	SOCS3	suppressor of cytokine signaling 3	3.52129698077322	5.48439686361115	3.67632860633069e-06	0.000597628364120076
ENSOARG00000000191	101116298	SULT1C4	sulfotransferase 1C4-like	-1.50867032894136	-2.06273325127634	0.000462818552059213	0.0130618840600175
ENSOARG00000000244	101115435		myotubularin-related protein 9	-1.60223426047443	-1.29846513592348	0.000567594521788012	0.0116751548241658
ENSOARG00000000248		SLC6A6	solute carrier family 6 member 6	-1.70202846381167	-1.94630431906192	0.000283771720996233	0.0106310562230134
ENSOARG00000000258	101109895	BAIAP2	BAI1 associated protein 2	-1.43522132588289	-2.28309623522492	0.000839744837466118	0.000858711407315907
ENSOARG00000000269	101114193	RASGEF1B	RasGEF domain family member 1B	3.21532089002508	2.5811917362696	8.33684236337028e-06	0.00490760784308928
ENSOARG00000000304	101102850	ACKR3	atypical chemokine receptor 3	1.68194097501339	3.08843478493061	0.000722986116625655	0.013753219241134
ENSOARG00000000306	101116728	TIFA	TRAF interacting protein with forkhead associated domain	3.27616573311792	2.79049050263627	0.000260942448069349	0.00412762753806268
ENSOARG00000000399	101114393	TBC1D2B	TBC1 domain family member 2B	1.9171183896907	3.04636883534236	0.000195289389841181	0.0118130922371142
ENSOARG00000000417	101122157	S100A9	S100 calcium binding protein A9	4.31272951506396	5.79467819985089	2.45030955230478e-06	0.000300504452501094
ENSOARG00000000483	443119	NFKB2	nuclear factor kappa B subunit 2	2.00205406524464	3.47497604287054	2.1099865859956e-06	0.000853824741756923
ENSOARG00000000487				3.76355827811921	2.86315424514901	0.000432039610005338	0.00231202032050796
ENSOARG00000000492	101117610	NLRP12	NLR family pyrin domain containing 12	3.40214128508329	4.8625598100221	3.2609759257159e-05	0.00370085591513188
ENSOARG00000000506	101117244	HSH2D	hematopoietic SH2 domain containing	3.25680158297284	3.6657049505544	0.000341339886109672	0.000623552188592267
ENSOARG00000000528				4.96141779343028	5.60803684425062	8.33684236337028e-06	0.000463396938177894
ENSOARG00000000530	101119562	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	3.22268861113928	2.6075632746881	0.000105125285133914	0.00424839597364513
ENSOARG00000000546	101117868	LOC101117868	cationic amino acid transporter 3-like	2.18048248813714	2.88178176871085	0.00365159948748938	0.00688775712599853
ENSOARG00000000569	101113156	TNFAIP3	TNF alpha induced protein 3	3.15783900599763	2.76744022499334	2.61727419050209e-06	0.0134125445825358
ENSOARG00000000607				-1.78841156393064	-1.87796387163683	0.000422201000858359	0.00822010073820176
ENSOARG00000000675	101113941	ARFGEF3	ARFGEF family member 3	3.03812431453186	2.13259434682161	5.0963737065323e-05	0.0203408993799238
ENSOARG00000000736	101119784	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	-1.26937167744708	-1.57060772707199	0.024612887435842	0.0331648524295646
ENSOARG00000000739	101108183		solute carrier family 6 member 9	1.31669992226181	2.2128092932815	0.00076574051119463	0.0038198991249314
ENSOARG00000000762				-1.01255637644437	-1.87715739084542	0.0276213811953875	0.0333115720630207
ENSOARG00000000772	101110367	PLCD1	phospholipase C delta 1	-1.5928872508869	-2.04822796944533	4.88763018257055e-05	0.000954750245781552
ENSOARG00000000803	101103445	MTCL1	microtubule crosslinking factor 1	-1.13511425567744	-2.27148854300546	0.014050968668669	0.0192386607984294
ENSOARG00000000809	443419	STAT5A	signal transducer and activator of transcription 5A	1.7873195330564	3.08826465983478	0.00181101441637473	0.000718526702930286
ENSOARG00000000827	101113562	SHLD2	shieldin complex subunit 2	-1.12421181595217	-1.29054183691862	0.0136188914976841	0.0145879042973283
ENSOARG00000000888	101103655	XAF1	XIAP associated factor 1	2.19999210933412	2.17534621819048	0.00410054996231338	0.0332450363027949
