ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.vs.Ctrl.micro.logFC	LPS100.vs.Ctrl.micro.p.value
ENSOARG00000000040	101105589	ACBD3	acyl-CoA binding domain containing 3	0.822821523069285	0.0454439101673421
ENSOARG00000000079				-1.35081780276626	0.0132723692519555
ENSOARG00000000100	101107155	MED8	mediator complex subunit 8	0.983793646466552	0.049344299037867
ENSOARG00000000251	100170316	ADRA1D	adrenoceptor alpha 1D	2.1147896969152	0.0163174607824934
ENSOARG00000000313				-1.00214618891833	0.0454516029753024
ENSOARG00000000329	101112478	SRFBP1	serum response factor binding protein 1	1.21516339279891	0.029642294022295
ENSOARG00000000333	101114142	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	2.82531025554747	0.00183944862736835
ENSOARG00000000373	101110815	CCSER2	coiled-coil serine rich protein 2	1.0655672998392	0.0137433990917198
ENSOARG00000000416				3.16549916975459	0.00140534457807496
ENSOARG00000000468	101105339	LOC101105339	nuclear transcription factor Y subunit beta	0.817519392383162	0.0492075233336086
ENSOARG00000000498	101109832	ITGA9	integrin subunit alpha 9	2.78406555996973	0.000400643071883284
ENSOARG00000000510	101112907	IFNGR1	interferon gamma receptor 1	-1.72577140084423	0.0156167645475571
ENSOARG00000000564				2.01473330080753	0.0106310562230134
ENSOARG00000000581	101113905	LRRC31	leucine rich repeat containing 31	3.12394620230204	0.00143300446833886
ENSOARG00000000633	101105744	IQUB	IQ motif and ubiquitin domain containing	2.52113799181749	0.00351336277014793
ENSOARG00000000669	101107368	SLC25A35	solute carrier family 25 member 35	-1.61593112219381	0.0131467265047977
ENSOARG00000000732	101109650	XPC	XPC complex subunit, DNA damage recognition and repair factor	-1.21798446126545	0.0104790314192351
ENSOARG00000000758	101123177	SNAPIN	SNAP associated protein	-0.832997231601667	0.0430504386637277
ENSOARG00000000780		SLC2A4RG	SLC2A4 regulator	-2.06917147903044	0.0407029651002207
ENSOARG00000000791	101114199	HEBP2	heme binding protein 2	2.13068004538939	0.0453518696258888
ENSOARG00000000798				0.945601376963419	0.0358013139378506
ENSOARG00000000805	101120792	ACTRT3	actin related protein T3	1.6958060173002	0.0237902756110055
ENSOARG00000000846	101122529	CCDC28A	coiled-coil domain containing 28A	-0.912286681866052	0.0241023987822603
ENSOARG00000000855		SH3RF3	SH3 domain containing ring finger 3	-1.94011604128282	0.0187865177435698
ENSOARG00000000869	101104881	LMTK2	lemur tyrosine kinase 2	2.09403494977333	0.00343006158341086
ENSOARG00000000963	101109235	TMEM53	transmembrane protein 53	-1.66124670342257	0.0139279082457797
ENSOARG00000000964	101121258	ZNF358	zinc finger protein 358	-0.900917213521022	0.0301663323925358
ENSOARG00000001014	101113205	PDK1	pyruvate dehydrogenase kinase 1	-1.09756483707417	0.0311029981655902
ENSOARG00000001090	101112585	LOC101112585	F-box only protein 44	-0.967431714672657	0.0346249321180226
ENSOARG00000001161		MMP25	matrix metallopeptidase 25	1.72378831665933	0.0362342504809431
ENSOARG00000001187	101113656	ITGA6	integrin subunit alpha 6	-2.07095050237822	0.0276954849212355
ENSOARG00000001240	101118674	PEF1	penta-EF-hand domain containing 1	-1.46819315095934	0.00338286838370937
ENSOARG00000001275	101112710	CRIP2	cysteine rich protein 2	-0.919259589928567	0.0479010581738525
ENSOARG00000001322	101102339	FBXO22	F-box protein 22	-0.773810003959956	0.0423796761380231
ENSOARG00000001329				1.39216681913531	0.016805366417466
ENSOARG00000001338	101121901	CGGBP1	CGG triplet repeat binding protein 1	0.991957273477148	0.0271931705519466
ENSOARG00000001354	101103337	COMMD3	BMI1 proto-oncogene, polycomb ring finger	-0.921705904673775	0.0254856387882371
ENSOARG00000001355				-2.24565907475075	0.0218629216509809
ENSOARG00000001369	101120352	UBE2S	ubiquitin conjugating enzyme E2 S	2.29207088371299	0.00837759709637896
ENSOARG00000001374	443167	HCRTR1	hypocretin receptor 1	-1.66257764496008	0.00195446491607003
ENSOARG00000001384	101115595	PMS2	PMS1 homolog 2, mismatch repair system component	-0.957115283269132	0.0468161042490447
ENSOARG00000001390	101106772	SRD5A3	steroid 5 alpha-reductase 3	-1.30468172299681	0.0104560114596291
ENSOARG00000001454				1.27089972746759	0.0191502686850435
ENSOARG00000001480	101104250	POLR2K	RNA polymerase II subunit K	1.05017308860519	0.0478529526596997
ENSOARG00000001504	100329218	SREBF1	sterol regulatory element binding transcription factor 1	-1.75552294873235	0.00168332415068461
ENSOARG00000001513	101120678	SLC26A11	solute carrier family 26 member 11	-2.58934738109345	0.00623260720340499
ENSOARG00000001527	101107695	POT1	protection of telomeres 1	-1.04243267842131	0.0298786146773567
ENSOARG00000001529	101115246	TRIM8	tripartite motif containing 8	1.1136338836248	0.0333115720630207
