ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.logFC	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.p.value
ENSOARG00000000033	808259	ND6	NADH dehydrogenase subunit 6	1.03822958668605	0.00833129674042891
ENSOARG00000000151	101107574	LNPK	lunapark, ER junction formation factor	0.994953522912833	0.0225685594906049
ENSOARG00000000157	101111673	DRAP1	DR1 associated protein 1	-0.971132354118176	0.0378764438878866
ENSOARG00000000261	101115686	EIF3I	eukaryotic translation initiation factor 3 subunit I	-0.979695913097497	0.00799779041697486
ENSOARG00000000284	101121510	ZNF777	zinc finger protein 777	-1.01718938451102	0.0190997067715695
ENSOARG00000000316	101104528	KIAA1109	KIAA1109 ortholog	1.15351706957599	0.0458635639356547
ENSOARG00000000341		RNPEP	arginyl aminopeptidase	1.23890919396359	0.0156566480172901
ENSOARG00000000363	101120930	LLGL1	LLGL1, scribble cell polarity complex component	0.910713026313504	0.0273393850270454
ENSOARG00000000532	101116275	C1orf216	chromosome 1 open reading frame, human C1orf216	1.30399067182299	0.0449667869518145
ENSOARG00000000539		RIOX1	ribosomal oxygenase 1	-1.13268298973035	0.0135651989399995
ENSOARG00000000691	101105789	S100A16	S100 calcium binding protein A16	-1.13127777239807	0.0354926149680745
ENSOARG00000000717				1.22530092688123	0.00942942160755357
ENSOARG00000000758	101123177	SNAPIN	SNAP associated protein	1.2312715556364	0.0266770114776035
ENSOARG00000000827	101113562	SHLD2	shieldin complex subunit 2	1.3219731065515	0.0292650814860735
ENSOARG00000000901	101103220		uncharacterized LOC101103220	-1.14018442813793	0.00588877760930029
ENSOARG00000001111	101111650	ID1	inhibitor of DNA binding 1, HLH protein	1.0877244508736	0.0346432799014185
ENSOARG00000001142	101113512	ITPKB	inositol-trisphosphate 3-kinase B	1.05269326619653	0.0429856494939436
ENSOARG00000001211	101104170	CFAP20	cilia and flagella associated protein 20	-0.959554114570811	0.043890178778206
ENSOARG00000001369	101120352	UBE2S	ubiquitin conjugating enzyme E2 S	-1.19261217314337	0.017181631130833
ENSOARG00000001455	101111131	EXOG	exo/endonuclease G	-1.2864120219642	0.0267675927503594
ENSOARG00000001478	101104809	DRP2	dystrophin related protein 2	1.34156791289324	0.0326360195452631
ENSOARG00000001527	101107695	POT1	protection of telomeres 1	1.12461573085972	0.0276748525102034
ENSOARG00000001546	101106920	NAA10	N(alpha)-acetyltransferase 10, NatA catalytic subunit	-0.898218771050716	0.0436107543334844
ENSOARG00000001561	101119770	TOE1	target of EGR1, exonuclease	-1.02102773907847	0.0277806820496964
ENSOARG00000001572	100302342	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2	-0.960298343060245	0.0372661752282327
ENSOARG00000001770	101108875	AFG3L2	AFG3 like matrix AAA peptidase subunit 2	-0.908716380664029	0.0283083362286608
ENSOARG00000001791	101120793	NAA60	N(alpha)-acetyltransferase 60, NatF catalytic subunit	-0.888984346540478	0.0377610573981645
ENSOARG00000001798	101109137	PRELID3A	PRELI domain containing 3A	-1.60370542811274	0.00997754713621401
ENSOARG00000002093	101105875	DAGLB	diacylglycerol lipase beta	1.33689922976282	0.0290047075693891
ENSOARG00000002128	101112048	TMEM168	transmembrane protein 168	1.00790817571828	0.0496054531532765
ENSOARG00000002142	101119425	WDR25	WD repeat domain 25	1.30425092182878	0.0403162468218897
ENSOARG00000002269	101109807	IRF2BPL	interferon regulatory factor 2 binding protein like	1.0915431095463	0.0305260443117302
ENSOARG00000002321	101119029	LOC101119029	serine/threonine-protein kinase 11-interacting protein-like	1.98895761769452	0.0346640273151966
ENSOARG00000002340	101118531		zinc finger GRF-type containing 1	1.68557690262476	0.0463567106192114
ENSOARG00000002346	101110745	PPP1R16A	protein phosphatase 1 regulatory subunit 16A	-0.911623277621433	0.0386908151221841
ENSOARG00000002373	101113178	CDC25A	cell division cycle 25A	-1.42561383369147	0.0157935421575453
ENSOARG00000002399				9.12003636251265	0.00142848366089472
ENSOARG00000002504				1.40481564805529	0.0276814816743973
ENSOARG00000002567	101115128	AHSA1	activator of HSP90 ATPase activity 1	-0.87098932859066	0.0377610573981645
ENSOARG00000002612	101122959	MAP2K3	mitogen-activated protein kinase kinase 3	-0.843737307216236	0.0306147288371478
ENSOARG00000002615	101110952	CBX4	chromobox 4	1.39072376844557	0.00878729525302026
ENSOARG00000002734				-1.14190765031146	0.0479096299120897
ENSOARG00000002821	101107217	ELMO3	engulfment and cell motility 3	-1.33582980519869	0.0205186779283441
ENSOARG00000002841	101123306	NUP43	nucleoporin 43	-1.09174847064105	0.0489400036606531
ENSOARG00000002903	101115532		transmembrane BAX inhibitor motif containing 4	1.14543780859369	0.0255221268384926
ENSOARG00000002925	101102751	LENG1	leukocyte receptor cluster member 1	-1.0818179200487	0.037881588051709
ENSOARG00000002991		CXCL12	C-X-C motif chemokine ligand 12	3.17025796157336	0.00736546602832322
ENSOARG00000003061	101103496	TMEM240	transmembrane protein 240	-1.20555818504073	0.0464675691780255
ENSOARG00000003069	101112104	C18orf25	chromosome 23 open reading frame, human C18orf25	-0.98802082743697	0.0157822127499405
ENSOARG00000003079	101108771	CARMIL2	capping protein regulator and myosin 1 linker 2	-1.24570429372615	0.0467610996766427
ENSOARG00000003095				-1.62127128513717	0.018632716306954
ENSOARG00000003326				-1.50091845837729	0.023678544940987
ENSOARG00000003364	101116935	DDX55	DEAD-box helicase 55	-1.08355752333821	0.0139695672155416
ENSOARG00000003397	101118809	SLC7A6OS	solute carrier family 7 member 6 opposite strand	-0.837409929607279	0.046738429765966
ENSOARG00000003402	101120552	BBS5	Bardet-Biedl syndrome 5	-1.25855208039791	0.00963104789124044
ENSOARG00000003433	101120165	PSMC1	proteasome 26S subunit, ATPase 1	-1.00153857724755	0.0130793286108912
ENSOARG00000003498	101117302	RMI1	RecQ mediated genome instability 1	1.60412146441757	0.0192553124919245
