ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.LPS100_2_hit.logFC	LPS100_1_hit.vs.LPS100_2_hit.p.value
ENSOARG00000000010	808250	ND2	NADH dehydrogenase subunit 2	1.25976603545615	0.00287875250239642
ENSOARG00000000085	101102444	ARHGAP28	Rho GTPase activating protein 28	-1.20953638901056	0.038421648146883
ENSOARG00000000226	101108571	STARD4	StAR related lipid transfer domain containing 4	-1.19400699712484	0.0203377425829267
ENSOARG00000000405	101105769	PPP1R16B	protein phosphatase 1 regulatory subunit 16B	1.65550745112816	0.0363263373712434
ENSOARG00000000607				-1.11742359187727	0.0427239763492475
ENSOARG00000000840	101118387	HPS4	HPS4, biogenesis of lysosomal organelles complex 3 subunit 2	-0.883503522964479	0.0493550712749583
ENSOARG00000000966	101106081	LIN52	lin-52 DREAM MuvB core complex component	-1.11441094118701	0.0321740076479581
ENSOARG00000001108		CCDC106	coiled-coil domain containing 106	-1.47599115908104	0.00993148863255034
ENSOARG00000001387				-1.55377872596589	0.0193687415889661
ENSOARG00000001394				-1.24093076083267	0.007337931375812
ENSOARG00000001406	101103086		DNA topoisomerase I	0.999427721508452	0.0188905151249591
ENSOARG00000001535	101120395		guanylate-binding protein 4-like	-1.50824909209404	0.0425462616894704
ENSOARG00000001699	101121915	RPS6KA6	ribosomal protein S6 kinase A6	-1.59036988824693	0.0218672507719414
ENSOARG00000001731	101108619	CIDEA	cell death-inducing DFFA-like effector a	1.62569692270458	0.0284794188193373
ENSOARG00000001768	101116217	LOC101116217	coatomer subunit beta'-like	-2.43715714745701	0.0201387679688299
ENSOARG00000001783	443218	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	1.63622377002494	0.012198141341142
ENSOARG00000001854	100302305	ARF5	ADP ribosylation factor 5	1.05465071208089	0.0240764767481958
ENSOARG00000001883	101104030	NMD3	NMD3 ribosome export adaptor	-0.921969913793354	0.0361651527668375
ENSOARG00000001918	101103665	TK2	thymidine kinase 2, mitochondrial	-1.05923606791105	0.0251441150771921
ENSOARG00000001949	101109966	ARHGAP26	Rho GTPase activating protein 26	1.37476434099877	0.0297794345919287
ENSOARG00000002034	101121947		folliculin	0.89634361479862	0.0491748281647095
ENSOARG00000002082	101104681	CMTM4	CKLF like MARVEL transmembrane domain containing 4	1.56420485361459	0.0303434623318419
ENSOARG00000002191	101102252	NAGLU	N-acetyl-alpha-glucosaminidase	0.880174944396151	0.0471910193260282
ENSOARG00000002212	101116707	TLK1	tousled like kinase 1	-1.01775248382651	0.032433452342665
ENSOARG00000002249	101111218	ADAM33	ADAM metallopeptidase domain 33	2.37641003072386	0.0266264088896662
ENSOARG00000002330		GPT	glutamic--pyruvic transaminase	-1.18369518138636	0.0304560590599526
ENSOARG00000002333	101113242	TMEM63C	transmembrane protein 63C	-1.77334951067999	0.0279429007845853
ENSOARG00000002352	101106797	SUDS3	SDS3 homolog, SIN3A corepressor complex component	1.08704340117109	0.0472894214504301
ENSOARG00000002400	101122010	CCDC88A	coiled-coil domain containing 88A	-1.07719905916168	0.0421173785716541
ENSOARG00000002427	101102015	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	0.817011911132277	0.0494231172783023
ENSOARG00000002480	101106388	C7orf26	chromosome 24 open reading frame, human C7orf26	-0.945419678919932	0.0234328660342871
ENSOARG00000002497	101102302	NECAP1	NECAP endocytosis associated 1	-0.871763882778263	0.0299508808222794
ENSOARG00000002619	101104735	CLEC4D	C-type lectin domain family 4 member D	1.44459163116198	0.0111063486184924
ENSOARG00000002750	101119875	ZFAND4	zinc finger AN1-type containing 4	-1.11944187455643	0.0444273049456441
ENSOARG00000002759				1.07569769105443	0.0382547653723344
ENSOARG00000002872	101123644	MBTD1	mbt domain containing 1	-1.1863032332401	0.0291812823786117
ENSOARG00000002920	101107901	MPI	mannose phosphate isomerase	1.16157548399044	0.020237928385893
ENSOARG00000003029	101108530	BAG3	BCL2 associated athanogene 3	1.17983420695494	0.0436260543704906
ENSOARG00000003084	100170398	RTN3	reticulon 3	0.812532837768248	0.0328538659754254
ENSOARG00000003240	101105309	RPA2	replication protein A2	1.09352296507462	0.0103485206305582
ENSOARG00000003303	101112461	STX12	syntaxin 12	1.06651406827249	0.0442053409843533
ENSOARG00000003389	101118550	SLC7A6	solute carrier family 7 member 6	-1.20691198207652	0.0213371115978888
ENSOARG00000003394	101112709	AHDC1	AT-hook DNA binding motif containing 1	-1.16320627273819	0.0154082090825722
ENSOARG00000003447	101116940	SEC22C	SEC22 homolog C, vesicle trafficking protein	1.41500011962699	0.0471910193260282
ENSOARG00000003453	101102028	NMRAL1	NmrA like redox sensor 1	1.12656642390946	0.0144874469698155
ENSOARG00000003459		TOMM20	translocase of outer mitochondrial membrane 20	-0.909664465109058	0.0481468800841993
ENSOARG00000003486	100270718	SS18L2	SS18 like 2	-1.01679617421625	0.0329049078480417
ENSOARG00000003509	101122780		RUN and FYVE domain containing 1	1.54890748618958	0.0365423190459202
ENSOARG00000003574	101110365	ARID3B	AT-rich interaction domain 3B	1.25827606640786	0.0266306205917298
ENSOARG00000003659	101105270	ZNF773	zinc finger protein 773	-0.944712506847913	0.029016237616028
ENSOARG00000003667	101119338	ZBTB47	zinc finger and BTB domain containing 47	-1.04658967655948	0.0296336371619462
ENSOARG00000003703	101115787	AOAH	acyloxyacyl hydrolase	1.14993843336067	0.0168834635833156
ENSOARG00000003770	101117613	LOC101117613	zinc finger protein 585A-like	-1.12116455661005	0.027743921272531
ENSOARG00000003819	101111220	ZNF135	zinc finger protein 135	1.29479719613233	0.0182353817751739
ENSOARG00000003825	101106191	GPR158	G protein-coupled receptor 158	2.21866881829248	0.0253612888347241
ENSOARG00000003834	101120917	NSD1	nuclear receptor binding SET domain protein 1	-1.10115162017582	0.0109706311278448
ENSOARG00000003870	101106783	AOC2	amine oxidase, copper containing 2	-2.5109329096983	0.0102641382061785
ENSOARG00000003955	101109595	GPATCH3	G-patch domain containing 3	1.160991661257	0.00528817657983198
ENSOARG00000003975	101101901	EVI2A	ecotropic viral integration site 2A	1.64454932746279	0.0471910193260282
ENSOARG00000004077	101107646	BEND5	BEN domain containing 5	1.65318005637996	0.0311763973501065
ENSOARG00000004088	101118780	SLC25A13	solute carrier family 25 member 13	-1.09460126440271	0.0201687942814394
ENSOARG00000004138	106991840	COX8A	cytochrome c oxidase subunit 8A, mitochondrial	0.917845345757171	0.0318449492068789
ENSOARG00000004216	101106438	TFB1M	transcription factor B1, mitochondrial	-1.03397701487805	0.0290111365675247
