ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.logFC	LPS100_1_hit.vs.Ctrl_1_hit.p.value	LPS100.A10_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000000177	101111543	SNCAIP	synuclein alpha interacting protein	-1.94379565539113	-1.84502074023154	0.0170843842984987	0.0275841909233658
ENSOARG00000000438	101114332	GRID1	glutamate ionotropic receptor delta type subunit 1	-1.16974445405207	-1.40526882345043	0.0336375507999281	0.00962197545793854
ENSOARG00000000627	101107309	CIT	citron rho-interacting serine/threonine kinase	-0.953619898018536	-1.19385358994651	0.0458574112365428	0.00628655708379322
ENSOARG00000001082	101108063	KRBA2	KRAB-A domain containing 2	-1.10319593935262	-1.20318712003509	0.0461309272594374	0.0266505860963063
ENSOARG00000001160	101105821	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	-1.02651969560633	-1.41861156365471	0.0341399064994587	0.00229625367935101
ENSOARG00000001754	101108043	MDFIC	MyoD family inhibitor domain containing	1.22648929267874	1.22101422169647	0.00938271900210842	0.00998943640874661
ENSOARG00000001866	101113423		5',3'-nucleotidase, mitochondrial	-0.926830312331061	-1.21926200952651	0.0325317016287375	0.00197955031560265
ENSOARG00000001908	101105108	CSPG4	chondroitin sulfate proteoglycan 4	-0.972722466705636	-1.57798019212536	0.0458574112365428	0.000742985203654298
ENSOARG00000002967	101110407	SARDH	sarcosine dehydrogenase	-1.309868475848	-1.85581773127534	0.0321912733171648	0.0044249135360185
ENSOARG00000003170	101103560	TMUB1	transmembrane and ubiquitin like domain containing 1	-1.14379854263918	-1.02624870747854	0.00840913422642708	0.0229378320927359
ENSOARG00000003452	101105172	RAMP2	receptor activity modifying protein 2	-0.956940888864967	-1.38502662744111	0.0431045389765427	0.0014879348968016
ENSOARG00000003723	101123399	DHX38	DEAH-box helicase 38	1.13979350704309	1.10701365354645	0.0381153470920392	0.0490293601297449
ENSOARG00000003861	101105085	SPATA20	spermatogenesis associated 20	-0.834830796178578	-1.28830580695334	0.0295617332265816	0.000148286234058527
ENSOARG00000004110	101104760	LACTB2	lactamase beta 2	-1.06006389327987	-1.06601472163151	0.049010340266259	0.0496667996106344
ENSOARG00000004464	101111479	KCTD15	potassium channel tetramerization domain containing 15	-1.1335259742623	-1.38670616547161	0.00435561285337616	0.000609927244664614
ENSOARG00000005158	101123423	NUDT22	DnaJ heat shock protein family (Hsp40) member C4	-0.874598653082631	-0.851308592139027	0.027717445147038	0.0400384887244781
ENSOARG00000005520	101101948	MAZ	MYC associated zinc finger protein	-0.836035841003122	-0.894948942827324	0.0485141933936338	0.0231514435496194
ENSOARG00000005691				-1.16375591099324	-1.37675591286453	0.00471962028602229	0.000938711752680447
ENSOARG00000006394	101115643	LDHD	lactate dehydrogenase D	-1.56461301279064	-1.66081830471014	0.0190251257358088	0.0141538195977177
ENSOARG00000007009	101122929	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	-1.38448594510552	-1.60658673589343	0.0399817112497217	0.0189795880038639
ENSOARG00000007079	101114144	TEX264	testis expressed 264	-0.874203993549427	-0.835165456423759	0.0171454786714061	0.0321826444467453
ENSOARG00000007213	101102373	ZNF462	zinc finger protein 462	0.851634922181665	0.932180507938661	0.0459386649643787	0.0174353431152111
ENSOARG00000007608	101117347	QRICH2	glutamine rich 2	-1.22256869762644	-1.63097483154791	0.039868289739587	0.00719847621288737
ENSOARG00000007871	101117681	SCRN2	secernin 2	-1.23273682859338	-1.23370241833889	0.0225019563081509	0.0230618316285765
ENSOARG00000008882	101119671		tankyrase 1 binding protein 1	-0.817326360743417	-1.15886958116575	0.0205794990370446	0.000165843019100568
ENSOARG00000009459	101122542	SDR42E1	short chain dehydrogenase/reductase family 42E, member 1	-1.05503838741877	-0.932190364702767	0.0139963945197064	0.045931817999654
ENSOARG00000009529	101106385	TGFB1I1	transforming growth factor beta 1 induced transcript 1	-1.13693131281698	-2.79388544481833	0.0211677631475739	2.89772562058553e-05
ENSOARG00000009741	101107182		WD repeat domain 34	-1.10236102398024	-1.28112952995026	0.0335989049459789	0.0108882437495354
ENSOARG00000009856	101118541	HEXIM2	hexamethylene bisacetamide inducible 2	-1.30843028904433	-1.46673449871544	0.0295171717254095	0.016307648985848
