ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100.vs.Ctrl.micro.logFC	LPS100.B100.vs.Ctrl.micro.p.value
ENSOARG00000000040	101105589	ACBD3	acyl-CoA binding domain containing 3	0.953030535025402	0.00253103007596534
ENSOARG00000000069				-1.12558528320152	0.0134840479934278
ENSOARG00000000073				1.35933480743674	0.00802449399805939
ENSOARG00000000079				-1.14082503225949	0.00236885036076205
ENSOARG00000000095	100135436	PABPC1	poly(A) binding protein cytoplasmic 1	0.823616379847898	0.0257234136075972
ENSOARG00000000100	101107155	MED8	mediator complex subunit 8	0.999908138579085	0.00634536205188024
ENSOARG00000000156	101107639	PRKCD	protein kinase C delta	0.857580435569742	0.0093404329218792
ENSOARG00000000187	101108774	API5	apoptosis inhibitor 5	1.1773063207804	0.0316357803371666
ENSOARG00000000196	101113505	NAPRT	nicotinate phosphoribosyltransferase	-1.28412207198723	0.00570748825133103
ENSOARG00000000227	101123126	DCAF4	DDB1 and CUL4 associated factor 4	-0.841187965503825	0.0138908930644664
ENSOARG00000000251	100170316	ADRA1D	adrenoceptor alpha 1D	1.8516521918995	0.00454214265032668
ENSOARG00000000257	101117895	SKIL	SKI like proto-oncogene	1.79037911482031	0.00194224469786342
ENSOARG00000000267	101123281	ABTB1	ankyrin repeat and BTB domain containing 1	-0.751459988873196	0.0122877941120099
ENSOARG00000000276	101110390	WIPF1	WAS/WASL interacting protein family member 1	1.60657653825675	0.0166679780637785
ENSOARG00000000281	101115942	TMEM234	transmembrane protein 234	-0.586084696682514	0.0328830175949455
ENSOARG00000000284	101121510	ZNF777	zinc finger protein 777	-0.842885967466934	0.0126852890058044
ENSOARG00000000291	101102336	FGB	fibrinogen beta chain	-1.24054972245959	0.0256287199245738
ENSOARG00000000307	101118975	SMOX	spermine oxidase	1.76184562437987	0.0167490825435603
ENSOARG00000000313				-1.00407837150546	0.00619568618074913
ENSOARG00000000319	101101988	RBM25	RNA binding motif protein 25	0.720108921477856	0.015024650712376
ENSOARG00000000322	101120676	MIEF2	mitochondrial elongation factor 2	-0.947871035475336	0.0168224795656619
ENSOARG00000000329	101112478	SRFBP1	serum response factor binding protein 1	1.06744740492588	0.0101597667213436
ENSOARG00000000333	101114142	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	2.51541543195394	0.000509167784196572
ENSOARG00000000338	101111169	ABCA2	ATP binding cassette subfamily A member 2	-1.01020540430247	0.0471578759958436
ENSOARG00000000339	101105893	CIR1	corepressor interacting with RBPJ, 1	-0.564140409972492	0.0299822299310955
ENSOARG00000000341		RNPEP	arginyl aminopeptidase	-1.01510083603174	0.00489409752939173
ENSOARG00000000369	101112867	ECHS1	enoyl-CoA hydratase, short chain 1	-0.710335124099571	0.0129749141839093
ENSOARG00000000373	101110815	CCSER2	coiled-coil serine rich protein 2	1.14667995471075	0.000909595379543961
ENSOARG00000000380	101123219	LOC101123219	phosphoribosylformylglycinamidine synthase-like	-0.949798804649211	0.0203542129328211
ENSOARG00000000381	101107904	RFT1	RFT1 homolog	-0.611693546418542	0.0266151302868592
ENSOARG00000000414	101107657	HYI	hydroxypyruvate isomerase (putative)	-1.12701136319818	0.0134066077770938
ENSOARG00000000416				3.03847618578572	0.000273994121020788
ENSOARG00000000421		BEX4	brain expressed X-linked 4	-1.33487403710598	0.00157026738070833
ENSOARG00000000446	101116555	LIMS1	LIM zinc finger domain containing 1	-1.24434291590165	0.0432365942672971
ENSOARG00000000457	101109343	LOC101109343	serpin B6-like	1.26399344350072	0.00473338251180388
ENSOARG00000000460	101114585	WAPL	WAPL cohesin release factor	0.788732305424237	0.0105719729926708
ENSOARG00000000462	101102733	NUMB	NUMB, endocytic adaptor protein	1.67324839610852	0.00405373254987011
ENSOARG00000000468	101105339	LOC101105339	nuclear transcription factor Y subunit beta	0.716524745246331	0.0137635217111091
ENSOARG00000000498	101109832	ITGA9	integrin subunit alpha 9	3.20566360206059	2.93341783458705e-05
ENSOARG00000000510	101112907	IFNGR1	interferon gamma receptor 1	-1.50448372872673	0.0041681348278354
ENSOARG00000000538	554261	TLR1	toll like receptor 1	1.1607925187003	0.0244121916563834
ENSOARG00000000539		RIOX1	ribosomal oxygenase 1	-0.723697204767808	0.00972697076000544
ENSOARG00000000564				1.48055544886992	0.0100374357073306
ENSOARG00000000570	101104979	MDM2	MDM2 proto-oncogene	0.839216695325772	0.0204179428292413
ENSOARG00000000576	101117254	GSDMD	gasdermin D	-1.44488448337794	0.0033345441600852
ENSOARG00000000581	101113905	LRRC31	leucine rich repeat containing 31	3.21270528077151	0.000175634912970591
