ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.Ctrl_1_hit.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000000119				-1.00506085602044	0.0471836596579638
ENSOARG00000000156	101107639	PRKCD	protein kinase C delta	-0.940195764924606	0.0138535214068702
ENSOARG00000000237	101103274	DAAM2	dishevelled associated activator of morphogenesis 2	-1.17275134265316	0.00818139119239739
ENSOARG00000000307	101118975	SMOX	spermine oxidase	1.29478219513684	0.000664902950616661
ENSOARG00000000319	101101988	RBM25	RNA binding motif protein 25	0.89036608179353	0.00857323162186022
ENSOARG00000000345	101118986	GRAMD1B	GRAM domain containing 1B	-1.8634989467621	0.00149429824658042
ENSOARG00000000357	101121042	NCOR2	nuclear receptor corepressor 2	-1.29098478934514	0.00363999454884085
ENSOARG00000000416				1.16211716711044	0.00729829836198182
ENSOARG00000000454	101111588	PTPRF	protein tyrosine phosphatase, receptor type F	-1.3602323637348	0.00185706502791644
ENSOARG00000000517	101120942	ADGRG1	adhesion G protein-coupled receptor G1	-1.45651513034075	0.00345585139900278
ENSOARG00000000538	554261	TLR1	toll like receptor 1	-1.80365790769896	0.0242872817389222
ENSOARG00000000552	554257	TLR6	toll like receptor 6	-1.31204370206233	0.0106106578932361
ENSOARG00000000576	101117254	GSDMD	gasdermin D	-1.21352667761351	0.00114723612693185
ENSOARG00000000583	443259		period homolog 2	-1.57712068258173	0.00983697426553961
ENSOARG00000000615	101122206	RBBP9	RB binding protein 9, serine hydrolase	-1.09377930513502	0.0209378787654659
ENSOARG00000000638	101114730	CTDSPL	CTD small phosphatase like	-1.00929137037941	0.0439878831855095
ENSOARG00000000685	101114825	B4GALT2	beta-1,4-galactosyltransferase 2	-0.858838091156566	0.0111653487234601
ENSOARG00000000708	101113579	CALCR	calcitonin receptor	-1.04361946602121	0.048333126963476
